BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,323.95,1229.06,2211.43,3288.23,4452.54,5701.62,7026.57,8434.07,9788.94,11232.32,12662.82,14428.08,16149.45,17776.88,19305.37,20736.86,22065.44,23293.77,24510.94,25712.17,26890.15,28050.94,29190.84,30308.44,31402.31,32470.91,33512.62,34525.72
100003,759.34,2980.78,5405.6,8061.37,10926.51,13993.67,17241.13,20683.11,23994.23,27514.28,30994.69,35284.23,39458.18,43399.4,47092.01,50529.64,53702.45,56627.63,59516.36,62348.37,65107.93,67825.91,70483.72,73077.93,75604.95,78060.99,80442.04,82743.85
100004,1307.61,3952.85,6612.56,9481.54,12555.89,15837.32,19301.85,22972.69,26486.47,30228.32,33916.62,38480.31,42911.38,47079.34,50971.68,54575.64,57885.83,60923.02,63912.91,66836.0,69672.67,72463.37,75183.02,77827.47,80392.35,82873.06,85264.73,87562.21
100005,152.48,248.56,285.2,311.59,333.78,353.78,371.63,388.75,399.94,412.16,421.73,439.9,454.1,463.9,470.02,473.18,473.79,472.36,470.97,469.45,467.68,465.89,464.0,461.99,459.86,457.61,455.23,452.73
100006,577.57,2336.83,4268.85,6384.41,8665.15,11104.51,13684.1,16415.66,19035.73,21818.29,24564.62,27949.01,31236.91,34330.3,37223.4,39915.88,42400.68,44686.96,46939.26,49150.29,51312.07,53432.14,55504.44,57526.63,59496.25,61410.71,63267.25,65062.96
100007,1013.03,3021.54,5037.09,7218.99,9564.64,12079.87,14571.45,17221.16,19762.27,22485.8,25176.59,28524.47,31789.63,34879.06,37779.35,40467.24,42943.82,45233.3,47503.0,49730.59,51895.85,54058.16,56184.01,58270.72,60315.47,62315.29,64267.02,66167.36
100008,1543.42,6716.41,12473.94,18782.84,25575.37,32829.19,39070.16,45628.71,51793.29,58334.69,64715.78,72704.78,80367.98,87472.32,94022.97,100019.72,105463.48,110395.17,115217.67,119909.62,124454.11,128880.74,133166.01,137303.46,141286.32,145107.43,148759.21,152233.62
100009,36.33,58.92,67.26,73.13,77.94,82.21,86.05,89.7,91.96,94.43,96.29,100.1,102.98,104.83,105.85,106.2,105.99,105.33,104.66,103.96,103.24,102.5,101.74,100.95,100.14,99.31,98.45,97.56
100139,24.08,39.18,44.88,48.96,52.37,55.42,58.22,60.91,62.68,64.61,66.14,69.02,71.28,72.85,73.85,74.38,74.52,74.34,74.17,73.98,73.74,73.52,73.27,73.02,72.74,72.45,72.14,71.82
100501,646.04,2504.61,4528.84,6745.25,9137.27,11698.35,14410.2,17285.07,20047.53,22985.59,25890.12,29471.39,32954.78,36240.25,39318.86,42187.81,44836.85,47276.98,49684.39,52046.99,54352.28,56621.5,58841.09,61008.27,63120.1,65173.51,67165.24,69091.83
100503,434.82,1404.0,2410.01,3509.05,4697.05,5976.66,7333.67,8784.99,10193.59,11707.5,13214.1,15076.49,16908.19,18658.19,20316.01,21865.57,23306.34,24651.27,25991.45,27313.45,28604.84,29903.11,31187.67,32457.22,33710.37,34945.67,36161.59,37356.53
100504,863.24,2777.8,4781.05,6988.72,9400.1,12016.27,14798.89,17791.2,20723.12,23891.83,27077.37,31024.19,34931.22,38708.17,42326.01,45756.31,48978.43,52015.81,55071.24,58106.01,61083.53,64112.53,67134.56,70146.53,73145.23,76127.27,79089.09,82026.92
100505,344.13,1134.57,1957.6,2852.85,3817.78,4851.24,5946.21,7108.71,8225.29,9415.17,10593.43,12050.73,13470.29,14810.86,16068.64,17245.64,18337.13,19345.43,20344.78,21331.15,22298.36,23251.55,24187.59,25105.33,26003.57,26881.0,27736.3,28568.01
100506,703.61,2801.93,5096.95,7607.24,10311.37,13201.38,16256.02,19487.32,22584.59,25871.87,29114.15,33108.8,36984.06,40628.62,44032.54,47192.22,50099.12,52766.21,55387.51,57949.43,60441.87,62884.85,65264.2,67576.72,69819.04,71987.64,74078.74,76088.39
