BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,76.57,287.18,517.46,764.29,1022.21,1292.49,1572.23,1861.65,2185.5,2536.34,2890.83,3329.97,3766.86,4190.03,4599.35,4993.6,5370.58,5730.55,6093.45,6459.16,6827.03,7194.68,7564.29,7934.71,8305.6,8676.62,9047.39,9417.56
100003,177.73,687.61,1244.22,1836.61,2451.23,3089.68,3744.69,4417.12,5181.53,6006.74,6838.87,7867.7,8890.49,9877.56,10826.07,11733.56,12597.38,13418.64,14243.0,15069.38,15896.67,16726.16,17555.3,18383.85,19211.04,20036.09,20858.2,21676.55
100004,322.71,967.97,1628.75,2329.36,3060.69,3828.86,4627.43,5460.01,6387.65,7392.13,8406.38,9664.4,10918.03,12129.62,13293.38,14405.05,15464.54,16473.96,17488.7,18506.67,19526.81,20552.88,21579.12,22605.97,23632.43,24657.47,25680.09,26699.21
100005,26.02,42.02,48.41,52.67,55.85,58.59,60.91,63.02,65.64,68.45,70.86,74.76,78.02,80.54,82.46,83.88,84.86,85.47,86.05,86.61,87.13,87.62,88.07,88.5,88.9,89.27,89.6,89.91
100006,116.11,465.93,855.24,1274.52,1714.02,2175.61,2654.42,3150.98,3705.63,4306.57,4914.28,5666.41,6415.66,7141.96,7844.36,8520.58,9167.39,9785.26,10407.98,11035.19,11665.84,12296.9,12930.9,13566.26,14202.36,14838.61,15474.38,16109.04
100007,590.49,1744.16,2917.95,4160.16,5455.8,6815.96,8131.87,9500.77,11029.19,12683.52,14348.82,16423.74,18484.9,20469.75,22369.59,24178.51,25897.9,27532.17,29174.07,30820.15,32468.77,34127.24,35784.92,37442.92,39099.63,40753.45,42402.7,44045.7
100008,263.81,1140.97,2134.6,3211.77,4347.48,5545.4,6556.76,7606.6,8781.1,10052.01,11328.24,12924.14,14505.19,16023.32,17472.79,18849.75,20155.82,21394.93,22639.66,23887.2,25136.3,26392.49,27647.74,28902.9,30156.75,31408.07,32655.62,33898.11
100009,13.3,21.46,24.7,26.85,28.45,29.82,31.01,32.1,33.49,34.98,36.27,38.32,40.06,41.43,42.48,43.27,43.84,44.21,44.57,44.9,45.22,45.54,45.83,46.11,46.38,46.63,46.87,47.09
100139,12.05,19.3,22.04,23.78,25.01,26.01,26.84,27.57,28.65,29.8,30.77,32.39,33.73,34.75,35.51,36.05,36.39,36.59,36.77,36.95,37.11,37.25,37.39,37.51,37.62,37.72,37.81,37.88
100501,310.78,1195.2,2172.21,3224.43,4328.94,5491.12,6699.31,7955.39,9361.3,10886.56,12432.75,14347.76,16259.86,18116.74,19915.17,21649.58,23311.78,24901.97,26505.04,28118.96,29741.68,31377.69,33019.39,34667.16,36319.47,37974.78,39631.48,41287.94
100503,226.75,724.24,1246.31,1803.26,2386.49,3000.24,3636.94,4301.55,5041.23,5842.3,6651.79,7654.88,8655.39,9623.17,10553.22,11442.01,12289.56,13097.46,13909.64,14724.36,15540.8,16362.34,17183.95,18006.09,18827.96,19648.75,20467.64,21283.77
100504,481.81,1523.41,2612.32,3773.38,4989.08,6268.56,7587.41,8962.91,10503.84,12175.95,13870.68,15974.57,18076.56,20114.98,22082.38,23972.74,25781.86,27510.59,29251.06,30998.94,32752.96,34533.47,36314.57,38102.18,39894.65,41690.29,43487.37,45284.11
