BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,56.12,60.66,62.4,63.31,64.74,66.21,68.7,73.39,78.05,82.68,87.14,91.5,95.31,99.01,102.65,106.06,109.1,111.76,114.1,116.17,118.01,119.65,119.33,118.98,118.59,118.2,117.79,117.32
100003,64.74,70.09,72.39,74.21,76.88,79.35,82.65,88.77,94.86,100.71,106.33,112.01,117.45,122.63,127.61,132.16,136.14,139.44,142.16,144.42,146.31,147.95,147.35,146.72,146.05,145.4,144.74,144.01
100004,83.43,97.91,109.77,119.98,130.6,137.55,143.37,154.53,160.32,164.41,168.26,172.2,175.91,179.36,182.64,185.51,187.85,189.71,191.27,192.5,193.42,194.14,193.64,193.07,192.46,191.85,191.23,190.56
100005,101.26,105.65,107.81,109.74,112.14,115.19,120.81,126.43,132.25,139.04,145.11,150.56,155.88,161.17,166.48,171.0,175.12,178.86,182.12,184.94,187.45,189.81,189.46,189.08,188.66,188.23,187.78,187.26
100006,46.23,48.12,49.46,50.7,52.49,54.34,57.01,61.55,66.08,70.57,74.81,79.03,82.9,86.53,89.97,93.07,95.73,97.98,99.84,101.33,102.55,103.53,103.15,102.79,102.43,102.05,101.64,101.18
100007,97.81,130.06,142.59,149.45,156.85,164.33,171.57,178.07,184.55,190.94,197.13,203.36,209.07,214.6,220.47,226.56,232.11,237.11,241.06,244.62,247.85,250.77,252.34,253.9,254.51,254.51,254.49,254.39
100008,107.16,112.96,116.94,120.48,125.03,129.74,135.11,143.64,151.88,159.95,167.36,174.71,181.83,188.42,194.45,199.77,204.17,207.87,210.87,213.2,214.99,216.45,215.79,215.01,214.14,213.23,212.27,211.22
100009,36.57,37.07,40.43,47.98,55.65,55.8,57.47,59.36,61.43,70.76,73.0,75.26,78.49,80.57,82.56,84.53,86.46,88.21,89.8,91.18,92.43,93.55,93.73,93.6,93.44,93.28,93.1,92.88
100139,14.4,16.89,17.65,17.87,18.16,18.43,18.81,19.62,20.48,21.34,22.18,23.01,23.81,24.61,25.4,26.16,26.86,27.49,28.02,28.5,28.95,29.33,29.24,29.15,29.05,28.95,28.85,28.72
100501,71.93,90.08,112.94,156.93,168.69,191.52,195.54,225.59,231.74,257.08,262.45,268.43,286.22,304.1,321.27,325.86,329.76,333.1,335.9,338.25,340.19,341.88,342.62,343.15,343.59,344.06,344.39,344.66
