BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,17.04,17.21,17.75,18.37,19.08,19.87,20.75,21.78,22.64,23.48,24.29,25.08,25.94,26.67,27.32,27.93,28.45,28.91,29.3,29.64,29.92,30.16,30.27,30.34,30.39,30.43,30.45,30.46
100003,21.25,21.31,21.82,22.45,23.51,24.16,24.98,26.11,27.11,28.12,29.14,30.18,31.28,32.35,33.28,34.11,34.83,35.43,35.93,36.34,36.67,36.96,37.02,37.05,37.05,37.04,37.01,36.97
100004,31.71,31.94,32.62,33.24,33.85,34.39,35.0,39.53,41.7,42.24,42.82,43.44,44.11,44.73,45.33,45.83,46.17,46.43,46.68,46.87,46.99,47.07,47.05,46.95,46.81,46.66,46.48,46.3
100005,36.11,36.24,36.85,37.55,38.33,39.78,43.25,44.62,45.58,47.43,48.8,49.62,50.5,51.35,52.12,52.84,53.46,54.0,54.45,54.81,55.1,55.34,55.4,55.4,55.38,55.33,55.26,55.18
100006,13.97,14.09,14.55,15.09,15.74,16.48,17.37,18.53,19.37,20.23,21.09,21.89,22.72,23.53,24.26,24.94,25.51,26.01,26.42,26.77,27.05,27.27,27.37,27.43,27.47,27.49,27.5,27.48
100007,23.5,23.79,24.4,25.04,25.77,26.6,27.6,28.98,30.36,31.82,33.31,34.86,36.44,37.98,39.4,40.67,41.77,42.71,43.47,43.96,44.36,44.66,44.75,44.8,44.81,44.81,44.78,44.73
100008,25.19,25.7,26.78,28.14,29.78,30.96,32.24,33.92,35.25,36.57,37.86,39.17,40.55,41.88,43.08,44.16,45.1,45.8,46.39,46.88,47.28,47.59,47.71,47.77,47.8,47.8,47.78,47.73
100009,19.0,19.09,22.45,22.6,22.86,23.22,24.84,25.56,26.45,34.56,35.65,36.55,38.06,38.45,38.72,39.02,39.36,39.62,39.88,40.08,40.22,40.3,40.27,40.25,40.21,40.17,40.11,40.05
100139,1.23,1.3,1.41,1.53,1.65,1.78,1.93,2.15,2.34,2.52,2.69,2.86,3.04,3.22,3.39,3.54,3.67,3.8,3.91,4.0,4.08,4.15,4.18,4.2,4.21,4.22,4.23,4.24
100501,21.06,21.46,22.33,27.2,35.63,36.61,38.78,45.32,48.07,49.52,51.08,52.81,54.7,56.85,58.55,60.08,61.31,62.31,63.08,63.66,64.06,64.24,64.19,64.11,63.97,63.83,63.57,63.27
100503,22.1,22.31,22.89,23.49,24.1,24.78,25.56,26.38,26.98,27.58,28.15,28.73,29.33,29.9,30.42,30.88,31.26,31.59,31.87,32.1,32.27,32.42,32.51,32.56,32.59,32.62,32.62,32.62
100504,38.0,38.98,40.61,42.39,44.29,46.33,48.69,51.84,54.94,58.09,60.53,62.36,64.25,66.08,67.76,69.14,70.3,71.29,72.13,72.8,73.31,73.77,74.07,74.29,74.44,74.56,74.65,74.7
100505,25.23,25.53,26.98,27.79,28.77,30.28,33.06,40.4,50.01,50.82,52.33,53.66,55.14,56.59,58.03,59.1,59.86,60.47,61.08,61.57,61.97,62.23,62.31,62.17,61.99,61.78,61.55,61.29
100506,15.18,15.26,15.66,16.24,16.82,17.49,18.32,19.42,20.36,21.33,22.31,23.24,24.18,25.09,25.92,26.67,27.26,27.74,28.15,28.48,28.75,28.96,29.03,29.08,29.1,29.1,29.09,29.07
100507,16.34,16.47,16.81,17.11,17.36,17.61,17.88,18.19,18.5,18.78,19.04,19.29,19.55,19.8,19.99,20.15,20.28,20.38,20.47,20.54,20.58,20.62,20.64,20.64,20.64,20.62,20.6,20.57
200111,28.28,28.49,29.31,31.67,33.54,34.99,36.45,38.36,40.03,41.76,43.53,45.34,47.27,49.14,50.87,52.44,53.81,54.99,55.97,56.72,57.34,57.81,57.95,58.04,58.07,58.09,58.08,58.03
200206,16.48,16.61,17.25,18.23,19.63,21.19,23.25,25.21,27.14,29.1,31.11,33.13,35.21,37.28,38.95,40.28,41.44,42.44,43.28,43.98,44.53,45.0,45.22,45.35,45.45,45.49,45.52,45.51
200208,6.8,6.91,7.22,8.03,8.88,9.21,9.61,10.17,10.66,11.14,11.63,12.13,12.65,13.1,13.52,13.9,14.23,14.5,14.73,14.92,15.08,15.2,15.26,15.31,15.35,15.39,15.42,15.44
200401,21.07,21.17,21.69,22.52,23.19,24.03,25.09,26.52,27.97,29.35,30.65,32.02,33.47,34.87,36.14,37.27,38.22,39.02,39.65,40.01,40.25,40.39,40.37,40.3,40.19,40.05,39.9,39.73
200413,17.28,17.41,17.84,18.3,18.91,19.64,20.63,22.13,23.5,25.0,26.6,28.27,29.88,31.37,32.75,34.01,35.1,36.03,36.8,37.42,37.86,38.2,38.31,38.36,38.38,38.38,38.37,38.32
200421,15.13,15.28,15.8,16.66,17.93,19.24,21.22,23.87,24.83,25.83,26.85,27.88,28.98,30.06,31.04,31.94,32.72,33.39,33.95,34.4,34.75,35.04,35.13,35.16,35.16,35.13,35.09,35.02
200430,9.11,9.18,9.41,9.79,10.26,10.81,11.51,22.56,23.32,23.92,24.6,25.35,26.18,27.01,27.81,28.52,29.1,29.6,30.11,30.55,30.93,31.25,31.35,31.3,31.24,31.18,31.1,31.0
205308,23.04,23.16,23.88,24.81,26.08,27.5,29.5,31.63,33.17,34.8,36.32,37.89,39.51,41.1,42.55,43.84,44.95,45.9,46.66,47.28,47.77,48.12,48.21,48.24,48.21,48.17,48.1,48.0
205309,3.15,3.18,3.32,3.51,3.82,4.1,4.43,4.99,5.46,5.74,6.03,6.33,6.66,6.97,7.26,7.53,7.75,7.94,8.1,8.22,8.31,8.38,8.41,8.42,8.43,8.43,8.42,8.41
205317,29.73,29.82,30.52,31.33,32.31,33.28,34.43,36.04,37.52,39.01,40.5,41.99,44.0,45.4,46.72,47.93,48.98,49.87,50.61,51.23,51.73,52.12,52.21,52.23,52.22,52.19,52.14,52.17
300009,3.89,4.33,4.98,5.86,7.0,8.23,9.82,11.05,11.85,12.66,13.46,14.27,15.1,15.91,16.66,17.34,17.95,18.46,18.9,19.27,19.59,19.83,19.93,20.01,20.06,20.1,20.11,20.1
300024,19.02,19.68,20.65,21.81,23.17,24.74,26.59,28.73,30.69,32.53,34.42,36.41,38.44,40.12,41.67,43.08,44.32,45.04,45.63,46.11,46.49,46.78,46.87,46.91,46.91,46.9,46.86,46.8
300289,19.94,20.09,20.65,26.01,26.66,30.07,31.13,35.84,39.8,41.44,43.25,45.14,47.4,49.33,51.2,52.63,53.68,54.59,55.37,56.01,56.51,56.93,57.13,57.22,57.25,57.25,57.22,57.16
301101,23.35,23.77,24.74,25.91,27.31,28.91,30.82,33.32,35.48,37.06,38.64,40.26,41.9,43.49,44.97,46.32,47.51,48.52,49.36,50.07,50.67,51.12,51.28,51.37,51.43,51.46,51.47,51.43
301290,16.06,16.17,16.56,17.01,17.57,18.18,18.97,20.14,20.97,21.78,22.6,23.45,24.34,25.2,25.95,26.57,27.11,27.56,27.94,28.26,28.52,28.71,28.78,28.82,28.83,28.82,28.8,28.76
301672,5.69,5.73,6.1,6.33,6.62,10.57,10.83,11.24,11.63,12.03,12.51,13.0,13.53,13.99,14.43,14.88,15.22,15.5,15.73,15.92,16.09,16.23,16.26,16.27,16.28,16.28,16.28,16.27
303021,13.67,13.89,14.51,15.3,16.18,17.04,18.11,19.48,20.44,21.38,22.32,23.24,24.24,25.22,26.1,26.92,27.64,28.27,28.8,29.25,29.62,29.94,30.06,30.13,30.18,30.22,30.24,30.24
303188,19.9,19.99,20.52,25.78,30.46,30.92,31.55,32.38,33.3,34.23,35.27,36.31,37.61,38.71,39.55,40.34,40.97,41.66,42.06,42.45,42.71,42.92,42.96,42.98,42.98,42.97,42.94,42.9
303846,17.21,17.26,17.54,17.78,18.07,18.28,18.55,20.89,25.42,28.92,29.34,29.78,31.31,31.62,31.84,32.05,32.27,32.5,32.64,32.74,32.8,32.81,32.74,32.66,32.56,32.44,32.32,32.18
304200,23.55,23.56,24.01,24.6,25.41,26.31,27.52,29.58,31.46,32.8,34.15,35.51,36.97,38.39,39.68,40.86,41.89,42.8,43.55,44.14,44.63,45.02,45.13,45.2,45.24,45.26,45.26,45.23
304881,11.99,12.23,12.69,13.86,15.16,16.51,17.58,19.06,20.55,22.18,23.83,25.15,26.52,27.85,29.13,30.32,31.36,32.28,32.93,33.49,33.95,34.32,34.41,34.48,34.51,34.54,34.54,34.53
304882,5.38,5.6,5.97,6.45,7.06,7.75,8.36,9.17,9.94,10.74,11.55,12.36,13.23,14.07,14.86,15.59,16.24,16.83,17.33,17.71,17.96,18.15,18.21,18.23,18.25,18.25,18.24,18.21
