BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,278912.54,298810.18,309305.29,317019.38,326795.74,336945.35,351102.78,373018.91,394284.73,415037.69,434822.34,453869.12,471638.99,488894.77,505080.83,520147.58,533468.24,545170.9,555299.92,564173.88,571924.27,578651.55,579012.51,578926.95,578550.12,578073.5,577394.11,576405.96
100003,344246.27,369300.89,382606.82,394194.0,410135.83,424303.04,441934.05,469848.75,497215.79,523346.4,548637.59,573979.7,599433.36,623827.96,646547.94,667299.26,685377.3,700471.16,712894.93,723241.74,731823.63,739333.62,739246.86,738588.08,737558.88,736436.48,735094.99,733402.29
100004,426943.66,495721.99,560312.92,610328.43,659610.93,692350.94,719775.0,784652.52,816082.59,832842.29,849002.09,865523.22,881817.1,897060.29,911288.77,923707.12,933694.12,941708.31,948584.72,953957.43,957956.34,960996.9,959886.38,957877.11,955523.55,953011.95,950261.98,947259.46
100005,479518.67,498403.57,511363.78,524158.57,538306.55,557948.09,596389.64,622740.23,648727.05,682590.82,711445.18,735056.16,758802.34,782192.71,804588.49,823633.81,840748.44,856031.81,869224.95,880480.56,890253.78,899026.11,899345.37,899040.79,898305.47,897388.8,896172.39,894645.51
100006,232223.33,241267.37,249911.61,258748.55,269670.98,281248.02,296244.5,318147.98,339386.25,360265.13,380138.62,399792.62,418885.53,437047.27,453746.16,468922.83,482019.8,493333.0,502782.88,510604.04,517080.48,522396.04,523282.44,523420.14,523196.81,522765.43,522096.31,521135.55
100007,345296.76,492381.28,546848.01,577583.9,610905.75,645140.8,679219.1,711769.94,744787.11,778185.24,811328.87,845119.91,877414.66,908750.61,938656.54,966226.14,991153.04,1013490.2,1031637.98,1047764.99,1062106.95,1074883.92,1083033.14,1090601.31,1094153.6,1095112.71,1095718.41,1095858.3
100008,451258.53,474800.33,493679.71,512102.79,534072.92,557192.1,583856.62,623490.73,660714.19,696872.85,730427.92,763457.52,796314.26,827129.25,855185.65,880155.51,901119.92,918931.1,933591.21,945409.22,954832.66,962423.52,962063.94,960861.35,959069.24,956960.41,954455.77,951434.93
100009,230571.19,235186.39,265072.85,295984.94,329315.9,333323.6,348865.73,358313.16,369506.86,443624.66,455861.6,468249.02,489588.4,501021.17,511076.89,521038.84,530829.06,539330.24,547088.71,553575.66,559114.06,563773.41,565174.19,565190.11,564927.39,564522.66,563970.45,563228.23
100139,53870.89,65473.91,69446.16,71337.49,73302.01,75269.09,77632.37,81514.05,85448.75,89247.81,92882.52,96395.65,100012.85,103573.97,106906.59,110033.03,112865.36,115403.67,117522.39,119378.32,121052.92,122426.89,122348.83,122179.64,121953.2,121693.99,121382.74,120988.51
100501,403970.48,492503.67,580488.37,824031.24,912351.23,1024098.88,1055933.88,1222235.51,1268132.68,1397131.47,1437799.77,1479838.64,1520488.11,1562797.37,1600381.83,1626714.94,1649004.59,1668033.39,1683926.87,1697370.59,1708665.96,1717902.4,1722456.53,1725767.77,1728459.35,1731601.08,1733540.43,1735057.03
100503,341884.44,406182.04,447243.39,498200.49,533181.46,546243.44,558396.74,575583.11,592150.26,607840.1,622253.27,636521.38,650712.97,664372.98,677233.87,688726.81,698648.19,707154.49,714315.06,720307.69,725291.28,729429.37,730028.9,730354.71,730383.43,730294.96,730008.85,729399.45
100504,651885.09,785570.0,860391.95,931574.27,971211.08,1011501.83,1066315.57,1126877.78,1190354.08,1231582.17,1269290.47,1307353.42,1341275.01,1374052.25,1405206.09,1431758.08,1453863.49,1472850.01,1489678.93,1504369.96,1516964.21,1528358.86,1534672.93,1540422.35,1545541.19,1550385.72,1554839.28,1558720.59
100505,354127.2,392263.56,434832.27,471627.0,491744.82,515651.02,554486.04,638907.21,743715.37,771020.31,801025.13,828229.73,851867.12,874941.86,897652.89,918624.91,936414.34,951797.89,964888.94,974908.56,983245.64,989642.0,991216.77,990653.47,989560.69,988161.92,986454.19,984361.72
100506,283172.97,292071.7,301818.28,312278.18,323167.2,335889.07,351214.17,373977.43,396115.24,416700.04,436656.98,455574.19,474475.45,492421.46,508941.13,523813.9,536460.81,547148.28,556006.45,563264.33,569095.41,573876.44,573787.57,573204.68,572271.36,571151.7,569814.58,568190.44
100507,256662.02,306557.92,334492.99,357908.57,363151.8,368374.88,372473.65,378233.56,384499.12,390578.77,396222.18,401707.07,407036.44,412163.19,416978.11,421098.33,424542.7,427424.61,429896.71,431991.47,433659.68,434981.36,435185.48,435293.61,435232.49,435105.38,434855.35,434412.67
200111,499419.37,524044.44,542151.23,570237.28,596278.56,618194.91,646996.08,693273.15,738641.41,783557.56,827432.95,871466.42,915892.38,958626.14,998931.99,1036103.5,1067270.04,1094656.29,1117966.62,1137800.49,1153489.09,1166903.27,1167017.46,1166229.68,1164731.23,1162948.54,1160725.87,1157859.28
