BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,7.09,7.63,8.35,9.17,9.84,10.42,11.06,11.77,12.47,13.23,13.99,14.83,15.72,16.52,17.38,18.27,19.28,20.43,21.69,22.9,24.12,25.04,26.18,27.45,28.61,29.76,30.86,31.6
100003,4.8,9.78,15.2,20.7,26.23,31.36,32.4,33.01,33.16,32.74,30.43,21.62,20.23,20.9,21.88,22.82,23.83,24.82,25.96,27.12,28.44,29.43,30.55,31.76,32.72,33.67,34.46,34.98
100004,3.94,4.56,5.29,6.1,6.84,7.52,8.23,9.0,9.71,10.48,11.17,11.96,12.77,13.34,14.05,14.76,15.56,16.44,17.43,18.4,19.45,20.26,21.2,22.23,23.11,23.98,24.77,25.3
100005,11.74,12.66,14.17,15.79,17.54,19.13,20.69,21.96,23.15,24.22,25.06,24.91,26.02,27.1,28.5,29.89,31.36,32.73,34.18,35.45,36.53,36.03,37.02,38.57,39.9,41.2,42.39,43.16
100006,8.51,8.99,9.61,10.29,10.86,11.36,11.88,12.44,12.96,13.49,13.89,14.03,14.58,15.1,15.71,16.29,16.91,17.49,18.11,18.64,19.06,18.58,18.98,19.71,20.34,20.95,21.51,21.86
100007,9.76,10.48,11.34,12.32,13.46,14.49,15.55,16.68,17.73,18.83,19.75,20.37,21.49,22.55,23.73,24.9,26.15,27.39,28.73,30.0,31.23,31.72,32.88,34.31,35.58,36.83,38.02,38.81
100008,13.13,14.48,16.06,17.84,19.92,21.84,23.82,25.9,27.83,29.87,31.62,33.26,35.33,36.97,38.94,40.88,43.27,46.74,50.43,54.09,57.84,60.78,64.36,68.23,71.81,75.37,78.77,81.19
100009,41.8,41.99,42.23,42.48,42.71,42.93,43.15,40.62,38.97,36.07,29.95,11.08,6.37,6.57,6.82,7.07,7.34,7.6,7.9,8.2,8.54,8.84,9.13,9.43,9.68,9.93,10.15,10.29
100139,12.21,12.36,12.56,12.77,13.0,13.22,13.44,13.68,13.92,14.17,14.4,14.66,14.93,15.14,15.37,15.44,15.46,15.38,15.15,14.57,13.14,8.19,7.11,7.4,7.65,7.9,8.13,8.28
100501,34.03,34.56,35.24,35.99,36.61,37.16,37.74,38.38,38.97,39.58,40.05,40.21,40.85,41.49,42.19,42.69,43.14,43.42,43.55,43.15,41.54,34.68,33.53,34.41,35.17,35.92,36.61,37.04
100503,6.8,7.44,8.2,9.09,9.85,10.53,11.25,12.05,12.8,13.62,14.38,15.25,16.15,16.87,17.7,18.54,19.48,20.51,21.64,22.73,23.86,24.63,25.67,26.84,27.88,28.9,29.86,30.49
100504,8.2,9.18,10.38,11.74,12.83,13.79,14.81,15.92,16.94,18.04,18.93,19.53,20.7,21.75,22.98,24.19,25.48,26.68,28.01,29.21,30.3,30.1,31.11,32.6,33.88,35.15,36.3,37.03
100505,28.7,29.04,29.5,30.02,30.54,31.0,31.48,30.47,29.93,28.71,25.65,15.34,13.15,13.75,14.39,14.98,15.6,16.15,16.71,17.11,17.22,15.89,16.08,16.83,17.5,18.16,18.8,19.21
100506,3.56,7.27,11.13,15.11,18.9,22.61,23.36,23.08,23.09,22.68,20.92,14.21,13.15,13.81,14.63,15.46,16.35,17.21,18.2,19.18,20.29,21.29,22.26,23.24,24.07,24.89,25.62,26.08
100507,3.15,3.47,3.86,4.31,4.68,5.0,5.35,5.74,6.11,6.53,6.93,7.38,7.86,8.27,8.71,9.14,9.58,9.98,10.4,10.72,10.88,10.13,10.32,10.85,11.33,11.8,12.24,12.52
200111,11.64,13.19,15.35,17.73,19.64,21.31,23.1,24.99,26.86,28.82,30.5,31.57,33.76,35.92,38.3,40.78,43.41,45.91,48.72,51.44,54.32,56.61,59.21,62.01,64.48,66.91,69.18,70.63
200206,58.8,59.57,60.61,61.76,63.49,65.13,66.85,65.71,65.52,64.08,59.23,41.03,37.85,39.75,41.79,43.89,45.97,47.65,49.49,51.3,53.24,55.03,56.82,58.65,60.31,61.96,63.53,64.58
200208,2.05,2.36,2.76,3.21,3.58,3.9,4.25,4.62,4.98,5.37,5.74,6.15,6.58,6.92,7.32,7.73,8.16,8.59,9.07,9.55,10.08,10.56,11.03,11.5,11.91,12.3,12.67,12.9
200401,67.29,68.69,70.88,73.17,78.02,82.65,87.41,88.79,91.42,92.5,89.34,69.17,68.33,73.94,79.81,85.81,91.29,94.31,97.61,100.73,103.83,105.72,108.62,111.95,114.99,117.97,120.82,122.68
200413,20.42,24.95,29.72,34.5,39.27,43.62,43.87,43.54,42.94,41.45,37.49,23.94,21.18,22.01,22.93,23.89,24.9,25.86,26.94,27.99,29.13,30.14,31.16,32.22,33.16,34.08,34.93,35.49
200421,11.31,12.07,14.41,16.86,19.24,21.51,23.82,24.34,24.94,25.38,25.15,22.69,22.88,23.71,24.71,25.72,26.8,27.86,29.05,30.24,31.56,32.77,33.94,35.12,36.14,37.14,38.04,38.63
200430,21.4,22.09,22.96,23.9,26.06,28.07,30.08,32.07,33.94,35.65,36.72,35.61,37.11,39.21,41.51,43.74,45.68,46.53,47.4,48.05,48.31,46.34,46.68,47.84,48.85,49.83,50.73,51.33
205308,49.73,50.49,53.75,57.07,61.11,64.99,68.84,68.31,68.34,67.24,63.16,47.46,44.81,46.4,48.23,50.08,52.02,53.93,55.99,58.01,60.15,61.96,63.94,66.01,67.89,69.76,71.53,72.76
205309,6.06,6.31,6.65,7.02,7.62,8.19,8.75,9.35,9.94,10.53,11.13,11.72,12.37,12.93,13.57,14.22,14.96,15.83,16.75,17.67,18.63,19.55,20.46,21.37,22.22,23.07,23.89,24.47
