BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,63.0,104.0,125.0,155.0,196.0,236.0,303.0,470.0,634.0,794.0,952.0,1108.0,1237.0,1366.0,1510.0,1645.0,1776.0,1886.0,1975.0,2065.0,2162.0,2208.0,2180.0,2164.0,2148.0,2133.0,2116.0,2090.0
100003,55.0,89.0,106.0,131.0,163.0,195.0,248.0,380.0,507.0,629.0,745.0,858.0,946.0,1032.0,1127.0,1211.0,1290.0,1350.0,1394.0,1435.0,1479.0,1486.0,1443.0,1407.0,1372.0,1337.0,1301.0,1258.0
100004,53.0,87.0,103.0,126.0,157.0,186.0,235.0,358.0,475.0,584.0,686.0,781.0,853.0,920.0,992.0,1052.0,1103.0,1137.0,1153.0,1166.0,1177.0,1158.0,1098.0,1044.0,989.0,935.0,879.0,819.0
100005,65.0,109.0,133.0,167.0,214.0,262.0,340.0,533.0,728.0,924.0,1121.0,1321.0,1493.0,1669.0,1867.0,2060.0,2251.0,2420.0,2566.0,2716.0,2880.0,2979.0,2980.0,2996.0,3014.0,3034.0,3051.0,3055.0
100006,43.0,71.0,85.0,104.0,130.0,155.0,196.0,300.0,400.0,494.0,584.0,670.0,737.0,801.0,871.0,932.0,989.0,1030.0,1058.0,1083.0,1110.0,1108.0,1068.0,1034.0,999.0,965.0,930.0,890.0
100007,73.0,120.0,143.0,175.0,219.0,261.0,331.0,507.0,676.0,837.0,990.0,1137.0,1251.0,1361.0,1480.0,1584.0,1678.0,1749.0,1795.0,1837.0,1881.0,1877.0,1810.0,1751.0,1692.0,1634.0,1574.0,1507.0
100008,107.0,175.0,206.0,251.0,311.0,367.0,465.0,710.0,943.0,1163.0,1371.0,1568.0,1718.0,1860.0,2012.0,2143.0,2258.0,2339.0,2385.0,2425.0,2465.0,2441.0,2333.0,2237.0,2140.0,2044.0,1946.0,1837.0
100009,17.0,29.0,35.0,44.0,56.0,69.0,89.0,141.0,192.0,244.0,297.0,351.0,397.0,445.0,498.0,550.0,602.0,648.0,688.0,729.0,774.0,801.0,802.0,808.0,814.0,820.0,826.0,828.0
100139,9.0,15.0,18.0,22.0,29.0,35.0,45.0,71.0,96.0,122.0,148.0,174.0,196.0,219.0,245.0,270.0,294.0,316.0,335.0,354.0,375.0,388.0,388.0,390.0,392.0,394.0,396.0,396.0
100501,54.0,89.0,106.0,129.0,161.0,192.0,243.0,370.0,491.0,604.0,711.0,812.0,888.0,960.0,1037.0,1104.0,1162.0,1201.0,1223.0,1241.0,1258.0,1242.0,1183.0,1130.0,1076.0,1023.0,968.0,908.0
100503,68.0,112.0,134.0,165.0,208.0,250.0,319.0,492.0,661.0,825.0,983.0,1138.0,1264.0,1387.0,1522.0,1646.0,1762.0,1856.0,1927.0,1997.0,2071.0,2096.0,2049.0,2014.0,1978.0,1944.0,1907.0,1862.0
100504,100.0,164.0,197.0,242.0,304.0,365.0,465.0,715.0,957.0,1189.0,1412.0,1629.0,1800.0,1967.0,2149.0,2312.0,2463.0,2580.0,2662.0,2741.0,2823.0,2835.0,2751.0,2680.0,2610.0,2539.0,2466.0,2381.0
100505,42.0,69.0,82.0,102.0,129.0,155.0,198.0,306.0,411.0,513.0,613.0,711.0,791.0,870.0,957.0,1039.0,1117.0,1181.0,1232.0,1282.0,1336.0,1358.0,1334.0,1318.0,1301.0,1285.0,1268.0,1245.0
100506,55.0,90.0,108.0,132.0,166.0,198.0,251.0,384.0,512.0,633.0,748.0,859.0,945.0,1027.0,1115.0,1194.0,1264.0,1316.0,1349.0,1380.0,1410.0,1405.0,1352.0,1306.0,1259.0,1213.0,1165.0,1111.0
100507,42.0,70.0,84.0,104.0,130.0,156.0,200.0,308.0,414.0,516.0,614.0,711.0,789.0,865.0,949.0,1025.0,1097.0,1154.0,1197.0,1240.0,1285.0,1298.0,1268.0,1245.0,1222.0,1199.0,1175.0,1146.0
200111,119.0,196.0,234.0,288.0,361.0,433.0,551.0,848.0,1134.0,1410.0,1677.0,1937.0,2146.0,2350.0,2576.0,2784.0,2980.0,3138.0,3258.0,3376.0,3503.0,3544.0,3466.0,3407.0,3349.0,3292.0,3232.0,3157.0
