Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,70964.91,74735.72,81005.63,89618.37,103648.33,118986.45,135726.43,157036.31,177380.37,197062.84,215393.9,232720.51,250288.21,267491.34,284061.11,300043.31,315488.34,330166.85,343390.76,355862.15,367955.24,379254.23,385799.1,392250.96,398554.82,404764.01,410848.64,415117.0
BARROWINFURNESS,10438.54,12212.43,15585.82,19756.1,24993.85,30776.24,37670.32,47607.55,57294.96,66614.62,75187.28,83265.18,91343.38,99187.63,106483.94,113374.24,119909.04,126059.26,131486.82,136406.04,140919.22,145076.72,145657.49,146148.44,146585.05,146993.33,147349.86,147384.44
BLACKBURN WITH DARWEN,10523.52,14808.8,21162.21,28981.74,37895.87,47408.88,58862.01,77236.24,95011.2,112155.54,128089.81,143660.0,159039.9,173647.85,186959.84,199288.99,210505.59,220695.08,229539.41,237335.03,244328.35,250497.27,250985.02,251287.77,251425.46,251417.81,251322.11,250966.72
BLACKPOOL,8707.42,12480.48,17885.81,24878.32,32921.85,41440.22,51799.09,68923.14,85733.49,101989.02,117387.34,132246.09,146996.71,161335.34,174629.07,187133.8,198799.32,209552.72,218716.7,226999.64,234712.11,241339.64,241789.11,242103.33,242282.11,242495.43,242664.49,242504.39
BOLTON,21532.63,30144.73,43229.75,59485.13,78214.74,98676.29,122879.68,159180.89,194149.98,227883.0,258809.62,289323.43,319386.17,347882.63,373329.0,396548.99,417379.81,435882.15,451735.44,465271.77,477186.87,487864.93,489678.1,490992.32,491957.87,492819.54,493565.67,493842.43
BURNLEY,22258.2,24555.04,28021.0,32476.94,37911.4,43933.65,51408.32,63844.97,76020.12,87764.84,98725.22,109142.06,119499.11,129571.9,138992.76,147921.9,156344.53,164132.44,171045.24,177282.39,183070.04,188359.85,188836.38,189178.43,189409.55,189615.7,189743.17,189592.97
BURY,13289.14,18825.14,27233.24,37561.25,49146.84,61388.6,75893.64,98588.9,120604.88,141836.04,161720.94,181261.03,200628.85,219211.28,235744.35,250727.32,264513.85,277025.61,287839.63,297383.77,306061.97,313834.39,314999.34,315938.32,316640.66,317322.85,317934.38,318215.47
CARLISLE,40563.57,44250.47,49926.24,57277.76,67163.8,77998.58,90290.61,107828.14,125030.3,141469.67,156856.17,171185.68,185836.89,199975.69,213337.73,226019.03,238046.74,249222.7,258876.12,267614.79,275762.31,283012.13,285504.09,287883.43,290119.9,292299.52,294356.6,295610.94
CHESHIRE EAST,13203.91,18068.71,25821.05,35364.4,46171.65,57432.39,70240.75,89574.49,108478.84,126424.18,143517.58,159633.6,176052.43,191847.34,206216.78,219696.66,232232.6,243686.88,253459.63,262094.92,269984.26,277009.07,278269.18,279052.75,279598.94,280140.32,280714.36,281077.2
CHORLEY,10052.66,13539.13,19129.5,26148.92,34320.6,43210.01,53530.73,68737.44,83552.14,97786.16,110990.6,123637.54,136392.2,148737.94,159962.41,170432.07,180120.1,188876.42,196482.89,203258.58,209478.16,215201.63,216751.93,218079.77,219063.06,219932.8,220735.79,221290.39
