Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,117.08,190.08,217.17,236.23,251.94,265.93,278.47,290.33,297.67,305.63,311.7,324.04,333.34,339.37,342.66,343.72,342.95,340.64,338.32,335.9,333.23,330.58,327.83,324.97,322.01,318.94,315.75,312.44
BARROWINFURNESS,108.23,175.08,199.16,215.88,229.35,241.02,251.51,261.16,266.77,273.1,277.48,287.63,294.91,299.25,301.32,301.3,299.74,296.88,294.02,291.03,287.76,284.55,281.23,277.81,274.29,270.66,266.91,263.05
BLACKBURN WITH DARWEN,632.6,2176.26,3798.52,5557.56,7446.43,9458.71,11580.44,13821.49,15957.3,18224.48,20449.88,23193.65,25849.19,28328.81,30635.86,32767.09,34712.08,36490.28,38228.97,39923.13,41563.02,43156.62,44697.79,46183.86,47612.0,48979.26,50282.49,51518.36
BLACKPOOL,180.48,292.52,333.78,362.69,386.41,407.42,426.39,444.37,455.39,467.59,476.76,495.6,509.85,519.0,524.09,525.85,524.72,521.37,517.92,514.32,510.45,506.53,502.47,498.24,493.86,489.31,484.58,479.68
BOLTON,1840.86,6658.2,11801.96,17406.81,23442.21,29890.47,36702.94,43912.15,50814.01,58158.04,65394.35,74329.96,83001.91,91159.47,98796.37,105874.59,112404.02,118400.48,124306.76,130092.38,135711.33,141225.97,146600.1,151825.8,156894.74,161798.12,166526.64,171070.47
BURNLEY,125.19,203.7,233.29,254.46,272.04,287.79,301.36,314.25,322.19,330.83,337.34,350.56,360.45,366.75,370.05,370.95,369.8,367.04,364.22,361.21,358.02,354.76,351.37,347.84,344.16,340.33,336.34,332.2
BURY,648.6,2525.13,4570.76,6811.69,9231.13,11823.45,14570.79,17483.58,20284.2,23264.32,26215.65,29855.72,33399.86,36751.51,39896.01,42832.29,45552.48,48064.07,50547.92,52988.5,55374.62,57727.81,60034.2,62290.97,64495.11,66643.49,68732.76,70759.39
CARLISLE,145.67,237.0,271.31,295.8,316.13,334.4,350.18,365.07,374.23,384.3,391.8,407.21,418.7,426.02,429.91,430.98,429.74,426.51,423.31,419.9,416.26,412.61,408.84,404.93,400.87,396.68,392.33,387.83
CHESHIRE EAST,164.74,268.71,308.49,337.16,361.33,383.12,402.54,421.13,433.29,446.5,456.84,476.47,491.75,502.29,508.8,512.14,512.7,511.01,509.38,507.6,505.54,503.43,501.19,498.8,496.27,493.58,490.74,487.73
CHORLEY,243.35,620.64,970.18,1343.41,1744.59,2173.66,2629.6,3113.97,3580.01,4080.65,4577.32,5198.23,5804.2,6380.53,6923.65,7433.77,7911.4,8355.49,8802.2,9243.52,9676.33,10110.94,10541.88,10968.7,11390.92,11808.06,12219.59,12624.96
COPELAND,66.98,108.29,123.14,133.47,141.83,149.18,155.6,161.62,165.25,169.19,172.06,178.25,182.83,185.69,187.05,187.13,186.21,184.51,182.85,181.16,179.28,177.44,175.55,173.61,171.63,169.6,167.52,165.38
CRAVEN,17.98,29.29,33.55,36.61,39.15,41.43,43.49,45.46,46.73,48.1,49.15,51.2,52.77,53.81,54.41,54.66,54.62,54.35,54.07,53.76,53.42,53.08,52.72,52.35,51.95,51.54,51.11,50.66
DERBYSHIRE DALES,0.03,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08
EDEN,56.42,91.87,105.27,114.82,122.81,129.94,136.38,142.59,146.55,150.87,154.21,160.63,165.62,168.91,170.84,171.7,171.63,170.79,169.92,168.98,167.97,166.97,165.92,164.83,163.7,162.52,161.29,160.0
FYLDE,72.3,117.97,135.45,148.07,158.72,168.27,177.01,185.4,190.88,196.83,201.52,210.3,217.16,221.87,224.85,226.38,226.65,225.96,225.24,224.44,223.5,222.56,221.57,220.5,219.37,218.16,216.88,215.53
HIGH PEAK,327.94,1015.81,1715.09,2472.0,3286.08,4155.71,5075.61,6048.75,6981.69,7974.63,8952.72,10164.67,11340.46,12446.16,13481.43,14442.72,15330.28,16147.6,16953.8,17742.34,18509.78,19266.39,20005.48,20726.0,21426.8,22106.69,22764.42,23398.63
HYNDBURN,490.73,1564.59,2663.9,3850.34,5120.0,6471.42,7894.39,9395.08,10823.99,12339.05,13827.79,15666.77,17441.99,19099.97,20644.22,22070.87,23371.93,24561.75,25721.37,26852.37,27947.01,29009.89,30036.89,31026.11,31975.5,32882.92,33746.11,34562.66
