Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,59.55,95.43,109.04,117.64,123.7,128.63,132.65,136.11,141.13,146.54,151.02,158.63,164.86,169.48,172.81,175.04,176.33,176.84,177.28,177.66,177.98,178.22,178.39,178.5,178.54,178.52,178.43,178.27
BARROWINFURNESS,35.65,57.42,66.04,71.65,75.73,79.14,82.05,84.67,87.83,91.24,94.07,98.85,102.76,105.68,107.8,109.24,110.1,110.48,110.82,111.11,111.36,111.52,111.66,111.74,111.77,111.76,111.7,111.59
BLACKBURN WITH DARWEN,137.17,423.11,717.03,1027.03,1348.07,1682.61,2027.33,2383.06,2776.95,3201.64,3628.5,4157.96,4681.77,5184.97,5667.23,6128.06,6565.32,6979.82,7395.64,7812.14,8228.91,8643.34,9057.69,9470.7,9881.95,10291.05,10697.56,11101.07
BLACKPOOL,107.84,171.8,194.94,209.05,218.62,226.11,231.98,236.87,245.04,253.91,261.23,274.01,284.39,292.05,297.51,301.16,303.22,303.97,304.64,305.21,305.67,306.04,306.31,306.49,306.57,306.55,306.43,306.22
BOLTON,513.21,1691.09,2923.36,4223.4,5566.76,6959.91,8386.6,9849.79,11499.5,13278.33,15066.97,17282.32,19475.75,21585.56,23610.19,25546.93,27386.8,29132.87,30885.9,32644.52,34405.93,36157.59,37911.36,39661.23,41405.53,43142.54,44870.53,46587.74
BURNLEY,50.96,82.17,94.51,102.62,108.6,113.66,117.73,121.39,126.16,131.29,135.62,142.81,148.75,153.29,156.69,159.13,160.74,161.66,162.52,163.32,164.06,164.74,165.37,165.93,166.44,166.89,167.28,167.61
BURY,126.29,422.67,736.69,1070.89,1419.03,1783.43,2160.34,2550.53,2986.72,3458.58,3935.63,4526.94,5115.22,5684.75,6234.06,6761.95,7266.13,7747.0,8231.13,8717.91,9206.68,9696.79,10188.26,10680.46,11172.93,11665.19,12156.77,12647.16
CARLISLE,69.5,111.97,128.69,139.64,147.64,154.37,159.56,164.12,170.21,176.76,182.17,191.35,198.84,204.39,208.38,211.05,212.59,213.21,213.76,214.22,214.6,214.87,215.07,215.18,215.21,215.16,215.02,214.81
CHESHIRE EAST,35.06,56.81,65.7,71.74,76.33,80.34,83.82,87.02,90.74,94.75,98.19,103.71,108.33,111.94,114.72,116.8,118.27,119.23,120.14,121.01,121.83,122.61,123.34,124.04,124.68,125.28,125.84,126.35
CHORLEY,82.14,229.16,374.0,525.47,681.97,844.86,1012.59,1185.5,1379.89,1590.01,1801.57,2064.47,2325.02,2576.13,2817.59,3048.59,3268.28,3476.98,3686.74,3897.35,4108.52,4320.26,4532.22,4744.27,4956.19,5167.8,5378.88,5589.23
COPELAND,15.53,24.88,28.43,30.66,32.22,33.48,34.5,35.38,36.6,37.92,38.99,40.87,42.37,43.47,44.23,44.71,44.94,44.99,45.02,45.04,45.03,44.99,44.94,44.87,44.78,44.67,44.54,44.4
CRAVEN,8.34,13.42,15.4,16.68,17.62,18.41,19.08,19.69,20.47,21.32,22.04,23.21,24.19,24.94,25.49,25.89,26.16,26.31,26.45,26.57,26.69,26.81,26.91,27.0,27.08,27.16,27.22,27.27
DERBYSHIRE DALES,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
EDEN,33.74,54.08,61.78,66.66,70.11,72.93,75.23,77.23,80.07,83.09,85.59,89.87,93.35,95.92,97.76,98.99,99.68,99.94,100.16,100.34,100.49,100.61,100.69,100.73,100.74,100.71,100.65,100.56
FYLDE,20.31,32.87,37.95,41.36,43.95,46.2,48.17,49.98,52.1,54.38,56.32,59.46,62.09,64.14,65.7,66.86,67.67,68.18,68.66,69.12,69.55,69.97,70.37,70.74,71.09,71.41,71.71,71.99
HIGH PEAK,102.56,334.51,579.69,841.64,1116.02,1404.83,1705.17,2018.03,2364.12,2738.85,3117.89,3587.34,4054.32,4505.61,4940.45,5358.24,5757.03,6137.17,6519.65,6904.24,7290.21,7677.21,8065.11,8453.45,8841.87,9229.97,9617.38,10003.71
HYNDBURN,144.08,462.57,793.33,1141.76,1501.82,1875.39,2258.24,2651.36,3092.64,3567.74,4045.58,4637.79,5224.32,5788.46,6329.73,6847.19,7338.29,7804.21,8271.38,8739.32,9207.48,9674.42,10141.04,10606.47,11070.23,11531.9,11990.99,12447.04
LANCASTER,91.73,147.9,170.12,184.87,195.9,205.26,212.77,219.51,228.42,237.83,245.64,258.5,269.16,277.2,283.0,286.92,289.38,290.66,291.88,293.0,294.04,294.88,295.66,296.35,296.92,297.4,297.77,298.04
MANCHESTER,1789.06,5110.71,8438.6,11947.31,15599.22,19428.6,22948.14,26600.82,30688.01,35111.24,39552.6,45109.63,50613.93,55898.75,60945.14,65740.32,70289.11,74604.94,78940.87,83287.45,87640.33,92019.0,96395.19,100771.95,105145.07,109510.26,113863.18,118199.38
NORTHUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
