Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,100326.32,96304.37,93684.11,91067.03,89169.63,87483.86,86188.17,85125.39,84079.04,83066.25,82261.41,81490.52,80711.26,79956.67,79549.94,79181.27,78784.46,78348.5,78076.64,77874.65,77626.93,77429.6,77255.78,77123.97,76991.47,77032.53,77105.65,77165.75
BARROWINFURNESS,75405.36,71893.37,69483.6,67156.94,65369.3,63727.07,62478.03,61387.44,60339.59,59382.16,58529.22,57762.95,56976.87,56207.47,55747.93,55303.3,54853.87,54397.68,54062.09,53776.95,53466.56,53187.98,52927.75,52699.48,52467.26,52349.17,52252.26,52143.91
BLACKBURN WITH DARWEN,199819.25,191420.82,186090.84,180741.94,176875.79,173385.36,170825.84,168803.12,166731.98,164884.55,163292.62,161770.67,160285.15,158753.3,158031.66,157406.44,156635.83,155875.98,155427.05,155132.3,154805.6,154516.98,154275.7,154120.69,153936.92,154034.73,154184.45,154294.3
BLACKPOOL,224182.25,214852.38,208821.23,202898.59,198410.23,194531.57,191675.2,189371.15,187087.28,185029.63,183350.35,181795.88,180262.45,178725.78,178076.55,177563.95,176891.49,176148.2,175723.05,175455.93,175120.81,174847.34,174615.25,174463.57,174204.21,174007.94,173818.8,173550.84
BOLTON,432321.66,415423.07,404688.54,394077.58,386409.88,379690.9,374835.43,371072.22,367308.83,364053.37,361348.9,358927.27,356463.45,354043.38,353390.11,352804.21,352016.94,351090.19,350882.04,350981.02,350889.31,350955.74,351110.74,351436.34,351615.34,352166.42,352779.59,353266.79
BURNLEY,144484.34,138693.64,135058.55,131497.68,128902.49,126630.56,124955.74,123674.77,122382.85,121161.46,120220.87,119283.82,118318.31,117386.57,116984.88,116661.22,116248.33,115803.71,115603.21,115477.19,115329.4,115230.65,115165.99,115164.51,115141.32,115329.27,115556.0,115752.97
BURY,289202.25,278309.85,271449.22,264677.59,259736.18,255490.58,252552.5,250290.09,248062.74,246035.12,244500.48,243101.88,241656.97,240284.08,240000.71,239863.85,239544.64,239109.29,239147.55,239363.09,239490.24,239708.63,239984.18,240371.91,240648.79,241141.87,241669.39,242106.08
CARLISLE,192043.54,184412.94,179413.71,174532.16,170885.69,167730.51,165365.92,163407.74,161453.56,159653.22,158125.49,156676.86,155154.0,153664.06,152860.3,152121.38,151307.87,150367.29,149766.97,149253.98,148692.7,148214.26,147778.04,147418.31,147019.28,146828.24,146674.65,146478.43
CHESHIRE EAST,229418.74,221361.38,216517.01,211610.3,208186.45,205232.13,203188.79,201663.28,200168.64,198775.17,197707.99,196702.58,195662.02,194654.32,194481.89,194451.25,194253.54,193940.16,194049.05,194311.91,194502.69,194743.02,195028.33,195402.59,195686.82,196137.57,196615.46,197020.63
CHORLEY,156198.6,151017.87,147961.99,144865.18,142795.81,140955.76,139797.96,138962.25,138114.61,137353.05,136781.43,136307.71,135779.06,135225.84,135289.61,135392.77,135414.34,135368.05,135600.53,135912.97,136173.79,136504.85,136871.36,137306.25,137706.57,138323.69,138980.73,139600.64
COPELAND,73808.13,70429.72,68100.38,65880.42,64170.7,62642.01,61403.74,60353.38,59375.45,58435.65,57632.51,56831.17,56058.78,55329.3,54861.42,54410.13,53937.55,53458.0,53101.11,52798.06,52464.08,52157.13,51867.18,51606.65,51337.86,51160.4,50999.83,50826.64
CRAVEN,28917.81,27922.87,27305.96,26697.33,26275.7,25904.99,25642.13,25451.15,25258.79,25070.96,24918.7,24774.39,24625.9,24470.6,24410.95,24366.22,24307.36,24250.52,24232.04,24231.62,24216.81,24218.79,24227.28,24247.92,24268.47,24343.25,24427.89,24508.55
DERBYSHIRE DALES,23.81,22.85,22.23,21.62,21.17,20.77,20.47,20.23,20.0,19.78,19.59,19.42,19.25,19.07,18.98,18.91,18.82,18.74,18.69,18.65,18.61,18.58,18.55,18.54,18.52,18.53,18.56,18.57
EDEN,99300.17,95991.85,93955.9,91895.55,90485.67,89217.57,88279.19,87613.5,86902.52,86246.22,85712.94,85165.51,84647.92,84066.33,83810.73,83607.69,83350.31,83036.64,82854.2,82715.45,82561.55,82450.01,82358.06,82302.92,82236.32,82305.86,82398.91,82473.6
FYLDE,108072.06,104700.83,102760.16,100792.98,99512.65,98389.16,97696.16,97234.84,96709.1,96234.3,95901.56,95585.5,95246.92,94885.17,94950.3,95047.22,95044.31,95007.56,95135.31,95335.88,95481.05,95675.97,95891.91,96150.35,96362.11,96649.92,96949.85,97213.32
HIGH PEAK,123651.41,119061.46,116193.73,113345.83,111356.85,109572.62,108340.09,107362.14,106417.33,105551.27,104825.83,104178.89,103495.64,102803.92,102611.86,102453.63,102237.5,101996.36,101960.9,101988.92,101978.0,102023.43,102097.32,102224.93,102330.78,102614.22,102930.05,103218.93
HYNDBURN,86553.24,82958.19,80655.78,78369.17,76682.39,75183.95,74103.93,73237.62,72373.47,71587.22,70950.4,70348.54,69735.8,69122.56,68888.03,68701.26,68446.69,68203.1,68077.54,68028.31,67965.74,67918.74,67891.98,67902.96,67901.82,68030.59,68183.0,68317.81
LANCASTER,208365.07,201174.53,196974.3,192801.38,190031.57,187652.69,186089.61,185004.12,184001.39,183076.54,182316.81,181571.22,180841.67,180085.12,180033.82,180023.5,179887.54,179706.96,179849.5,180099.02,180226.8,180477.56,180769.28,181141.39,181451.45,181992.81,182571.2,183092.69
MANCHESTER,890482.79,865125.8,851297.82,838313.58,829822.24,823492.95,820388.19,819704.25,819548.77,820207.02,821582.76,822873.52,824337.37,825899.26,830358.15,834283.08,836978.53,839287.31,842843.29,846521.67,849301.04,852911.78,856619.83,860562.5,863899.67,867617.67,871320.98,874659.12
NORTHUMBERLAND,4.11,3.94,3.83,3.72,3.63,3.56,3.5,3.45,3.41,3.36,3.32,3.29,3.25,3.21,3.19,3.17,3.15,3.12,3.11,3.09,3.08,3.07,3.05,3.04,3.03,3.03,3.02,3.02
OLDHAM,339249.61,327219.95,320048.94,312826.42,307890.48,303672.81,300880.65,298935.42,296976.42,295223.89,294010.64,292954.68,291852.97,290694.79,290909.5,291281.93,291401.7,291456.98,292011.6,292786.23,293431.33,294225.5,295091.76,296100.19,297008.84,298312.44,299684.91,300963.58
PENDLE,99005.06,94964.07,92379.08,89832.38,87966.1,86305.64,85098.53,84142.1,83194.72,82295.75,81564.64,80855.77,80133.96,79408.08,79059.28,78749.29,78381.21,78003.14,77781.62,77637.89,77472.93,77337.42,77226.42,77160.26,77085.71,77175.83,77296.51,77399.55
PRESTON,207075.66,198962.82,193832.64,188924.99,185363.72,182227.42,180063.47,178419.66,176897.56,175474.42,174300.35,173194.26,172089.67,170978.55,170624.35,170284.31,169748.58,169215.97,168991.68,168902.6,168737.32,168639.53,168583.43,168606.86,168558.91,168687.73,168845.03,168942.86
RIBBLE VALLEY,96337.05,93089.34,91149.85,89199.41,87910.06,86735.5,85977.1,85420.34,84855.02,84334.32,83931.2,83559.17,83178.99,82754.95,82709.85,82707.92,82659.47,82588.1,82651.38,82786.47,82889.63,83037.51,83208.37,83422.72,83629.46,84008.24,84419.39,84813.98
RICHMONDSHIRE,84.34,80.95,78.77,76.59,75.02,73.59,72.52,71.65,70.77,69.94,69.25,68.59,67.92,67.25,66.89,66.56,66.22,65.85,65.61,65.44,65.24,65.07,64.92,64.81,64.69,64.73,64.79,64.85
ROCHDALE,303154.97,292440.28,286128.48,279794.01,275425.35,271695.42,269285.25,267626.27,265979.09,264501.71,263461.76,262520.57,261517.33,260510.23,260744.79,261070.64,261137.91,261093.31,261542.92,262202.17,262734.02,263398.29,264128.89,264989.45,265757.89,266869.94,268044.16,269134.41
ROSSENDALE,95889.6,92334.74,90192.96,88003.77,86472.77,85127.15,84203.39,83539.86,82845.06,82199.47,81696.67,81216.85,80722.83,80214.8,80085.13,80015.02,79870.53,79704.43,79703.26,79761.53,79818.13,79890.2,79984.89,80122.5,80240.99,80495.05,80774.24,81031.31
SALFORD,465962.7,455054.22,449583.52,444184.55,441262.31,439186.75,438839.88,439475.38,440319.44,441466.56,443129.83,444819.48,446426.85,448133.98,451430.84,454650.91,457190.35,459443.23,462381.37,465366.87,467834.71,470768.0,473745.89,476842.43,479611.13,482592.17,485563.49,488334.48
SEFTON,3.42,3.27,3.17,3.07,2.99,2.93,2.88,2.83,2.79,2.75,2.72,2.68,2.65,2.62,2.6,2.58,2.56,2.54,2.53,2.52,2.5,2.49,2.48,2.47,2.47,2.46,2.46,2.46
SOUTH LAKELAND,195826.19,188788.81,184345.08,179886.85,176764.98,173956.0,171926.87,170285.28,168582.21,166993.88,165703.34,164491.2,163220.06,161945.86,161402.85,160933.97,160419.24,159810.45,159520.16,159374.15,159118.56,158956.06,158833.66,158786.97,158711.93,158899.1,159132.03,159325.75
SOUTH RIBBLE,172738.03,165858.98,161467.34,157102.94,153934.43,151082.57,149042.79,147388.12,145782.22,144322.6,143107.57,142006.57,140855.0,139721.89,139220.05,138814.09,138338.51,137804.74,137591.19,137470.76,137311.25,137208.24,137145.88,137158.06,137132.85,137312.74,137531.65,137711.37
ST HELENS,70487.44,67730.46,65991.64,64277.73,63044.64,61950.85,61166.04,60545.05,59941.79,59397.53,58947.51,58554.38,58136.96,57730.43,57607.96,57511.18,57385.78,57243.54,57229.77,57260.86,57268.2,57300.96,57350.48,57431.14,57498.14,57659.13,57838.07,58001.61
STAFFORDSHIRE MOORLANDS,9.25,8.94,8.75,8.57,8.44,8.33,8.26,8.21,8.16,8.11,8.07,8.04,8.01,7.98,7.98,7.99,7.99,7.98,8.0,8.02,8.03,8.05,8.07,8.1,8.12,8.15,8.18,8.22
STOCKPORT,378938.71,364733.09,355972.22,347318.85,341119.93,335690.4,331981.1,329198.11,326461.29,324006.32,322082.78,320335.21,318593.52,316812.37,316454.02,316301.71,315901.6,315385.52,315503.69,315917.15,316150.8,316494.46,316910.16,317468.93,317858.84,318462.63,319097.07,319601.87
TAMESIDE,336573.45,323577.57,315401.56,307374.68,301568.19,296493.88,292974.19,290277.5,287746.14,285393.72,283597.14,281949.48,280260.09,278659.98,278342.01,278164.46,277746.24,277234.37,277317.94,277605.11,277761.9,278044.37,278399.33,278893.25,279290.44,280047.72,280868.62,281599.6
TRAFFORD,321986.99,310686.43,303909.01,297177.91,292428.03,288418.58,285766.11,283908.66,282043.99,280388.08,279208.21,278164.32,277075.51,275971.37,276065.95,276353.09,276412.31,276311.29,276745.96,277427.66,278008.59,278644.96,279339.09,280151.33,280815.58,281673.9,282558.03,283329.79
WARRINGTON,35010.81,33652.7,32788.58,31928.38,31308.68,30746.74,30340.46,30016.53,29697.34,29403.68,29164.44,28945.9,28717.81,28491.98,28397.62,28318.96,28226.77,28123.66,28075.12,28050.69,28018.95,27998.68,27986.65,27989.67,27989.44,28042.53,28105.8,28163.2
WEST LANCASHIRE,160530.72,153976.04,149765.33,145603.05,142545.05,139805.71,137707.78,136038.76,134414.83,132904.16,131622.76,130396.03,129209.24,128033.86,127437.29,126920.2,126336.02,125750.71,125453.47,125256.6,125026.35,124824.43,124658.83,124559.57,124427.26,124476.55,124559.94,124608.08
WIGAN,437706.23,420915.38,410374.63,399875.19,392252.78,385592.66,380826.5,377082.92,373410.9,370067.23,367392.03,364993.15,362514.91,360083.1,359408.32,358929.63,358185.02,357317.94,357197.48,357350.57,357328.23,357483.22,357733.86,358166.11,358476.39,359248.96,360104.9,360846.47
