Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,3629.93,6205.98,8840.4,13397.31,19433.03,25264.69,33732.55,53373.13,72896.57,92016.46,110851.14,129437.2,146936.04,164397.96,182213.53,199267.66,215437.56,230399.77,242614.76,253848.41,264573.99,274045.23,271688.33,269678.67,267634.02,265588.01,263446.2,260894.65
BARROWINFURNESS,1569.3,2645.72,3681.36,5471.28,8213.15,10849.04,15581.39,28608.25,41437.15,54000.86,66282.89,78377.08,89893.59,101243.2,112672.89,123650.28,134158.75,144129.67,152958.2,161028.7,168512.1,175562.83,173531.72,171623.54,169685.14,167734.75,165742.6,163558.83
BLACKBURN WITH DARWEN,3214.41,5330.9,7514.1,11044.12,16518.42,21812.79,30766.04,54091.58,76818.08,98837.76,120080.02,140647.24,160009.98,178842.98,197617.17,215434.63,232015.53,247139.16,260207.44,271737.98,282185.61,291546.74,286647.63,282018.54,277401.21,272837.34,268269.35,263441.74
BLACKPOOL,5321.03,8284.59,11006.96,15569.38,21885.87,28075.02,38098.92,62591.54,87036.73,111144.07,134904.29,158375.19,180676.91,202777.89,225225.28,246841.47,267200.05,286219.61,302602.15,317759.51,332233.62,344962.76,342159.19,339705.54,337251.27,334917.81,332514.32,329703.16
BOLTON,6679.7,10379.62,14399.06,21294.32,32098.54,42579.17,59121.43,99795.37,138956.22,176423.51,212071.29,246154.7,277881.98,308341.5,338239.39,365982.91,391153.8,413334.18,431653.28,446665.01,459415.55,470580.07,459707.89,449242.5,438893.6,428752.82,418704.03,408442.19
BURNLEY,2265.62,3845.81,5471.86,8092.16,12128.24,16136.29,22981.26,40872.15,58626.12,76063.36,93230.21,110116.42,126258.21,142314.47,158533.39,174229.81,189168.71,203042.37,215516.62,226939.15,237650.21,247610.3,245455.17,243488.13,241483.59,239475.61,237421.88,235084.74
BURY,4362.7,6826.26,9527.44,14098.31,20964.71,27708.2,38687.64,65870.94,92475.44,118296.86,143364.07,167735.79,190821.3,213449.53,235956.15,257364.96,277237.19,295306.78,310905.18,324624.77,337120.12,348467.95,343476.31,338751.11,334052.7,329458.11,324857.89,319996.77
CARLISLE,3704.92,6163.54,8849.14,13388.32,19497.39,25461.74,34070.02,53555.44,72920.57,91969.39,110687.78,129161.22,146644.11,164043.91,181744.94,198715.71,214761.87,229584.3,241901.56,253055.08,263635.41,273131.96,270833.08,268816.66,266777.47,264771.01,262692.65,260272.01
CHESHIRE EAST,3440.59,5632.02,8472.33,13006.01,19279.13,25490.62,34832.52,56329.07,77692.64,98757.13,119524.29,140049.65,159900.91,179799.21,199867.51,219291.65,237539.86,254355.24,269093.13,282587.64,295308.85,307338.83,305725.85,304280.79,302814.31,301405.89,299934.8,298197.91
CHORLEY,2383.86,4258.61,6769.75,10524.26,15671.49,20730.41,28209.64,45191.37,61948.51,78361.07,94403.94,110218.24,125433.04,140695.36,156094.14,170857.41,184603.69,196934.17,207765.34,217576.74,226734.62,235495.35,233939.3,232516.35,231075.26,229650.1,228185.63,226529.31
