Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,493300.86,529920.2,557267.66,614750.75,674336.69,706537.0,734585.23,779399.18,859196.02,897161.25,939585.67,977852.84,1018028.12,1055417.51,1091246.42,1124859.92,1154593.99,1180808.71,1201711.12,1218081.89,1231770.54,1242870.34,1240821.21,1237749.4,1233901.46,1229800.6,1225121.93,1219797.48
BARROWINFURNESS,378542.31,406642.75,427628.26,471738.83,517463.05,542172.48,563695.73,598084.44,659317.82,688451.04,721006.1,750371.03,781200.18,809891.52,837385.41,863179.27,885996.18,906112.46,922152.26,934714.64,945218.84,953736.45,952164.01,949806.81,946854.03,943707.17,940116.92,936031.12
BLACKBURN WITH DARWEN,588155.72,653865.12,695246.44,749578.8,826282.46,871792.32,906902.1,965137.27,1017078.05,1071209.38,1120646.15,1166116.71,1213181.99,1256647.71,1297849.1,1336111.08,1369946.62,1400304.43,1424986.62,1446055.66,1464069.36,1479232.9,1478795.57,1477391.86,1475111.83,1472440.45,1469213.33,1465201.05
BLACKPOOL,645442.04,705987.8,776814.92,845714.02,885044.55,934294.06,973972.42,1034280.57,1108439.58,1174672.34,1222453.5,1269758.98,1320605.1,1367190.25,1411627.1,1453277.67,1490454.98,1523352.88,1551410.82,1575968.12,1597443.0,1616254.89,1617693.8,1617595.05,1616595.33,1615214.01,1613247.45,1610405.63
BOLTON,1168348.1,1266775.56,1331799.54,1431262.64,1521481.38,1578666.79,1651142.08,1755108.19,1860012.84,1955973.16,2049422.74,2141816.54,2235440.61,2323977.79,2406402.4,2481710.51,2546731.9,2603609.51,2652123.39,2693363.93,2727881.35,2757759.38,2761953.05,2763851.35,2764094.04,2763597.6,2761890.26,2759168.74
BURNLEY,359621.02,390315.15,414486.31,437250.12,467770.07,491956.69,520156.48,555631.2,591779.11,638140.04,677053.34,712296.19,751561.83,786592.79,820318.44,852154.12,881520.05,901911.58,919425.54,934687.94,947953.05,959631.89,959411.23,958537.34,957134.72,955538.35,953611.58,951155.08
BURY,780126.53,846927.3,891119.56,957715.34,1018063.92,1056234.48,1104560.91,1173812.35,1243649.3,1307944.41,1370240.21,1431711.34,1494115.44,1552988.32,1607792.31,1657860.68,1701095.22,1738902.3,1771146.79,1798560.06,1821504.17,1841357.64,1844110.95,1845343.11,1845475.73,1845119.8,1843960.2,1842119.97
CARLISLE,539347.52,579385.06,609285.25,672134.04,737281.96,772487.98,803154.34,852151.41,939396.8,980905.85,1027290.34,1069129.52,1113054.93,1153934.39,1193107.71,1229858.83,1262368.39,1291030.1,1313883.63,1331782.51,1346748.91,1358884.81,1356644.4,1353285.86,1349078.74,1344595.08,1339479.7,1333658.24
CHESHIRE EAST,539318.05,567422.36,597672.13,634744.65,660771.79,687378.99,721450.93,800772.17,854807.56,950406.95,989365.34,1026651.99,1089645.9,1126259.57,1160763.29,1192954.27,1221510.39,1246728.03,1268379.21,1287605.35,1303760.8,1317837.96,1318753.15,1318454.35,1317460.92,1316261.91,1314514.44,1312114.0
CHORLEY,416341.72,455468.61,500544.75,544854.37,570544.25,601994.17,627635.75,666513.24,714054.35,756519.12,787414.3,817996.13,850801.46,880881.32,909548.77,936394.95,960328.87,981499.12,999555.72,1015347.7,1029139.9,1041217.71,1042162.76,1042122.99,1041502.77,1040636.64,1039391.42,1037589.02
