Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,0.0,2.0,5.39,9.79,15.63,24.28,37.43,49.65,61.02,71.17,78.84,80.98,83.22,85.39,87.62,89.72,91.81,93.86,95.84,97.69,99.46,101.04,102.52,103.95,105.25,106.51,107.68,108.57
BARROWINFURNESS,51.74,52.27,53.16,54.34,55.91,58.24,61.79,65.11,68.2,70.99,73.12,73.79,74.5,75.19,75.9,76.58,77.25,77.91,78.54,79.13,79.67,80.15,80.59,81.01,81.39,81.76,82.1,82.36
BLACKBURN WITH DARWEN,0.0,2.48,6.67,12.08,19.25,29.88,46.03,61.04,74.98,87.38,96.72,99.2,101.8,104.29,106.87,109.28,111.66,114.02,116.29,118.44,120.51,122.38,124.15,125.86,127.42,128.93,130.33,131.37
BLACKPOOL,26.18,27.15,28.78,30.95,33.87,38.21,44.79,50.99,56.8,62.04,66.11,67.53,69.01,70.46,71.96,73.39,74.82,76.21,77.55,78.77,79.89,80.86,81.74,82.57,83.33,84.06,84.73,85.26
BOLTON,0.01,2.43,9.72,18.26,28.57,42.33,61.56,76.52,90.46,102.93,112.41,115.2,118.12,120.95,123.87,126.63,129.37,132.06,134.65,137.06,139.33,141.35,143.22,145.02,146.66,148.24,149.71,150.83
BURNLEY,0.0,1.04,2.79,5.07,8.11,12.62,19.46,25.85,31.79,37.1,41.14,42.31,43.54,44.73,45.96,47.12,48.27,49.4,50.49,51.5,52.46,53.31,54.11,54.88,55.57,56.25,56.87,57.34
BURY,20.7,22.16,28.33,35.26,43.26,53.34,66.73,75.77,84.19,91.73,97.46,99.15,100.92,102.63,104.4,106.07,107.73,109.36,110.93,112.39,113.77,114.99,116.13,117.22,118.21,119.17,120.06,120.74
CARLISLE,0.31,2.13,5.24,9.26,14.6,22.51,34.54,45.71,56.1,65.38,72.4,74.37,76.44,78.44,80.51,82.45,84.38,86.28,88.11,89.82,91.44,92.9,94.26,95.57,96.77,97.93,99.01,99.82
CHESHIRE EAST,20.7,22.19,24.7,27.98,32.34,38.81,48.65,57.82,66.36,74.0,79.81,81.51,83.28,85.0,86.78,88.46,90.13,91.77,93.35,94.82,96.21,97.45,98.6,99.71,100.72,101.69,102.59,103.28
CHORLEY,0.0,1.65,4.53,8.24,13.12,20.3,31.17,41.18,50.48,58.76,65.01,66.71,68.48,70.18,71.95,73.6,75.24,76.85,78.41,79.87,81.28,82.55,83.74,84.9,85.95,86.96,87.91,88.61
COPELAND,10.35,11.43,13.24,15.6,18.73,23.36,30.41,36.96,43.06,48.49,52.59,53.71,54.89,56.02,57.2,58.3,59.39,60.46,61.5,62.47,63.41,64.25,65.04,65.81,66.5,67.18,67.8,68.27
CRAVEN,0.0,0.44,1.18,2.14,3.42,5.32,8.21,10.9,13.4,15.63,17.33,17.81,18.31,18.79,19.3,19.77,20.23,20.69,21.14,21.55,21.95,22.3,22.63,22.94,23.23,23.51,23.77,23.96
DERBYSHIRE DALES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
EDEN,1.03,7.28,21.16,37.97,59.13,89.33,134.09,172.29,207.63,238.89,262.05,267.04,272.28,277.42,282.75,287.63,292.5,297.31,301.96,306.41,310.72,314.77,318.67,322.45,326.05,329.55,332.92,335.4
FYLDE,0.0,1.03,3.27,6.04,9.54,14.49,21.76,28.05,33.9,39.12,43.08,44.19,45.36,46.49,47.65,48.75,49.84,50.91,51.94,52.91,53.83,54.65,55.42,56.17,56.84,57.5,58.11,58.56
