Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,315.94,320.68,329.9,363.96,380.19,405.05,433.61,455.8,476.55,494.12,497.61,474.87,474.91,482.12,489.92,497.54,505.38,512.79,520.25,526.58,530.82,524.64,529.48,538.2,546.4,554.5,562.38,567.85
BARROWINFURNESS,347.09,348.11,353.03,362.4,368.36,375.89,384.13,388.36,392.46,396.04,397.07,393.73,394.13,395.64,397.28,398.92,400.61,402.24,403.93,405.46,406.73,406.49,407.8,409.67,411.41,413.12,414.78,415.92
BLACKBURN WITH DARWEN,89.01,91.18,94.2,101.08,104.75,109.58,115.06,120.12,124.95,129.45,131.51,129.76,131.6,133.89,136.64,139.37,142.24,144.98,148.0,150.82,153.54,154.17,156.69,159.94,162.77,165.55,168.09,169.77
BLACKPOOL,29.66,31.15,33.33,40.14,43.3,47.99,53.46,57.95,62.46,66.39,67.35,62.48,63.1,65.35,67.76,70.13,72.59,74.91,77.35,79.48,81.14,79.98,81.73,84.51,87.07,89.58,91.99,93.6
BOLTON,55.78,59.17,64.85,81.2,88.97,100.36,113.55,124.47,135.17,144.67,147.44,137.92,139.65,144.58,149.91,155.24,160.81,166.13,171.84,177.1,181.86,182.56,187.24,193.42,199.06,204.62,209.93,213.5
BURNLEY,52.51,53.97,56.2,62.77,65.84,70.37,75.62,80.35,84.93,89.07,90.64,87.84,88.94,91.06,93.38,95.72,98.17,100.52,103.06,105.42,107.64,108.36,110.5,113.18,115.62,118.02,120.32,121.85
BURY,39.54,41.45,44.23,52.72,56.66,62.53,69.36,75.25,81.05,86.26,87.99,83.72,84.85,87.43,90.27,93.12,96.11,98.99,102.09,105.01,107.8,108.85,111.53,114.83,117.83,120.78,123.58,125.47
CARLISLE,67.75,70.58,74.89,90.15,97.38,108.42,121.05,131.52,141.79,150.19,151.71,138.57,138.86,142.93,147.7,152.54,157.6,162.41,167.38,171.86,175.8,175.91,179.73,184.9,189.63,194.27,198.73,201.75
CHESHIRE EAST,41.54,43.33,45.93,53.41,57.53,63.27,69.62,75.29,80.82,85.5,87.59,84.27,85.75,88.02,90.97,93.95,97.1,100.03,103.03,105.64,107.83,107.03,109.09,112.18,114.9,117.57,120.08,121.74
CHORLEY,12.98,14.73,17.44,24.34,27.87,32.76,38.36,43.22,47.95,52.28,54.15,52.05,53.5,55.63,58.1,60.57,63.17,65.67,68.36,70.89,73.3,74.09,76.36,79.2,81.73,84.21,86.54,88.09
COPELAND,162.13,163.85,167.03,179.17,184.75,193.59,203.74,211.73,219.4,225.79,226.85,218.17,217.84,219.98,222.5,224.99,227.57,230.06,232.58,234.86,236.75,236.3,238.23,241.0,243.57,246.11,248.55,250.27
CRAVEN,0.57,1.06,1.75,4.03,5.15,6.82,8.73,10.41,12.03,13.44,14.01,13.14,13.48,14.04,14.74,15.46,16.22,16.94,17.71,18.41,19.08,19.27,19.89,20.67,21.37,22.05,22.69,23.13
DERBYSHIRE DALES,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
EDEN,20.3,23.41,30.29,43.3,51.26,61.09,71.88,80.29,88.73,96.39,101.16,100.3,104.54,109.56,115.35,121.43,127.92,134.08,140.73,146.98,153.29,157.71,163.47,169.83,175.6,181.23,186.65,190.17
FYLDE,40.27,41.5,43.91,50.12,53.39,57.96,63.15,67.13,71.01,74.48,75.72,73.15,73.93,75.52,77.33,79.13,81.0,82.79,84.68,86.41,87.92,87.81,89.3,91.37,93.24,95.08,96.82,97.99
HIGH PEAK,2.72,3.77,5.22,11.13,13.95,18.39,23.46,27.12,30.89,33.71,33.32,25.39,24.59,25.8,27.38,28.97,30.61,32.19,33.78,35.22,36.51,36.54,37.76,39.39,40.85,42.29,43.65,44.59
HYNDBURN,49.08,50.47,52.66,59.24,62.24,66.75,72.02,76.34,80.7,84.49,85.36,80.44,80.98,83.19,85.55,87.95,90.48,92.91,95.55,98.03,100.43,101.63,103.93,106.67,109.2,111.69,114.08,115.68
LANCASTER,55.53,58.82,68.51,90.97,103.33,120.09,138.93,151.53,163.79,174.56,177.77,167.29,168.88,174.15,179.74,185.37,191.22,196.82,202.73,208.14,212.88,213.29,218.05,224.42,230.36,236.21,241.89,245.73
MANCHESTER,40.77,46.22,53.68,73.36,83.24,97.02,112.85,127.32,141.09,153.96,159.54,154.4,158.88,164.88,171.89,178.7,185.79,192.55,199.84,206.46,212.26,210.67,216.29,224.6,231.88,239.05,245.65,250.06
NORTHUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
OLDHAM,45.48,48.07,52.35,62.07,67.09,73.8,81.51,88.41,95.16,101.57,104.97,103.92,106.89,110.62,114.71,118.89,123.31,127.56,132.23,136.69,141.18,143.93,148.11,152.91,157.24,161.49,165.53,168.18
PENDLE,8.25,9.09,10.28,13.39,14.99,17.19,19.69,21.96,24.11,26.05,26.87,25.86,26.52,27.47,28.62,29.79,31.04,32.23,33.53,34.77,35.99,36.56,37.69,39.03,40.22,41.38,42.46,43.18
PRESTON,49.25,52.33,57.69,79.45,88.83,104.24,122.25,134.06,146.42,155.59,151.99,119.07,114.2,118.69,123.46,128.01,132.63,137.0,141.36,145.01,147.2,142.25,144.94,150.32,155.38,160.41,165.27,168.7
RIBBLE VALLEY,14.84,16.12,18.07,22.57,24.94,28.08,31.63,34.84,37.97,40.79,42.04,40.31,41.45,43.19,45.2,47.26,49.44,51.52,53.79,55.92,58.02,59.06,61.01,63.32,65.38,67.41,69.32,70.57
RICHMONDSHIRE,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06
ROCHDALE,32.35,34.76,39.25,49.09,54.54,61.75,69.88,76.34,82.6,88.43,91.08,88.89,91.06,94.0,97.38,100.76,104.32,107.73,111.47,114.98,118.38,119.55,122.74,126.72,130.24,133.71,136.94,139.09
ROSSENDALE,85.26,86.13,87.3,90.25,91.81,93.96,96.37,98.53,100.57,102.41,103.19,102.37,103.01,103.81,104.86,105.91,107.04,108.13,109.34,110.5,111.69,112.32,113.4,114.65,115.73,116.8,117.76,118.4
SALFORD,25.79,28.4,32.33,42.41,47.59,54.8,63.05,70.26,77.15,83.57,86.35,83.82,85.97,88.86,92.26,95.58,99.05,102.38,105.99,109.33,112.42,112.49,115.44,119.46,122.99,126.49,129.69,131.84
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,61.2,63.97,69.62,86.67,95.47,108.39,122.98,134.18,145.06,154.51,157.81,150.66,152.09,155.53,159.68,163.64,167.7,171.46,175.15,178.07,179.57,173.85,175.68,180.17,184.24,188.24,192.04,194.67
SOUTH RIBBLE,13.08,15.09,18.65,27.55,32.09,38.44,45.72,51.47,57.18,62.3,64.05,59.82,61.07,63.7,66.64,69.55,72.6,75.5,78.61,81.44,83.96,83.82,86.28,89.71,92.79,95.83,98.7,100.61
ST HELENS,40.36,41.33,43.01,49.94,52.94,57.82,63.51,67.65,71.74,74.9,74.24,65.26,64.06,65.39,66.85,68.26,69.71,71.11,72.52,73.79,74.78,74.26,75.32,76.95,78.46,79.97,81.43,82.46
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,28.74,33.21,39.86,57.85,66.48,78.92,93.35,106.51,119.31,131.25,136.69,132.45,136.62,142.53,149.09,155.45,162.06,168.27,174.87,180.59,184.97,180.85,185.38,193.09,200.02,206.84,213.27,217.56
TAMESIDE,46.69,49.83,54.17,66.73,72.98,82.12,92.58,100.61,108.52,115.25,115.81,104.59,104.59,107.24,110.64,113.89,117.25,120.52,124.09,127.44,130.66,130.85,133.86,137.9,141.35,144.79,147.83,149.93
TRAFFORD,96.21,98.4,101.72,113.62,118.82,126.99,136.58,145.09,153.37,160.81,163.44,158.07,159.52,163.0,166.63,170.04,173.49,176.65,179.76,182.06,182.67,175.45,176.63,180.81,184.7,188.52,192.22,194.73
WARRINGTON,6.02,6.55,7.33,9.8,10.98,12.77,14.81,16.62,18.4,19.98,20.65,19.81,20.23,20.9,21.7,22.51,23.36,24.17,25.03,25.84,26.62,26.93,27.66,28.54,29.34,30.13,30.87,31.36
WEST LANCASHIRE,66.44,69.38,74.11,86.87,92.93,101.64,111.74,120.61,129.42,137.36,140.51,134.97,137.37,141.95,146.87,151.85,157.06,162.0,167.28,172.07,176.28,176.37,180.56,186.23,191.45,196.57,201.5,204.77
WIGAN,39.1,43.36,51.55,74.45,86.02,102.72,121.77,135.8,149.4,160.99,162.6,145.24,145.32,150.22,155.85,161.33,166.99,172.41,178.13,183.28,187.58,185.74,190.37,196.95,202.84,208.67,214.12,217.87
WYRE,52.98,55.63,60.49,77.8,85.65,98.0,112.31,122.84,133.38,142.0,142.27,125.56,124.4,128.16,132.23,136.12,140.08,143.78,147.46,150.41,151.9,146.3,148.39,153.02,157.34,161.61,165.73,168.6
