Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,40.68,43.57,50.43,57.83,65.71,77.6,92.09,104.48,116.41,128.11,135.27,139.87,144.65,148.92,153.47,158.19,163.22,168.09,173.57,178.96,184.76,190.3,195.58,200.94,205.8,210.57,215.1,218.07
BARROWINFURNESS,16.38,17.25,22.09,27.18,32.78,40.43,49.28,54.6,59.68,64.57,67.26,68.6,69.98,71.21,72.53,73.87,75.29,76.69,78.23,79.76,81.38,82.94,84.44,85.96,87.35,88.72,90.02,90.9
BLACKBURN WITH DARWEN,12.82,14.92,18.05,21.46,25.07,30.68,37.59,44.46,50.98,57.44,61.38,64.15,67.0,69.11,71.64,74.2,76.93,79.59,82.64,85.69,89.09,92.2,95.2,98.25,100.87,103.46,105.79,107.32
BLACKPOOL,5.3,6.55,8.63,10.9,13.25,17.0,21.7,26.41,30.95,35.44,38.3,40.29,42.36,44.17,46.13,48.16,50.33,52.42,54.79,57.12,59.65,62.04,64.32,66.64,68.73,70.77,72.7,73.96
BOLTON,28.41,31.57,37.36,43.84,51.5,64.86,81.68,97.68,112.98,127.82,136.38,141.26,146.3,150.68,155.42,160.29,165.46,170.5,176.14,181.72,187.72,193.42,198.89,204.44,209.45,214.36,219.02,222.1
BURNLEY,7.14,8.45,10.62,13.02,15.72,20.33,26.15,31.91,37.44,42.84,46.09,48.12,50.23,52.05,54.03,56.07,58.24,60.36,62.73,65.08,67.62,70.02,72.32,74.66,76.76,78.82,80.76,82.04
BURY,10.0,11.65,14.29,17.2,20.39,25.69,32.33,38.92,45.23,51.42,55.17,57.6,60.13,62.23,64.57,66.97,69.53,72.02,74.83,77.61,80.64,83.49,86.23,89.0,91.47,93.9,96.16,97.65
CARLISLE,21.16,23.32,26.93,30.89,35.27,42.64,51.91,61.08,69.9,78.53,83.78,87.15,90.65,93.67,96.95,100.34,103.95,107.46,111.41,115.31,119.53,123.53,127.36,131.24,134.73,138.16,141.39,143.51
CHESHIRE EAST,11.34,12.85,15.23,17.79,20.37,24.27,29.09,33.92,38.57,43.19,46.18,48.39,50.69,52.56,54.67,56.84,59.16,61.41,63.97,66.51,69.3,71.91,74.4,76.94,79.17,81.37,83.4,84.72
CHORLEY,10.38,12.03,14.79,17.84,21.21,26.72,33.58,40.17,46.45,52.61,56.27,58.59,60.98,62.91,65.1,67.33,69.7,72.02,74.64,77.24,80.09,82.75,85.29,87.89,90.17,92.4,94.48,95.85
COPELAND,4.48,5.59,8.05,10.79,14.1,19.62,26.43,32.33,37.92,43.3,46.24,47.74,49.27,50.48,51.86,53.27,54.74,56.2,57.83,59.45,61.23,62.88,64.49,66.11,67.55,68.96,70.28,71.16
CRAVEN,0.4,0.9,1.68,2.61,3.85,6.26,9.34,12.32,15.16,17.87,19.33,20.01,20.72,21.29,21.94,22.59,23.27,23.95,24.7,25.45,26.26,27.03,27.77,28.52,29.19,29.85,30.47,30.89
DERBYSHIRE DALES,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
EDEN,20.38,23.4,30.41,37.89,45.34,56.04,69.03,80.31,91.28,102.16,109.27,114.35,119.68,124.59,129.72,135.1,140.84,146.38,152.61,158.71,165.25,171.53,177.5,183.55,189.08,194.49,199.68,203.04
FYLDE,37.32,38.44,40.88,43.54,46.61,51.6,57.72,63.12,68.25,73.23,76.08,77.71,79.39,80.77,82.32,83.9,85.57,87.2,89.04,90.86,92.86,94.72,96.52,98.34,99.96,101.56,103.05,104.04
HIGH PEAK,4.07,4.86,6.05,7.4,9.07,12.04,15.79,19.46,22.93,26.29,28.17,29.21,30.27,31.07,32.02,32.97,33.98,34.97,36.09,37.21,38.45,39.58,40.68,41.81,42.78,43.73,44.61,45.19
HYNDBURN,7.03,8.16,10.11,12.19,14.29,17.6,21.73,25.88,29.92,33.92,36.54,38.43,40.41,42.18,44.06,46.03,48.12,50.15,52.43,54.68,57.11,59.42,61.62,63.86,65.88,67.87,69.75,70.97
LANCASTER,30.53,33.14,42.18,51.77,61.98,76.44,93.56,106.01,118.0,129.69,136.73,141.02,145.49,149.58,153.87,158.34,163.08,167.68,172.83,177.9,183.31,188.51,193.48,198.5,203.1,207.62,211.94,214.78
MANCHESTER,25.65,30.82,38.61,47.18,56.71,72.28,91.63,110.76,128.9,146.73,157.3,164.2,171.3,176.62,182.94,189.33,196.12,202.77,210.36,217.93,226.34,234.06,241.5,249.08,255.62,262.04,267.9,271.73
NORTHUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
OLDHAM,12.74,15.22,19.6,24.34,29.24,36.85,46.28,55.42,64.22,72.93,78.45,82.31,86.33,89.79,93.56,97.47,101.63,105.67,110.23,114.73,119.62,124.23,128.65,133.12,137.14,141.07,144.78,147.19
PENDLE,5.25,6.07,7.34,8.75,10.34,13.02,16.39,19.71,22.86,25.95,27.77,28.9,30.07,30.99,32.05,33.13,34.28,35.4,36.67,37.93,39.32,40.6,41.84,43.1,44.2,45.28,46.29,46.95
PRESTON,15.11,16.95,20.79,25.01,29.88,37.92,47.86,56.8,65.34,73.63,78.41,81.15,83.99,86.39,89.03,91.73,94.6,97.4,100.54,103.66,107.04,110.22,113.29,116.39,119.18,121.92,124.5,126.2
RIBBLE VALLEY,17.0,18.21,20.16,22.28,24.39,27.6,31.58,35.58,39.43,43.27,45.76,47.59,49.5,51.12,52.9,54.74,56.71,58.61,60.78,62.91,65.24,67.43,69.52,71.65,73.54,75.4,77.14,78.26
RICHMONDSHIRE,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06
ROCHDALE,16.13,18.48,23.17,28.24,33.85,42.63,53.36,62.98,72.15,81.12,86.44,89.79,93.26,96.01,99.16,102.38,105.79,109.12,112.89,116.65,120.77,124.61,128.3,132.05,135.34,138.58,141.58,143.55
ROSSENDALE,5.83,6.67,7.9,9.25,10.78,13.29,16.39,19.46,22.35,25.2,26.86,27.93,29.03,29.82,30.78,31.75,32.77,33.78,34.93,36.09,37.39,38.57,39.71,40.87,41.86,42.84,43.71,44.29
SALFORD,8.95,11.31,15.19,19.35,23.82,30.69,39.09,47.1,54.7,62.22,66.78,69.95,73.21,75.62,78.51,81.43,84.54,87.58,91.06,94.55,98.44,102.0,105.44,108.94,111.94,114.9,117.57,119.32
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,18.35,20.51,25.63,31.23,37.71,47.98,60.5,71.04,81.05,90.75,96.18,99.18,102.25,104.7,107.49,110.33,113.32,116.27,119.57,122.87,126.47,129.82,133.06,136.34,139.24,142.09,144.74,146.5
SOUTH RIBBLE,10.37,12.11,15.44,19.02,22.72,28.23,34.92,41.02,46.87,52.66,56.28,58.82,61.45,63.59,66.01,68.5,71.14,73.72,76.64,79.54,82.72,85.68,88.53,91.42,93.97,96.47,98.79,100.31
ST HELENS,5.55,6.11,7.27,8.55,10.03,12.44,15.41,18.05,20.56,22.99,24.38,25.17,25.98,26.63,27.37,28.12,28.92,29.7,30.58,31.45,32.41,33.3,34.16,35.03,35.81,36.57,37.27,37.74
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,24.52,28.57,35.04,42.1,49.73,62.18,77.73,93.18,107.97,122.53,131.45,137.43,143.61,148.69,154.39,160.24,166.46,172.52,179.39,186.19,193.64,200.6,207.28,214.07,220.07,225.97,231.46,235.04
TAMESIDE,14.72,17.44,21.46,25.84,30.81,38.59,48.09,57.13,65.58,73.89,78.62,81.72,84.86,86.75,89.35,91.9,94.6,97.28,100.39,103.56,107.22,110.43,113.58,116.79,119.4,122.0,124.21,125.68
TRAFFORD,12.66,14.43,17.47,20.87,24.81,31.78,40.63,49.37,57.78,65.96,70.81,73.7,76.7,79.4,82.26,85.22,88.37,91.42,94.84,98.21,101.81,105.26,108.55,111.89,114.93,117.9,120.75,122.62
WARRINGTON,1.91,2.33,2.97,3.67,4.36,5.41,6.7,7.99,9.22,10.46,11.25,11.83,12.44,12.92,13.48,14.04,14.65,15.24,15.91,16.57,17.31,18.0,18.65,19.32,19.9,20.48,21.0,21.34
