Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,104.68,105.29,106.58,109.16,119.67,130.64,140.99,150.67,159.2,167.51,175.87,183.91,192.49,201.06,210.08,219.29,228.66,238.08,247.53,257.0,266.55,276.08,285.67,295.3,304.96,314.66,324.41,331.75
BARROWINFURNESS,6.93,6.98,7.08,7.19,7.96,8.77,9.51,10.19,10.88,11.52,12.18,12.79,13.48,14.16,14.9,15.67,16.45,17.24,18.03,18.81,19.61,20.39,21.18,21.98,22.77,23.57,24.37,24.97
BLACKBURN WITH DARWEN,0.2,0.21,0.21,0.21,0.28,0.36,0.42,0.45,0.5,0.49,0.52,0.47,0.49,0.48,0.52,0.58,0.64,0.7,0.74,0.77,0.8,0.81,0.82,0.82,0.82,0.81,0.81,0.8
BLACKPOOL,0.04,0.04,0.04,0.05,0.08,0.11,0.13,0.15,0.17,0.16,0.17,0.16,0.17,0.17,0.19,0.21,0.24,0.27,0.29,0.31,0.33,0.34,0.35,0.37,0.38,0.38,0.39,0.4
BOLTON,0.04,0.04,0.05,0.05,0.12,0.2,0.25,0.29,0.33,0.33,0.36,0.33,0.35,0.36,0.41,0.47,0.53,0.59,0.64,0.69,0.73,0.76,0.78,0.81,0.83,0.84,0.86,0.87
BURNLEY,30.51,30.52,30.55,30.57,30.77,30.99,31.18,31.34,31.51,31.63,31.78,31.88,32.03,32.17,32.35,32.54,32.75,32.95,33.14,33.32,33.5,33.68,33.85,34.02,34.18,34.35,34.52,34.64
BURY,0.32,0.33,0.35,0.38,0.59,0.81,1.0,1.17,1.35,1.49,1.65,1.77,1.93,2.09,2.28,2.48,2.68,2.89,3.09,3.29,3.49,3.68,3.88,4.07,4.26,4.45,4.64,4.78
CARLISLE,54.41,54.58,54.94,55.39,58.52,61.79,64.73,67.38,70.04,72.3,74.84,76.74,79.25,81.54,84.32,87.22,90.21,93.16,96.03,98.83,101.64,104.34,107.04,109.72,112.37,115.01,117.67,119.65
CHESHIRE EAST,0.04,0.04,0.04,0.04,0.63,1.25,1.66,1.95,2.3,2.23,2.49,2.07,2.22,2.1,2.44,2.87,3.36,3.78,4.08,4.29,4.48,4.54,4.59,4.6,4.55,4.48,4.41,4.34
CHORLEY,2.36,2.38,2.4,2.43,2.72,3.02,3.28,3.5,3.74,3.9,4.12,4.23,4.44,4.6,4.85,5.11,5.39,5.65,5.9,6.14,6.37,6.59,6.8,7.01,7.21,7.41,7.61,7.75
COPELAND,21.44,21.67,22.15,22.62,26.1,29.75,33.13,36.24,39.39,42.39,45.44,48.29,51.43,54.56,57.92,61.38,64.91,68.45,72.0,75.54,79.12,82.66,86.23,89.81,93.39,96.99,100.6,103.32
CRAVEN,0.3,0.31,0.33,0.34,0.56,0.79,0.98,1.12,1.28,1.36,1.49,1.52,1.65,1.75,1.93,2.13,2.34,2.54,2.73,2.9,3.08,3.23,3.39,3.54,3.68,3.82,3.96,4.06
