Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,126.0,211.0,256.0,320.0,408.0,496.0,642.0,1004.0,1366.0,1727.0,2088.0,2453.0,2763.0,3079.0,3433.0,3774.0,4111.0,4405.0,4655.0,4912.0,5191.0,5352.0,5337.0,5349.0,5364.0,5382.0,5396.0,5386.0
BARROWINFURNESS,59.0,98.0,119.0,149.0,190.0,231.0,298.0,466.0,633.0,800.0,967.0,1135.0,1278.0,1423.0,1585.0,1742.0,1896.0,2031.0,2146.0,2263.0,2391.0,2463.0,2454.0,2458.0,2463.0,2469.0,2474.0,2467.0
BLACKBURN WITH DARWEN,108.0,179.0,215.0,267.0,337.0,407.0,522.0,811.0,1094.0,1373.0,1647.0,1921.0,2148.0,2376.0,2631.0,2873.0,3108.0,3308.0,3473.0,3640.0,3821.0,3912.0,3874.0,3857.0,3841.0,3827.0,3810.0,3776.0
BLACKPOOL,166.0,276.0,333.0,415.0,527.0,640.0,827.0,1290.0,1752.0,2213.0,2673.0,3137.0,3532.0,3935.0,4387.0,4823.0,5254.0,5631.0,5954.0,6284.0,6644.0,6853.0,6837.0,6857.0,6880.0,6907.0,6930.0,6922.0
BOLTON,189.0,311.0,371.0,457.0,573.0,685.0,872.0,1341.0,1794.0,2230.0,2650.0,3060.0,3387.0,3708.0,4062.0,4387.0,4693.0,4938.0,5123.0,5305.0,5499.0,5558.0,5432.0,5335.0,5238.0,5143.0,5045.0,4922.0
BURNLEY,75.0,126.0,153.0,191.0,244.0,297.0,385.0,603.0,822.0,1040.0,1260.0,1482.0,1672.0,1866.0,2084.0,2296.0,2505.0,2690.0,2848.0,3011.0,3189.0,3294.0,3291.0,3305.0,3321.0,3338.0,3354.0,3354.0
BURY,119.0,198.0,239.0,297.0,376.0,454.0,585.0,909.0,1228.0,1544.0,1855.0,2167.0,2427.0,2688.0,2981.0,3258.0,3529.0,3760.0,3952.0,4146.0,4355.0,4464.0,4424.0,4408.0,4392.0,4380.0,4363.0,4327.0
CARLISLE,121.0,202.0,245.0,307.0,391.0,475.0,615.0,961.0,1307.0,1651.0,1995.0,2342.0,2637.0,2936.0,3271.0,3594.0,3912.0,4190.0,4427.0,4669.0,4932.0,5081.0,5065.0,5074.0,5085.0,5100.0,5111.0,5098.0
CHESHIRE EAST,122.0,205.0,250.0,314.0,403.0,492.0,640.0,1006.0,1375.0,1745.0,2119.0,2500.0,2827.0,3162.0,3539.0,3906.0,4270.0,4593.0,4873.0,5161.0,5474.0,5663.0,5668.0,5701.0,5737.0,5776.0,5812.0,5820.0
CHORLEY,79.0,133.0,161.0,201.0,256.0,312.0,404.0,631.0,858.0,1084.0,1310.0,1538.0,1731.0,1928.0,2149.0,2362.0,2571.0,2755.0,2910.0,3070.0,3244.0,3343.0,3334.0,3341.0,3350.0,3361.0,3370.0,3363.0
