Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.82,1.32,1.52,1.65,1.75,1.83,1.91,1.97,2.06,2.15,2.22,2.34,2.45,2.52,2.58,2.63,2.65,2.67,2.69,2.7,2.72,2.73,2.74,2.75,2.76,2.77,2.78,2.79
100101,132.27,319.56,489.88,665.03,845.16,1033.0,1226.88,1428.38,1653.56,1897.25,2142.27,2448.1,2751.52,3043.3,3322.23,3587.52,3839.43,4078.65,4318.97,4559.86,4801.09,5043.74,5286.24,5528.76,5771.06,6012.91,6254.06,6494.27
100102,14.43,60.96,113.17,169.47,228.46,290.35,354.47,420.84,495.06,575.47,656.78,757.4,857.57,954.69,1048.7,1139.32,1226.02,1308.87,1392.41,1476.61,1561.32,1645.98,1731.11,1816.43,1901.88,1987.35,2072.79,2158.09
100103,50.13,203.1,374.27,559.31,754.19,959.67,1173.82,1397.39,1646.25,1915.69,2188.32,2525.13,2861.6,3187.58,3501.29,3801.44,4087.93,4361.23,4635.91,4911.42,5187.46,5465.17,5742.87,6020.72,6298.43,6575.75,6852.4,7128.09
100104,8.21,27.7,48.49,70.75,94.07,118.61,144.15,170.8,200.47,232.6,265.07,305.26,345.36,384.15,421.43,457.06,491.02,523.4,555.94,588.56,621.25,654.13,687.01,719.9,752.77,785.59,818.33,850.94
100105,0.95,1.53,1.75,1.9,2.0,2.09,2.17,2.23,2.32,2.42,2.5,2.63,2.74,2.83,2.89,2.94,2.97,2.99,3.01,3.03,3.05,3.06,3.08,3.09,3.1,3.12,3.13,3.14
100106,33.68,54.32,62.54,67.98,72.05,75.53,78.57,81.38,84.83,88.52,91.66,96.73,100.99,104.29,106.77,108.54,109.74,110.47,111.16,111.8,112.39,112.96,113.48,113.96,114.4,114.8,115.16,115.48
100107,27.99,127.59,239.41,358.7,482.27,610.17,740.81,874.2,1026.76,1191.26,1357.07,1561.8,1765.15,1961.3,2149.82,2330.3,2502.01,2665.14,2828.81,2992.83,3156.98,3321.37,3485.64,3649.73,3813.46,3976.7,4139.29,4301.06
100108,27.03,120.58,225.41,337.23,453.05,573.0,692.84,815.12,955.49,1106.86,1259.37,1448.08,1635.31,1816.03,1989.84,2156.5,2315.17,2466.09,2617.74,2770.01,2922.72,3075.0,3227.58,3380.05,3532.27,3684.08,3835.34,3985.89
100109,16.63,61.9,111.48,164.85,220.92,279.96,341.42,405.55,476.97,554.28,632.46,729.11,825.59,918.97,1008.76,1094.59,1176.45,1254.5,1332.94,1411.59,1490.38,1569.63,1648.85,1728.11,1807.3,1886.37,1965.22,2043.79
100110,41.62,162.37,293.43,432.02,574.78,721.94,871.64,1023.91,1199.0,1387.7,1577.64,1812.5,2045.38,2269.66,2485.01,2691.05,2886.88,3072.71,3259.1,3445.88,3632.77,3819.78,4006.66,4193.27,4379.43,4564.98,4749.74,4933.53
100111,9.0,14.44,16.51,17.83,18.77,19.56,20.21,20.79,21.61,22.49,23.23,24.46,25.48,26.26,26.84,27.25,27.52,27.67,27.81,27.94,28.06,28.17,28.27,28.37,28.45,28.53,28.59,28.65
100112,5.03,8.16,9.44,10.31,10.99,11.58,12.04,12.46,12.98,13.55,14.02,14.79,15.44,15.94,16.31,16.58,16.75,16.86,16.96,17.06,17.14,17.22,17.3,17.37,17.43,17.49,17.54,17.59
100113,26.16,107.74,199.16,297.99,402.02,511.61,625.72,744.75,877.36,1020.88,1166.06,1345.37,1524.43,1697.84,1864.63,2024.14,2176.31,2321.4,2467.2,2613.39,2759.81,2907.09,3054.31,3201.57,3348.72,3495.61,3642.11,3788.07
100114,78.48,484.21,968.27,1498.75,2060.97,2655.56,2947.16,3243.85,3581.48,3946.16,4302.23,4767.9,5215.73,5631.61,6016.69,6372.2,6700.78,7005.3,7310.41,7615.32,7919.75,8225.59,8530.35,8834.39,9137.44,9439.2,9739.38,10037.66
100116,0.88,1.41,1.61,1.74,1.83,1.9,1.96,2.02,2.1,2.18,2.25,2.37,2.47,2.54,2.6,2.64,2.67,2.68,2.7,2.71,2.72,2.73,2.74,2.75,2.76,2.77,2.77,2.78
100117,5.12,8.24,9.45,10.24,10.81,11.29,11.7,12.07,12.55,13.07,13.51,14.24,14.85,15.31,15.67,15.94,16.12,16.23,16.34,16.44,16.54,16.63,16.72,16.8,16.88,16.95,17.01,17.07
100118,4.22,6.75,7.69,8.28,8.69,9.03,9.3,9.53,9.89,10.28,10.61,11.16,11.62,11.97,12.22,12.41,12.52,12.59,12.65,12.71,12.76,12.81,12.86,12.9,12.93,12.97,13.0,13.02
100119,30.99,132.42,247.11,371.46,502.6,640.97,785.3,936.08,1103.83,1285.48,1469.37,1696.45,1923.39,2143.36,2355.12,2557.78,2751.29,2935.94,3121.58,3307.79,3494.38,3682.11,3869.84,4057.67,4245.43,4432.93,4619.98,4806.39
100120,2.95,4.76,5.48,5.95,6.31,6.61,6.87,7.11,7.41,7.73,8.01,8.45,8.82,9.1,9.32,9.47,9.57,9.64,9.69,9.75,9.8,9.85,9.89,9.93,9.97,10.0,10.03,10.06
100122,74.83,217.92,362.55,515.31,674.36,841.17,1014.3,1194.44,1395.38,1613.01,1832.66,2105.42,2376.92,2639.27,2891.56,3132.93,3363.06,3582.36,3802.99,4024.59,4246.88,4470.13,4693.72,4917.55,5141.41,5365.06,5588.3,5810.89
100123,45.08,155.84,274.9,402.52,536.41,677.33,824.04,977.1,1147.56,1332.12,1518.68,1749.55,1979.94,2202.89,2417.24,2622.15,2817.6,3003.92,3191.2,3379.03,3567.23,3756.55,3945.86,4135.27,4324.58,4513.62,4702.19,4890.1
100124,4.35,6.99,8.02,8.69,9.17,9.58,9.93,10.24,10.64,11.09,11.46,12.08,12.59,12.98,13.29,13.51,13.66,13.76,13.85,13.93,14.02,14.09,14.17,14.24,14.3,14.36,14.41,14.46
100125,84.69,321.3,581.63,861.64,1155.54,1464.62,1785.94,2120.57,2494.28,2898.77,3307.82,3813.5,4318.21,4806.84,5276.92,5726.66,6155.76,6564.89,6976.07,7388.49,7801.71,8217.28,8632.83,9048.57,9464.09,9878.97,10292.81,10705.18
100126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100127,0.79,1.27,1.46,1.58,1.67,1.74,1.8,1.86,1.93,2.01,2.08,2.19,2.29,2.36,2.42,2.46,2.48,2.5,2.52,2.53,2.55,2.56,2.58,2.59,2.6,2.61,2.62,2.63
100128,44.34,169.05,306.79,455.33,611.64,776.44,930.66,1091.26,1270.42,1464.38,1659.87,1903.03,2144.89,2378.13,2601.69,2814.8,3017.59,3210.53,3404.39,3598.8,3793.55,3989.48,4185.36,4381.31,4577.14,4772.67,4967.68,5161.99
100129,7.84,12.51,14.22,15.26,15.97,16.54,16.98,17.35,17.98,18.66,19.23,20.2,21.0,21.6,22.04,22.34,22.53,22.63,22.71,22.79,22.87,22.94,23.0,23.05,23.1,23.14,23.17,23.2
