Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,4.14,4.41,4.52,4.54,4.72,4.89,5.07,5.27,5.49,5.7,5.85,5.88,5.9,5.91,5.93,5.94,5.95,5.95,5.94,5.94,5.93,5.91,5.87,5.83,5.79,5.75,5.71,5.66
100101,16.69,18.81,20.14,21.1,22.04,22.99,23.71,24.25,24.82,25.36,25.86,26.42,26.99,27.52,28.02,28.45,28.8,29.05,29.25,29.4,29.51,29.58,29.51,29.43,29.35,29.26,29.18,29.11
100102,11.73,12.22,12.61,12.96,13.47,13.99,14.62,15.68,16.73,17.75,18.7,19.67,20.59,21.45,22.24,22.99,23.63,24.18,24.63,25.01,25.31,25.58,25.58,25.51,25.43,25.34,25.25,25.15
100103,16.34,16.27,16.57,16.97,17.61,18.29,19.37,20.96,22.56,24.17,25.66,27.11,28.4,29.64,30.78,31.8,32.65,33.36,33.92,34.34,34.65,34.89,34.86,34.79,34.69,34.59,34.47,34.33
100104,4.15,4.46,4.87,5.26,5.7,6.14,6.86,7.7,8.54,9.36,9.91,10.22,10.5,10.76,10.99,11.19,11.36,11.49,11.59,11.64,11.67,11.68,11.61,11.54,11.46,11.39,11.31,11.23
100105,14.38,15.05,15.32,15.44,15.64,15.84,16.21,17.24,18.28,19.32,20.34,21.34,22.32,23.29,24.26,25.18,26.03,26.82,27.53,28.19,28.78,29.34,29.18,29.02,28.85,28.69,28.51,28.32
100106,14.27,17.53,18.48,18.75,19.02,19.28,19.63,20.35,21.13,21.9,22.65,23.4,24.09,24.78,25.48,26.43,27.55,28.53,29.38,30.08,30.66,31.16,31.43,31.63,31.77,31.86,31.9,31.91
100107,14.47,14.62,14.93,15.3,15.81,16.34,17.06,18.42,19.77,21.08,22.32,23.59,24.8,25.94,27.0,27.95,28.75,29.41,29.96,30.4,30.76,31.07,31.0,30.92,30.83,30.74,30.66,30.56
100108,13.89,14.4,14.77,15.1,15.52,15.94,16.59,17.9,19.2,20.35,21.4,22.4,23.34,24.2,25.01,25.73,26.34,26.84,27.26,27.61,27.89,28.12,28.05,27.97,27.87,27.79,27.72,27.63
100109,7.07,7.51,7.83,8.13,8.49,8.86,9.3,10.06,10.79,11.49,12.13,12.78,13.41,13.98,14.49,14.93,15.29,15.59,15.82,16.0,16.12,16.22,16.11,16.0,15.88,15.75,15.63,15.49
100110,11.96,12.22,12.55,12.92,13.42,13.94,14.59,15.74,16.85,17.92,18.92,19.94,20.89,21.75,22.55,23.25,23.84,24.32,24.69,24.96,25.15,25.29,25.11,24.96,24.84,24.71,24.57,24.43
100111,12.56,15.69,16.44,16.87,17.5,17.86,18.39,19.57,20.76,21.8,22.82,23.83,24.83,25.83,26.81,27.78,28.69,29.52,30.27,30.95,31.57,32.19,32.03,31.87,31.7,31.53,31.37,31.19
100112,14.81,14.87,15.0,15.18,15.46,15.74,16.17,17.19,18.23,19.26,20.26,21.27,22.27,23.25,24.23,25.16,25.99,26.77,27.45,28.05,28.59,29.07,28.89,28.71,28.51,28.32,28.12,27.9
100113,12.21,13.43,14.07,14.55,15.15,15.76,16.44,17.44,18.42,19.38,20.27,21.16,22.04,22.85,23.59,24.24,24.76,25.18,25.52,25.78,25.96,26.11,26.07,26.01,25.94,25.88,25.81,25.72
100114,15.44,17.38,18.41,19.19,20.1,21.04,21.72,22.77,23.75,24.71,25.61,26.6,27.51,28.32,29.03,29.62,30.07,30.4,30.66,30.84,30.95,31.02,30.92,30.82,30.7,30.58,30.45,30.31
100116,8.44,8.3,8.31,8.34,8.43,8.54,8.72,9.17,9.64,10.12,10.58,11.05,11.51,11.95,12.4,12.83,13.24,13.62,13.94,14.21,14.44,14.66,14.58,14.5,14.42,14.33,14.25,14.15
100117,16.18,16.95,17.25,17.39,17.64,17.88,18.74,20.32,21.95,23.58,25.18,26.75,27.9,29.02,30.15,31.23,32.23,33.18,34.0,34.75,35.44,36.09,35.93,35.76,35.59,35.42,35.24,35.04
100118,13.57,15.16,15.69,15.92,16.24,16.61,17.15,18.2,19.59,20.84,21.94,23.04,24.16,25.28,26.35,27.37,28.3,29.14,29.88,30.54,31.13,31.68,31.68,31.66,31.62,31.56,31.5,31.41
100119,14.47,15.96,16.62,17.07,17.76,18.47,19.4,21.06,22.73,24.26,25.65,27.06,28.39,29.63,30.78,31.78,32.61,33.29,33.83,34.24,34.54,34.78,34.58,34.36,34.13,33.92,33.7,33.48
100120,14.01,14.91,15.26,15.64,15.94,16.23,16.59,16.59,16.67,16.73,16.78,16.81,16.83,16.85,16.85,16.84,16.81,16.77,16.72,16.66,16.59,16.5,16.39,16.27,16.15,16.02,15.88,15.73
100122,17.55,22.12,23.6,24.22,24.95,25.72,26.47,31.53,34.2,35.29,36.36,37.5,38.59,39.63,40.66,41.59,42.33,42.91,43.47,43.95,44.34,44.69,44.71,44.66,44.61,44.57,44.53,44.48
100123,8.98,9.76,10.18,10.58,11.07,11.59,12.2,13.1,14.03,14.98,15.93,16.99,18.16,19.42,20.59,21.64,22.56,23.36,24.03,24.58,25.03,25.4,25.6,25.73,25.82,25.87,25.89,25.87
