Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.76,0.76,0.77,0.78,0.78,0.78,0.78,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.76,0.75,0.75,0.74,0.73,0.72,0.72
100101,5.38,5.45,5.61,5.77,5.93,6.1,6.31,6.58,6.85,7.11,7.36,7.63,7.81,7.95,8.07,8.15,8.22,8.26,8.29,8.31,8.32,8.32,8.3,8.29,8.26,8.24,8.21,8.17
100102,2.57,2.64,2.81,3.04,3.31,3.61,3.88,4.21,4.49,4.77,5.03,5.28,5.51,5.72,5.9,6.07,6.2,6.32,6.41,6.49,6.54,6.59,6.58,6.56,6.54,6.51,6.49,6.46
100103,4.42,4.45,4.58,4.76,5.01,5.3,5.67,6.18,6.69,7.23,7.72,8.2,8.7,9.12,9.51,9.87,10.17,10.42,10.63,10.8,10.93,11.03,11.07,11.06,11.04,11.01,10.98,10.94
100104,0.9,0.95,1.03,1.09,1.14,1.19,1.25,1.32,1.38,1.44,1.49,1.54,1.59,1.64,1.68,1.72,1.75,1.78,1.8,1.82,1.84,1.85,1.86,1.86,1.86,1.86,1.85,1.85
100105,3.61,3.63,3.74,3.88,4.0,4.13,4.29,4.51,4.68,4.84,4.99,5.13,5.29,5.44,5.58,5.72,5.83,5.94,6.03,6.1,6.15,6.2,6.22,6.22,6.22,6.22,6.22,6.21
100106,0.98,1.14,1.28,1.46,1.68,1.95,2.28,2.71,3.19,3.72,4.31,4.84,5.08,5.32,5.55,5.76,5.95,6.11,6.24,6.35,6.46,6.52,6.54,6.54,6.54,6.54,6.54,6.52
100107,3.22,3.34,3.62,3.93,4.09,4.26,4.46,4.74,4.98,5.21,5.44,5.67,5.91,6.15,6.36,6.56,6.73,6.88,7.02,7.13,7.23,7.32,7.35,7.37,7.38,7.4,7.41,7.42
100108,3.04,3.1,3.26,3.47,3.72,3.99,4.31,4.72,5.04,5.33,5.53,5.72,5.94,6.15,6.33,6.5,6.63,6.72,6.8,6.87,6.93,6.97,6.99,7.0,7.01,7.02,7.02,7.02
100109,1.56,1.58,1.65,1.74,1.83,1.91,2.0,2.14,2.24,2.34,2.44,2.53,2.63,2.72,2.81,2.88,2.94,3.0,3.04,3.08,3.11,3.14,3.15,3.15,3.16,3.16,3.16,3.16
100110,2.47,2.53,2.67,2.85,3.07,3.3,3.46,3.69,3.85,4.02,4.17,4.32,4.49,4.64,4.78,4.91,5.02,5.12,5.2,5.27,5.33,5.39,5.42,5.45,5.47,5.49,5.51,5.53
100111,3.01,3.03,3.13,3.27,3.73,3.93,4.17,4.53,4.77,4.99,5.22,5.44,5.69,5.93,6.15,6.35,6.53,6.69,6.82,6.93,7.03,7.14,7.17,7.19,7.2,7.21,7.22,7.22
100112,2.7,2.72,2.82,2.97,3.16,3.38,3.64,3.99,4.24,4.47,4.67,4.85,5.06,5.27,5.45,5.62,5.77,5.91,6.03,6.14,6.23,6.31,6.36,6.39,6.41,6.43,6.45,6.46
100113,2.57,2.62,2.74,2.9,3.09,3.31,3.55,3.86,4.09,4.32,4.53,4.74,4.96,5.19,5.38,5.56,5.72,5.86,5.98,6.09,6.18,6.27,6.33,6.39,6.4,6.41,6.42,6.43
100114,3.86,3.95,4.14,4.36,4.62,4.89,5.13,5.41,5.58,5.75,5.91,6.08,6.26,6.42,6.56,6.69,6.79,6.88,6.96,7.02,7.08,7.12,7.16,7.18,7.2,7.22,7.24,7.25
100116,2.13,2.1,2.12,2.17,2.27,2.39,2.55,2.87,3.19,3.5,3.8,3.99,4.05,4.11,4.16,4.21,4.25,4.28,4.3,4.32,4.34,4.34,4.33,4.31,4.29,4.27,4.25,4.23
100117,3.63,3.64,3.75,3.91,4.11,4.33,4.6,4.96,5.24,5.51,5.76,5.99,6.26,6.53,6.76,6.98,7.18,7.36,7.52,7.65,7.76,7.82,7.84,7.84,7.84,7.83,7.81,7.8
100118,2.54,2.61,2.73,2.88,3.07,3.28,3.54,3.87,4.09,4.32,4.56,4.79,5.04,5.28,5.51,5.73,5.92,6.09,6.23,6.36,6.47,6.57,6.6,6.63,6.65,6.67,6.68,6.69
100119,3.1,3.18,3.35,3.52,3.75,3.99,4.26,4.59,4.87,5.16,5.45,5.75,6.07,6.37,6.65,6.9,7.11,7.3,7.46,7.6,7.71,7.8,7.86,7.9,7.94,7.97,8.0,8.02
100120,4.79,4.78,4.85,4.87,4.87,4.87,4.87,4.86,4.87,4.9,4.92,4.93,4.94,4.95,4.96,4.95,4.95,4.94,4.92,4.9,4.88,4.85,4.82,4.78,4.75,4.71,4.66,4.62
100122,6.86,6.89,7.02,7.15,7.27,7.4,7.56,11.48,13.06,13.07,13.15,13.26,13.4,13.54,13.7,13.85,13.94,14.01,14.12,14.22,14.3,14.38,14.43,14.41,14.39,14.37,14.34,14.32
100123,1.96,2.18,2.42,2.71,2.95,3.21,3.38,3.6,3.82,4.05,4.3,4.56,4.82,5.0,5.16,5.3,5.42,5.53,5.61,5.68,5.73,5.75,5.76,5.76,5.75,5.74,5.73,5.72
100124,1.13,1.13,4.25,4.09,3.97,3.86,4.92,4.89,4.96,12.14,12.22,12.27,13.32,13.27,13.11,13.03,13.04,13.01,13.02,13.01,12.99,12.96,12.9,12.87,12.85,12.82,12.79,12.75
