Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,21678.33,22840.3,23323.95,23419.47,24185.96,24931.69,25677.89,26478.13,27383.55,28269.92,28876.27,28946.33,28987.27,29013.79,29033.42,29029.31,29010.63,28967.87,28899.21,28818.1,28730.27,28600.54,28401.59,28200.78,27990.52,27771.97,27543.35,27298.74
100101,89053.91,97436.97,103178.75,107395.0,111527.62,115699.54,119032.35,121790.69,124695.8,127517.21,130167.66,132848.6,135453.24,137909.5,140155.15,142079.29,143632.09,144815.89,145749.11,146454.62,146946.48,147280.11,147100.9,146855.83,146550.02,146213.68,145833.96,145395.85
100102,51528.9,53471.4,55567.28,57820.73,60695.61,63686.82,67208.3,72371.27,77223.95,81884.16,86268.59,90642.35,95065.67,99240.18,103012.68,106435.51,109372.57,111905.0,114041.48,115842.12,117346.7,118626.06,118961.96,118981.95,118937.97,118861.51,118742.11,118569.47
100103,82505.37,83126.37,85738.88,88971.04,92998.86,97391.94,103725.01,112216.88,120804.48,129476.7,137768.45,145922.09,153379.55,160447.63,166931.81,172731.39,177677.13,181853.15,185238.45,187896.34,189972.94,191576.12,192013.32,192195.78,192196.22,192070.38,191831.2,191474.22
100104,17476.93,18619.66,20225.32,21764.79,23481.91,25226.02,27884.7,30986.89,34024.87,36992.95,39050.39,40290.07,41518.26,42645.3,43651.75,44537.82,45280.53,45902.41,46384.1,46710.51,46938.35,47114.55,47026.56,46906.4,46769.47,46624.02,46465.78,46292.38
100105,63543.81,66071.18,67679.19,68980.76,70640.4,72348.65,74716.24,79386.61,83837.26,88146.66,92303.29,96329.87,100464.29,104540.56,108452.92,112174.15,115556.15,118656.36,121443.48,123962.12,126223.83,128307.88,128131.41,127865.86,127537.89,127199.98,126816.63,126350.47
100106,57162.9,71831.58,76667.46,78977.08,81527.1,84345.15,87870.94,93227.76,99225.81,105632.62,112378.06,119346.07,126328.87,133207.43,139811.02,145880.1,151333.86,156044.79,160052.09,163506.51,166524.77,168818.53,169594.43,170149.98,170473.18,170621.24,170599.05,170364.05
100107,67913.85,69032.75,71175.1,73717.99,76829.58,80100.73,84150.07,90425.83,96388.77,102138.37,107593.61,113087.06,118560.3,123752.84,128505.2,132792.66,136447.36,139522.3,142087.1,144230.05,145984.39,147482.55,147661.06,147722.14,147717.64,147707.3,147658.92,147552.96
100108,64219.1,66505.34,68782.08,71121.9,73878.13,76744.49,80526.95,86839.9,92827.9,98147.44,103031.98,107653.05,112257.39,116552.21,120418.06,123913.69,126898.95,129450.56,131580.93,133398.44,134906.35,136151.78,136351.44,136416.34,136407.71,136365.7,136274.68,136120.58
100109,29779.26,31404.7,32859.85,34352.5,36127.93,37969.82,40173.17,43587.26,46739.31,49736.82,52518.89,55282.92,58042.36,60608.04,62875.28,64873.1,66529.05,67925.4,69057.55,69954.84,70641.62,71177.06,71015.82,70778.83,70501.8,70202.99,69875.64,69511.93
