Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.1,0.11,0.12,0.13,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.22,0.23,0.24,0.26,0.27,0.29,0.3,0.32,0.33,0.35,0.37,0.38,0.4,0.41,0.42,0.43
100101,0.55,0.66,0.8,0.96,1.08,1.18,1.3,1.42,1.54,1.67,1.78,1.92,2.06,2.17,2.3,2.44,2.58,2.72,2.88,3.03,3.21,3.37,3.52,3.68,3.81,3.94,4.06,4.14
100102,1.79,1.89,2.02,2.17,2.29,2.39,2.5,2.62,2.73,2.86,2.97,3.11,3.25,3.36,3.49,3.62,3.77,3.9,4.06,4.22,4.39,4.55,4.7,4.86,4.99,5.12,5.24,5.31
100103,4.8,4.96,5.14,5.32,5.49,5.62,5.76,5.9,6.0,6.08,6.04,5.69,5.72,5.79,5.9,5.98,6.05,6.1,6.14,6.1,5.91,4.93,4.79,4.94,5.05,5.16,5.25,5.3
100104,0.34,0.38,0.43,0.48,0.53,0.58,0.62,0.67,0.71,0.76,0.8,0.84,0.89,0.9,0.94,0.97,1.01,1.04,1.08,1.13,1.18,1.22,1.26,1.31,1.34,1.37,1.4,1.41
100105,0.73,0.88,1.08,1.31,1.47,1.62,1.77,1.95,2.12,2.31,2.5,2.71,2.94,3.14,3.36,3.59,3.84,4.07,4.33,4.57,4.82,4.99,5.22,5.48,5.71,5.94,6.15,6.29
100106,1.87,1.94,2.02,2.1,2.17,2.25,2.34,2.43,2.52,2.62,2.7,2.8,2.91,2.98,3.07,3.15,3.24,3.31,3.39,3.45,3.47,3.27,3.3,3.41,3.5,3.6,3.68,3.73
100107,1.13,1.4,1.7,2.01,2.3,2.57,2.84,3.13,3.38,3.65,3.86,4.11,4.37,4.47,4.67,4.86,5.06,5.25,5.49,5.74,6.04,6.29,6.54,6.79,6.98,7.16,7.3,7.38
100108,1.92,2.15,2.47,2.81,3.07,3.31,3.56,3.84,4.11,4.41,4.68,4.99,5.32,5.56,5.86,6.16,6.48,6.8,7.16,7.52,7.92,8.29,8.64,8.99,9.3,9.6,9.86,10.03
100109,0.47,0.57,0.69,0.84,0.95,1.05,1.15,1.27,1.37,1.48,1.58,1.69,1.8,1.87,1.97,2.07,2.17,2.27,2.39,2.51,2.65,2.77,2.89,3.01,3.11,3.2,3.28,3.34
100110,1.0,1.26,1.84,2.45,3.01,3.55,4.1,4.37,4.6,4.87,5.07,5.32,5.58,5.7,5.91,6.11,6.32,6.52,6.76,7.0,7.28,7.44,7.67,7.93,8.13,8.32,8.48,8.58
100111,0.96,1.12,1.31,1.51,1.68,1.85,2.02,2.19,2.35,2.52,2.66,2.82,2.99,3.07,3.21,3.34,3.47,3.61,3.77,3.93,4.12,4.25,4.4,4.57,4.7,4.83,4.94,5.0
100112,1.59,1.78,2.0,2.24,2.43,2.62,2.81,3.02,3.2,3.41,3.59,3.8,4.02,4.15,4.34,4.52,4.72,4.91,5.13,5.36,5.62,5.85,6.07,6.29,6.48,6.66,6.81,6.91
100113,3.15,3.31,3.49,3.7,3.86,4.0,4.13,4.26,4.36,4.45,4.42,4.08,4.12,4.22,4.36,4.49,4.63,4.76,4.92,5.05,5.19,5.16,5.28,5.45,5.59,5.72,5.83,5.9
100114,1.09,1.3,1.55,1.82,2.04,2.25,2.46,2.69,2.9,3.14,3.34,3.58,3.83,4.0,4.22,4.44,4.67,4.9,5.17,5.43,5.73,6.01,6.27,6.53,6.75,6.97,7.16,7.28
100116,0.62,0.71,0.83,0.96,1.06,1.15,1.25,1.35,1.45,1.56,1.66,1.77,1.88,1.96,2.06,2.16,2.27,2.38,2.5,2.62,2.76,2.89,3.01,3.13,3.23,3.33,3.42,3.48
100117,3.39,3.52,3.69,3.89,4.03,4.16,4.3,4.45,4.6,4.76,4.91,5.08,5.27,5.42,5.59,5.76,5.95,6.12,6.31,6.49,6.65,6.68,6.83,7.02,7.19,7.35,7.51,7.6
100118,1.21,1.45,1.78,2.13,2.39,2.63,2.88,3.16,3.43,3.74,4.01,4.33,4.67,4.92,5.23,5.54,5.87,6.19,6.56,6.93,7.32,7.64,7.99,8.36,8.68,8.99,9.27,9.45
100119,0.98,1.2,1.46,1.75,1.98,2.19,2.41,2.65,2.86,3.1,3.29,3.53,3.77,3.92,4.12,4.32,4.53,4.74,4.98,5.22,5.5,5.7,5.93,6.18,6.38,6.58,6.75,6.85
100120,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.24,0.25,0.25,0.25,0.26
100122,1.01,1.15,1.32,1.51,1.67,1.81,1.96,2.11,2.26,2.41,2.54,2.7,2.86,2.95,3.08,3.22,3.36,3.49,3.66,3.82,4.01,4.18,4.34,4.51,4.64,4.77,4.88,4.94
100123,2.69,2.81,2.94,3.1,3.22,3.33,3.45,3.58,3.7,3.82,3.93,4.06,4.2,4.28,4.4,4.51,4.64,4.75,4.89,5.02,5.18,5.28,5.41,5.55,5.67,5.78,5.88,5.94
100124,0.84,0.87,0.91,0.96,1.0,1.03,1.07,1.11,1.16,1.2,1.24,1.29,1.34,1.38,1.43,1.47,1.53,1.58,1.63,1.69,1.75,1.8,1.85,1.91,1.95,2.0,2.04,2.07
