Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,1.0,2.0,3.0,4.0,5.0,6.0,8.0,12.0,16.0,20.0,25.0,29.0,33.0,37.0,41.0,45.0,50.0,53.0,57.0,60.0,63.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0
100101,11.0,19.0,22.0,27.0,34.0,40.0,50.0,76.0,101.0,124.0,145.0,165.0,180.0,194.0,208.0,220.0,230.0,236.0,239.0,240.0,242.0,236.0,223.0,211.0,198.0,186.0,173.0,160.0
100102,9.0,15.0,18.0,22.0,28.0,33.0,41.0,63.0,83.0,101.0,119.0,135.0,147.0,158.0,170.0,180.0,188.0,193.0,196.0,197.0,199.0,194.0,184.0,174.0,164.0,153.0,143.0,132.0
100103,8.0,13.0,15.0,18.0,23.0,27.0,34.0,52.0,68.0,84.0,98.0,112.0,122.0,131.0,141.0,149.0,156.0,160.0,162.0,163.0,164.0,160.0,151.0,143.0,134.0,126.0,117.0,108.0
100104,2.0,4.0,4.0,5.0,7.0,8.0,10.0,15.0,20.0,24.0,28.0,32.0,35.0,38.0,40.0,43.0,45.0,46.0,46.0,47.0,47.0,46.0,43.0,41.0,39.0,36.0,34.0,31.0
100105,18.0,30.0,37.0,46.0,59.0,71.0,93.0,145.0,198.0,251.0,304.0,358.0,404.0,451.0,505.0,557.0,609.0,654.0,694.0,735.0,779.0,806.0,806.0,811.0,816.0,822.0,827.0,828.0
100106,8.0,14.0,17.0,22.0,27.0,34.0,44.0,68.0,93.0,118.0,144.0,169.0,191.0,214.0,239.0,264.0,288.0,309.0,327.0,346.0,367.0,379.0,379.0,381.0,383.0,385.0,387.0,387.0
100107,12.0,20.0,23.0,28.0,35.0,41.0,52.0,78.0,103.0,126.0,148.0,167.0,182.0,195.0,210.0,222.0,232.0,238.0,240.0,241.0,243.0,237.0,224.0,211.0,199.0,186.0,174.0,160.0
100108,11.0,19.0,22.0,27.0,33.0,39.0,49.0,75.0,98.0,120.0,141.0,160.0,174.0,187.0,201.0,212.0,222.0,227.0,230.0,231.0,232.0,227.0,214.0,202.0,190.0,178.0,166.0,153.0
100109,8.0,13.0,15.0,18.0,23.0,27.0,34.0,52.0,68.0,84.0,98.0,112.0,122.0,131.0,141.0,149.0,155.0,160.0,161.0,162.0,163.0,160.0,151.0,142.0,134.0,126.0,117.0,108.0
100110,14.0,23.0,27.0,32.0,40.0,47.0,60.0,90.0,119.0,145.0,170.0,193.0,209.0,225.0,241.0,255.0,266.0,273.0,276.0,277.0,279.0,272.0,257.0,242.0,228.0,214.0,199.0,184.0
100111,10.0,16.0,20.0,24.0,31.0,38.0,49.0,77.0,105.0,133.0,161.0,190.0,214.0,239.0,267.0,294.0,321.0,345.0,365.0,386.0,409.0,423.0,422.0,424.0,426.0,429.0,431.0,431.0
100112,15.0,25.0,31.0,39.0,49.0,60.0,78.0,123.0,168.0,213.0,259.0,305.0,344.0,385.0,430.0,474.0,518.0,556.0,589.0,623.0,660.0,682.0,682.0,685.0,688.0,692.0,696.0,696.0
100113,10.0,17.0,20.0,24.0,30.0,36.0,45.0,68.0,90.0,111.0,130.0,147.0,161.0,173.0,186.0,196.0,205.0,211.0,213.0,215.0,216.0,211.0,199.0,188.0,177.0,166.0,155.0,143.0
100114,19.0,29.0,32.0,37.0,43.0,47.0,59.0,89.0,116.0,141.0,162.0,182.0,195.0,205.0,216.0,223.0,227.0,226.0,221.0,214.0,206.0,191.0,170.0,149.0,128.0,107.0,85.0,64.0
100116,5.0,8.0,9.0,11.0,15.0,18.0,23.0,36.0,49.0,63.0,76.0,89.0,101.0,113.0,126.0,139.0,151.0,162.0,172.0,182.0,193.0,199.0,199.0,200.0,201.0,202.0,203.0,203.0
100117,12.0,20.0,24.0,30.0,39.0,47.0,61.0,96.0,131.0,166.0,201.0,236.0,267.0,298.0,334.0,368.0,402.0,432.0,458.0,485.0,515.0,532.0,533.0,536.0,539.0,543.0,546.0,547.0
100118,13.0,22.0,27.0,33.0,43.0,52.0,67.0,105.0,143.0,181.0,219.0,258.0,291.0,325.0,363.0,400.0,437.0,469.0,497.0,526.0,557.0,576.0,575.0,578.0,581.0,585.0,588.0,588.0
100119,16.0,26.0,31.0,38.0,47.0,56.0,70.0,107.0,141.0,174.0,203.0,231.0,252.0,271.0,291.0,308.0,322.0,331.0,334.0,337.0,338.0,331.0,312.0,295.0,278.0,260.0,243.0,224.0
100120,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,8.0,10.0,10.0,11.0,12.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
100122,10.0,16.0,19.0,23.0,28.0,33.0,42.0,64.0,85.0,104.0,122.0,138.0,151.0,162.0,174.0,184.0,193.0,198.0,200.0,202.0,203.0,198.0,187.0,177.0,167.0,156.0,146.0,134.0
100123,10.0,16.0,19.0,23.0,28.0,33.0,42.0,64.0,84.0,104.0,121.0,138.0,150.0,162.0,174.0,184.0,192.0,198.0,200.0,201.0,202.0,198.0,186.0,176.0,166.0,155.0,145.0,133.0
100124,3.0,5.0,7.0,8.0,10.0,13.0,17.0,26.0,35.0,45.0,54.0,64.0,72.0,81.0,90.0,100.0,109.0,117.0,124.0,132.0,140.0,144.0,144.0,145.0,146.0,147.0,148.0,148.0
100125,13.0,22.0,26.0,31.0,39.0,46.0,58.0,89.0,117.0,144.0,168.0,192.0,209.0,224.0,241.0,255.0,267.0,274.0,277.0,278.0,280.0,274.0,258.0,244.0,230.0,215.0,201.0,185.0
