BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,323.95,782.83,1281.43,1805.23,2347.95,2906.8,3480.04,4066.8,4602.15,5173.28,5733.13,6330.51,6904.55,7442.05,7940.78,8401.5,8822.71,9203.45,9577.23,9943.51,10297.81,10642.37,10975.6,11304.9,11629.33,11947.9,12259.51,12563.02
100003,759.34,1878.12,3101.85,4388.9,5720.61,7089.53,8491.37,9922.97,11228.77,12618.52,13977.41,15423.7,16810.21,18106.84,19306.5,20406.4,21404.87,22303.86,23182.35,24035.66,24853.79,25648.46,26412.03,27162.2,27896.61,28612.67,29307.63,29978.5
100004,1307.61,2712.86,4122.44,5555.6,7012.72,8496.66,10005.97,11542.54,12926.36,14405.36,15843.7,17376.56,18839.67,20198.04,21446.09,22578.49,23595.93,24501.69,25382.04,26232.6,27041.2,27823.46,28568.85,29296.18,30002.36,30684.14,31338.02,31960.26
100005,152.48,222.79,261.57,287.45,306.68,321.97,334.73,345.8,350.83,357.22,361.85,367.95,372.0,373.76,373.53,371.68,368.44,364.01,359.87,355.9,351.9,348.05,344.24,340.69,337.35,334.17,331.12,328.15
100006,577.57,1458.96,2429.81,3452.34,4510.6,5598.09,6710.73,7846.31,8879.36,9977.91,11050.51,12191.58,13284.16,14302.28,15243.22,16106.64,16891.43,17597.27,18285.65,18956.39,19603.3,20229.12,20831.23,21423.79,22005.13,22573.43,23126.75,23662.99
100007,1013.03,2099.07,3191.37,4307.03,5445.69,6611.66,7803.16,9024.4,10135.73,11225.92,12287.43,13425.66,14517.35,15537.19,16479.16,17333.5,18103.46,18795.56,19475.92,20137.99,20770.27,21396.65,22003.03,22604.12,23197.94,23782.35,24355.12,24913.84
100008,1543.42,4220.81,7240.87,10444.34,13765.47,17178.28,20665.67,24219.09,27449.53,30035.23,32513.9,35166.79,37656.49,39918.66,41955.47,43767.1,45359.72,46741.11,48073.3,49353.48,50565.92,51721.87,52810.43,53866.45,54884.07,55857.19,56779.44,57644.11
100009,36.33,52.83,61.75,67.56,71.75,74.99,77.63,79.85,80.66,81.83,82.6,83.71,84.33,84.43,84.08,83.38,82.37,81.11,79.9,78.74,77.59,76.47,75.36,74.32,73.32,72.36,71.42,70.51
100139,24.08,35.14,41.2,45.24,48.22,50.57,52.54,54.25,55.01,56.03,56.79,57.78,58.45,58.77,58.77,58.52,58.06,57.41,56.81,56.24,55.66,55.11,54.57,54.07,53.61,53.18,52.77,52.38
100501,646.04,1584.23,2607.8,3683.21,4795.96,5939.72,7110.9,8307.1,9396.47,10556.57,11690.64,12898.2,14055.2,15135.59,16135.32,17053.07,17886.59,18636.16,19367.77,20079.43,20763.02,21426.56,22064.43,22691.48,23305.75,23905.14,24487.39,25050.05
100503,434.82,943.18,1470.06,2016.02,2578.21,3157.81,3753.35,4367.0,4930.95,5536.24,6131.79,6769.87,7389.15,7976.01,8525.91,9032.23,9496.12,9920.87,10341.3,10753.55,11151.07,11548.57,11937.72,12326.68,12714.63,13100.68,13483.84,13863.08
100504,863.24,1874.37,2930.47,4034.01,5182.75,6375.86,7613.36,8896.04,10088.76,11365.01,12634.2,14003.0,15339.9,16623.45,17841.03,18981.03,20037.79,21016.93,21996.66,22964.62,23902.88,24854.35,25795.4,26743.67,27697.49,28655.07,29614.43,30573.44
100505,344.13,756.05,1184.2,1626.39,2080.71,2546.31,3022.48,3508.95,3950.26,4421.81,4883.31,5376.4,5849.38,6291.27,6700.42,7077.64,7421.78,7732.12,8036.9,8335.65,8624.53,8905.48,9177.12,9445.62,9710.18,9969.96,10224.02,10471.39
100506,703.61,1757.48,2912.99,4127.51,5382.67,6670.86,7987.67,9329.57,10548.45,11843.49,13106.36,14448.26,15730.04,16922.96,18022.42,19026.71,19934.47,20746.21,21534.33,22296.58,23025.4,23728.27,24399.29,25054.78,25692.44,26309.77,26904.1,27472.55
100507,124.96,274.16,432.28,599.96,775.96,961.4,1155.38,1359.87,1554.09,1767.06,1980.57,2211.31,2440.95,2665.17,2880.5,3081.83,3269.89,3446.97,3625.62,3802.71,3974.17,4151.31,4328.11,4507.54,4689.37,4873.36,5059.23,5246.68
200111,1199.1,2755.35,4404.12,6115.4,7875.16,9675.45,11511.37,13380.64,15070.45,16872.8,18625.95,20493.15,22275.54,23931.87,25460.85,26851.74,28110.74,29235.47,30329.58,31390.11,32400.3,33374.86,34304.48,35211.84,36093.44,36945.5,37763.95,38544.43
200206,111.12,162.13,190.01,208.45,221.96,232.61,241.44,248.97,252.11,256.41,259.48,263.6,266.2,267.18,266.72,265.08,262.44,258.94,255.59,252.32,249.03,245.82,242.61,239.56,236.63,233.78,230.98,228.2
200208,317.76,937.37,1653.25,2421.6,3225.43,4057.48,4913.82,5791.14,6596.71,7454.23,8296.6,9193.66,10056.87,10868.79,11624.13,12321.95,12961.18,13540.45,14108.36,14662.37,15196.67,15717.66,16220.99,16717.62,17206.18,17685.18,18153.03,18607.96
200401,606.02,1422.88,2295.33,3202.18,4133.34,5085.0,6054.77,7040.78,7931.28,8877.24,9797.31,10775.68,11708.61,12573.14,13368.74,14095.22,14752.65,15341.31,15913.11,16469.0,17005.68,17522.34,18018.11,18505.31,18982.55,19448.32,19901.02,20338.91
200413,289.18,724.04,1202.3,1706.6,2230.22,2769.42,3322.07,3887.34,4402.95,4954.29,5493.34,6068.75,6621.61,7139.85,7622.83,8065.89,8471.51,8838.42,9198.58,9550.6,9888.31,10218.44,10537.34,10852.12,11161.86,11465.61,11762.31,12050.84
200421,120.25,175.31,205.34,225.11,239.54,250.85,260.13,268.0,271.14,275.52,278.53,282.71,285.24,285.98,285.25,283.25,280.18,276.22,272.44,268.76,265.03,261.42,257.81,254.38,251.09,247.88,244.74,241.63
200430,62.5,91.22,106.99,117.45,125.15,131.24,136.29,140.64,142.5,144.67,146.12,148.17,149.36,149.62,149.1,147.93,146.22,144.05,141.98,139.97,137.98,136.03,134.09,132.26,130.5,128.8,127.15,125.51
205308,103.74,151.5,177.73,195.18,208.07,218.27,226.74,233.99,237.15,241.45,244.54,248.7,251.42,252.61,252.5,251.27,249.11,246.15,243.39,240.71,237.97,235.35,232.76,230.33,228.03,225.84,223.72,221.64
205309,0.38,0.55,0.65,0.71,0.76,0.79,0.82,0.84,0.85,0.87,0.88,0.89,0.9,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.8,0.79,0.78,0.77
