BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,56.12,60.39,61.87,62.59,63.6,64.67,65.68,66.64,67.76,68.79,69.8,71.58,75.76,79.81,83.82,87.63,91.11,94.25,97.22,99.89,102.36,104.79,107.21,109.63,111.97,114.16,116.09,115.56
100003,64.74,69.72,71.5,72.76,74.8,76.63,78.41,80.1,82.06,83.78,85.49,88.22,94.08,99.71,105.22,110.39,115.08,119.19,122.97,126.26,129.22,132.11,134.98,137.83,140.54,143.09,145.25,144.4
100004,83.43,95.68,106.61,116.3,126.23,132.48,136.98,142.85,144.27,145.63,146.95,148.97,154.59,158.47,162.26,165.73,168.79,171.45,173.93,176.04,177.88,179.67,181.43,183.13,184.69,186.09,187.21,186.48
100005,101.26,105.67,107.71,109.56,111.74,114.02,118.77,120.83,122.94,125.48,127.4,130.21,135.87,141.46,147.6,152.36,156.73,160.7,164.48,167.77,170.79,173.83,176.98,180.25,183.46,186.54,189.33,188.83
100006,46.23,48.45,49.54,50.39,51.68,53.06,54.47,55.78,57.25,58.84,60.31,62.34,66.43,70.32,74.04,77.49,80.55,83.31,85.82,87.93,89.79,91.58,93.37,95.15,96.91,98.57,100.0,99.32
100007,97.81,123.34,133.7,139.65,146.11,152.66,158.52,162.96,166.63,170.44,173.99,178.06,183.53,188.83,194.89,199.76,204.25,208.38,212.28,215.92,219.84,223.69,227.53,231.38,234.21,236.28,238.01,237.74
100008,107.16,112.77,115.9,118.47,121.86,125.46,129.14,132.62,136.08,139.1,141.77,145.35,152.72,159.67,166.26,172.26,177.49,182.16,186.36,189.84,192.83,195.71,198.61,201.48,204.15,206.51,208.45,207.09
100009,36.57,37.08,37.34,45.08,52.86,53.11,54.57,54.98,55.5,56.06,56.79,57.94,63.04,67.02,68.65,70.24,71.78,74.22,75.52,76.62,77.61,78.57,79.56,80.63,81.68,82.68,83.57,83.35
100139,14.4,16.25,16.88,17.07,17.26,17.49,17.69,17.86,18.12,18.36,18.57,18.94,19.82,20.69,21.54,22.35,23.1,23.79,24.44,25.02,25.57,26.1,26.65,27.21,27.76,28.3,28.78,28.69
100501,71.93,86.24,99.87,111.21,115.05,117.56,120.1,122.73,128.93,136.26,146.82,150.2,155.23,160.21,181.18,185.58,189.35,192.72,195.91,198.78,201.44,203.93,206.34,208.55,210.66,212.63,214.32,214.49
100503,71.75,83.64,88.87,93.65,95.73,98.07,99.65,101.19,102.99,104.56,105.91,107.74,111.15,114.44,117.68,120.66,123.33,125.73,127.96,129.89,131.63,133.34,135.08,136.86,138.58,140.2,141.57,141.37
100504,116.24,139.8,155.4,168.66,176.87,185.13,193.64,201.17,209.08,214.05,219.06,224.84,231.77,238.46,245.01,250.64,255.42,259.61,263.54,267.03,270.21,273.33,276.42,279.54,282.53,285.36,287.79,288.18
100505,61.88,68.68,73.68,76.81,79.95,83.22,86.29,88.91,91.93,95.0,98.1,106.83,110.84,117.93,121.69,125.65,128.98,134.71,139.08,141.53,143.75,145.81,147.83,149.69,151.46,153.12,154.49,154.04
100506,62.99,65.48,67.09,68.4,70.01,71.71,73.47,75.16,77.16,79.08,80.97,83.32,87.96,92.39,96.62,100.52,103.97,107.03,109.83,112.23,114.33,116.37,118.42,120.46,122.37,124.09,125.52,124.68
100507,56.12,65.57,68.6,69.73,70.7,71.66,72.21,72.79,73.71,74.59,75.4,76.31,77.63,78.91,80.14,81.24,82.21,83.08,83.88,84.59,85.23,85.85,86.44,87.04,87.61,88.14,88.54,88.53
200111,100.87,106.12,108.41,109.97,112.73,115.69,118.5,121.7,124.6,127.42,130.18,134.65,144.31,153.59,162.71,171.28,178.93,186.41,192.88,198.53,203.39,208.16,212.93,217.69,222.21,226.4,230.04,228.51
200206,70.82,75.76,77.98,79.28,81.22,83.39,85.33,87.37,89.61,91.81,94.17,97.69,104.86,111.9,118.83,125.46,131.32,136.71,141.79,146.37,150.64,154.85,159.07,163.29,167.38,171.32,174.73,174.05
200208,29.84,32.2,32.93,33.44,34.13,34.85,35.54,36.22,37.09,37.93,38.93,40.29,43.16,45.56,47.83,49.94,51.82,53.5,55.03,56.36,57.54,58.67,59.74,60.76,61.69,62.54,63.27,63.01
200401,61.59,65.01,67.18,68.67,69.89,71.08,72.28,73.5,75.09,76.68,78.27,80.49,84.54,88.32,91.93,95.21,98.11,100.7,103.0,104.89,106.55,108.04,109.51,110.97,112.32,113.55,114.5,113.77
200413,55.54,61.29,63.76,68.35,73.31,75.58,77.87,80.29,83.21,86.18,89.17,92.92,99.01,104.58,109.37,113.81,117.84,121.43,124.73,127.62,130.21,132.73,135.19,137.61,139.9,142.05,143.94,143.37
200421,53.78,59.06,60.68,61.66,63.11,64.64,66.09,67.46,69.07,70.63,71.96,74.68,79.59,84.35,88.86,93.23,97.55,101.54,105.31,108.67,111.79,114.88,118.03,121.2,124.29,127.24,129.88,129.21
200430,53.17,57.78,60.1,61.58,63.28,65.1,66.62,67.87,74.0,75.52,77.02,83.06,86.98,90.76,94.42,97.96,101.16,104.92,107.68,110.04,112.16,114.23,116.3,118.22,120.06,121.8,123.38,122.81
205308,65.92,69.79,71.41,72.49,73.93,75.51,77.09,78.53,80.63,83.05,85.61,88.92,94.67,100.26,105.64,110.68,115.25,119.33,123.09,126.35,129.31,132.35,135.37,138.38,141.27,144.03,146.53,146.03
205309,14.51,16.35,16.68,16.84,17.04,17.26,17.48,17.72,18.03,18.34,18.64,19.07,19.94,20.78,21.6,22.42,23.15,23.81,24.47,25.11,25.7,26.27,26.85,27.45,28.04,28.6,29.09,28.99
205317,80.87,86.79,88.92,90.08,92.26,94.53,96.72,98.82,101.29,103.65,105.97,109.44,116.93,124.21,131.39,138.2,144.45,150.71,156.03,160.7,164.95,169.21,173.47,177.71,181.77,185.61,189.04,188.03
300009,34.59,37.33,38.62,39.43,40.4,41.41,42.36,43.3,44.53,45.75,46.97,48.74,52.21,55.55,58.77,61.79,64.53,66.99,69.25,71.22,73.01,74.75,76.45,78.13,79.72,81.21,82.52,82.09
300024,67.45,71.41,74.57,77.0,79.78,82.66,85.48,88.22,90.94,92.92,94.86,97.71,103.31,108.63,113.97,119.09,123.67,127.72,131.43,134.63,137.48,140.23,142.91,145.52,147.96,150.17,152.06,151.44
300289,69.28,75.9,79.11,81.96,85.12,90.94,94.06,97.24,102.23,105.25,109.24,114.79,123.33,130.34,136.6,142.45,147.64,152.33,156.66,160.47,163.86,167.18,172.05,175.2,178.2,181.1,183.57,182.87
301101,82.71,90.97,93.62,95.08,96.98,99.39,102.14,104.87,107.97,110.95,113.86,117.8,125.17,132.26,139.09,145.47,151.24,156.41,161.15,165.21,168.82,172.35,175.87,179.35,182.65,185.74,188.5,187.88
301290,49.55,55.37,57.56,59.17,61.48,63.98,65.66,67.33,69.41,71.25,72.74,74.82,78.7,82.41,85.83,89.02,91.91,94.54,96.96,99.1,101.01,102.83,104.6,106.33,107.94,109.41,110.65,110.05
