BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,17.04,17.39,17.95,18.54,19.22,20.0,20.84,21.74,22.5,23.23,23.85,24.56,25.54,26.29,26.96,27.59,28.14,28.63,29.06,29.44,29.78,30.07,30.34,30.58,30.79,30.97,31.14,31.17
100003,21.25,21.56,22.06,22.63,23.65,24.32,25.09,26.04,26.92,27.76,28.53,29.35,30.44,31.46,32.42,33.28,34.04,34.7,35.28,35.78,36.21,36.6,36.95,37.26,37.55,37.82,38.0,38.02
100004,31.71,32.07,32.69,33.22,33.72,34.29,34.86,37.16,37.76,38.36,38.95,39.56,41.81,42.48,43.1,43.65,44.09,44.46,44.82,45.12,45.35,45.56,45.74,45.85,45.92,45.97,45.98,45.89
100005,36.11,36.54,37.22,37.93,38.74,39.66,43.2,44.47,45.31,46.68,47.46,48.25,49.23,50.17,51.56,52.35,53.04,53.64,54.18,54.64,55.04,55.38,55.7,55.97,56.21,56.42,56.59,56.59
100006,13.97,14.3,14.73,15.26,15.91,16.65,17.52,18.55,19.33,19.99,20.63,21.31,22.16,22.97,23.71,24.39,24.98,25.49,25.95,26.34,26.68,26.97,27.24,27.48,27.69,27.87,28.02,28.02
100007,23.5,23.99,24.6,25.22,25.94,26.78,27.76,29.84,31.05,32.5,33.79,35.13,36.7,38.18,40.35,41.56,42.58,43.46,44.25,44.9,45.42,45.91,46.35,46.72,47.05,47.33,47.56,47.57
100008,25.19,26.08,27.14,28.43,29.99,31.07,32.28,33.7,34.82,35.87,36.89,37.93,39.25,40.51,41.65,42.68,43.57,44.36,45.06,45.67,46.17,46.62,47.03,47.38,47.69,47.94,48.15,48.16
100009,19.0,19.19,19.48,19.86,20.35,20.94,22.83,23.83,24.93,25.89,26.63,27.41,31.34,33.94,34.18,34.44,34.74,36.02,36.24,36.41,36.54,36.64,36.72,36.83,36.93,37.01,37.07,37.02
100139,1.23,1.31,1.42,1.53,1.65,1.77,1.91,2.05,2.18,2.3,2.42,2.56,2.77,2.95,3.12,3.27,3.41,3.54,3.66,3.76,3.85,3.94,4.02,4.09,4.16,4.23,4.3,4.3
100501,21.06,21.59,22.42,23.4,24.58,26.04,27.87,30.2,35.75,41.98,51.14,52.78,54.65,56.49,74.13,75.48,76.41,77.12,77.75,78.23,78.57,78.83,79.0,78.95,78.84,78.7,78.52,78.24
