BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,278912.54,297459.96,306901.33,313815.03,321791.82,330269.19,339129.71,349068.11,359085.16,368599.03,377655.73,388702.88,407620.78,425962.15,443280.08,459555.84,474213.32,487413.34,499540.08,510361.85,520168.72,529440.66,538395.34,546973.11,555103.49,562667.3,569277.18,568404.61
100003,344246.27,367549.52,378849.15,388453.1,402308.05,414396.41,427240.28,441472.42,456295.83,470077.67,483509.78,499739.38,526357.99,551931.5,576048.35,598454.59,618509.44,635948.04,651528.65,665003.57,676918.15,688124.7,698869.83,709094.67,718642.35,727732.23,735242.71,733266.43
100004,426943.66,485562.29,546133.07,593900.97,640440.46,670497.48,693278.79,729914.52,739738.96,749265.31,758461.39,769565.15,800829.9,817683.93,833706.96,848228.18,860765.93,871684.04,881740.33,890254.39,897547.51,904381.06,910827.93,916555.12,921665.23,926064.16,929440.43,926858.62
100005,479518.67,498874.7,511569.08,524099.36,537547.09,551734.83,587974.19,604093.92,619646.6,639370.66,653646.87,670087.23,695478.1,720214.15,748533.38,768651.02,786833.0,803225.9,818355.64,831485.09,843246.96,854581.62,865831.64,876892.94,887532.55,897548.03,906502.09,905561.41
100006,232223.33,242625.76,250362.49,257870.19,267068.93,277086.73,288089.6,300208.39,312136.78,323688.44,334526.96,346825.74,366343.13,384916.53,402205.72,418153.18,432268.26,444884.58,456152.32,465763.2,474180.56,481949.2,489423.86,496556.91,503205.21,509194.41,514243.29,512994.91
100007,345296.76,464520.65,510138.14,537521.63,567400.92,598447.68,627907.52,657914.74,681274.04,706416.26,729754.59,754868.73,785217.25,814342.51,849125.08,874695.3,897794.74,918714.1,938139.41,955580.58,971490.3,986666.19,1001330.61,1015408.76,1025374.93,1032353.99,1038047.14,1037622.19
100008,451258.53,475636.58,491644.03,506561.85,524537.12,543844.02,564689.49,586677.81,607036.62,625613.47,642469.77,662122.71,695871.69,727866.68,757689.29,784897.89,808668.52,829866.45,848749.82,864655.71,878384.4,891204.19,903651.16,915592.32,926571.01,936239.68,944062.59,940033.62
100009,230571.19,235576.28,238376.14,270999.71,304678.87,309116.01,324527.11,331184.25,339042.6,347501.17,356317.52,366040.38,404859.25,434032.5,442234.93,450103.4,457734.83,473475.02,479475.6,484337.99,488458.74,492151.59,495656.0,499458.92,503032.14,506363.19,509228.36,508574.53
100139,53870.89,62963.34,66377.9,68135.09,69963.37,71809.78,73638.67,75651.75,77862.98,79928.19,81841.38,84119.0,88056.68,91914.77,95508.21,98895.18,101987.98,104808.67,107357.95,109622.44,111709.17,113659.44,115569.91,117438.44,119256.68,121009.68,122535.9,122359.61
100501,403970.48,474772.13,526024.43,596378.06,619185.37,635987.07,654394.01,675279.43,726493.79,788179.87,878295.82,903351.13,935515.54,967437.01,1136880.13,1162854.85,1183903.02,1202278.48,1219383.4,1234260.55,1247406.42,1259326.25,1270407.26,1279380.57,1287614.18,1295076.18,1301305.77,1301527.92
100503,341884.44,393665.04,421525.78,456981.38,490162.92,501519.81,510662.17,520443.81,531185.78,541047.52,549849.86,559829.19,575052.23,589711.44,603620.35,616293.16,627544.41,637589.86,646745.18,654666.27,661643.55,668344.04,674877.57,681299.25,687361.93,692981.37,697670.98,697441.3
