BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,0.07,0.65,1.23,1.87,2.54,3.24,3.93,4.65,5.41,6.16,6.96,7.71,8.55,9.38,10.3,11.27,12.27,13.3,14.33,15.38,16.42,17.44,18.44,19.42,20.37,21.31,22.23,22.92
100003,0.33,0.39,0.52,0.72,0.99,1.31,1.62,1.96,2.31,2.66,3.0,3.33,3.67,3.97,4.27,4.59,4.88,5.19,5.5,5.81,6.15,6.43,6.7,6.97,7.16,7.35,7.63,8.35
100004,0.16,0.94,5.04,9.22,13.45,24.59,33.39,40.02,46.7,53.35,54.27,55.13,56.09,57.02,58.05,59.12,60.22,61.36,62.5,63.65,64.8,65.91,67.01,68.09,69.13,70.15,71.13,71.88
100005,13.21,11.01,9.1,7.28,5.54,11.54,17.77,23.79,29.85,35.89,37.03,38.08,39.26,40.41,41.68,43.0,44.35,45.75,47.15,48.56,49.98,51.34,52.69,54.02,55.29,56.54,57.75,58.66
100006,0.11,0.56,1.03,1.55,2.11,2.69,3.27,3.87,4.5,5.12,5.78,6.39,7.07,7.74,8.48,9.25,10.05,10.86,11.69,12.51,13.34,14.14,14.93,15.71,16.45,17.19,17.89,18.43
100007,0.16,0.19,4.34,8.52,12.74,16.98,21.23,21.41,21.61,21.81,22.02,22.23,22.46,22.66,22.89,23.11,23.34,23.57,23.81,24.05,24.3,24.53,24.75,24.95,25.12,25.27,25.56,26.31
100008,11.09,8.97,7.43,6.01,4.7,10.96,17.45,23.49,29.58,35.65,36.93,38.14,39.47,40.75,42.15,43.61,45.1,46.64,48.18,49.73,51.29,52.79,54.26,55.7,57.05,58.38,59.64,60.61
100009,0.05,0.36,0.68,1.04,1.41,1.79,2.17,2.57,2.98,3.39,3.81,4.21,4.66,5.09,5.58,6.08,6.6,7.14,7.68,8.22,8.76,9.29,9.81,10.32,10.82,11.31,11.78,12.14
100139,1.99,1.6,1.22,0.85,0.49,1.52,2.58,3.65,4.73,5.8,6.0,6.18,6.38,6.58,6.8,7.03,7.27,7.51,7.75,8.0,8.24,8.48,8.71,8.95,9.17,9.38,9.59,9.75
100501,0.11,0.91,1.73,2.62,3.57,4.53,5.5,6.5,7.55,8.58,9.68,10.69,11.83,12.95,14.2,15.51,16.86,18.25,19.65,21.05,22.45,23.82,25.17,26.5,27.79,29.06,30.3,31.23
100503,0.13,0.15,0.2,0.28,0.39,0.51,0.65,0.8,0.96,1.14,1.31,1.49,1.69,1.87,2.06,2.26,2.46,2.66,2.87,3.26,4.33,5.37,6.39,7.4,8.37,9.32,10.24,10.94
100504,0.2,0.23,0.31,0.42,0.59,0.78,0.98,1.21,1.46,1.73,2.0,2.28,2.59,2.87,3.21,4.68,6.19,7.75,9.33,10.9,12.49,14.03,15.54,17.02,18.44,19.84,21.19,22.22
100505,7.22,5.77,4.32,2.93,1.55,5.22,9.04,12.88,16.75,20.62,21.29,21.92,22.63,23.34,24.12,24.94,25.78,26.66,27.54,28.42,29.3,30.17,31.02,31.85,32.67,33.47,34.25,34.84
100506,0.16,0.19,0.26,0.36,0.49,0.65,0.81,1.0,1.19,1.39,1.59,1.79,2.0,2.2,2.42,3.31,4.23,5.17,6.12,7.07,8.03,8.95,9.86,10.75,11.6,12.43,13.23,13.83
100507,9.11,7.27,25.44,23.67,21.92,26.54,31.35,36.17,41.05,45.9,46.71,47.47,48.32,49.17,50.11,51.09,52.11,53.16,54.22,55.28,56.34,57.38,58.4,59.41,60.4,61.37,62.33,63.05
200111,0.26,0.31,1.61,2.97,4.39,5.84,7.31,7.62,7.96,8.31,8.67,9.05,9.45,9.82,10.25,11.51,12.8,14.14,15.48,16.84,18.2,19.52,20.79,22.05,23.22,24.38,25.47,26.32
200206,20.14,20.17,22.32,24.51,26.73,28.97,31.21,31.38,31.57,31.76,31.96,32.17,32.39,32.59,32.83,33.57,34.33,35.11,35.9,36.69,37.49,38.26,39.01,39.75,40.44,41.12,41.77,42.27
200208,0.07,0.08,2.3,4.55,6.8,9.07,11.33,11.41,11.49,11.57,11.66,11.74,11.84,11.92,12.02,12.43,12.86,13.31,13.75,14.19,14.64,15.08,15.5,15.92,16.32,16.71,17.09,17.37
200401,50.1,50.41,50.76,51.17,54.63,58.11,61.6,65.11,68.64,69.17,71.85,74.5,77.21,79.88,82.6,83.22,83.84,84.49,85.13,85.78,86.44,87.06,87.67,88.27,88.82,89.36,89.87,90.25
200413,0.13,0.15,3.19,6.27,9.37,12.48,15.6,15.74,15.88,16.03,16.18,16.34,16.5,16.65,16.83,17.72,18.64,19.58,20.53,21.49,22.44,23.37,24.28,25.18,26.04,26.89,27.71,28.34
200421,0.18,0.72,1.29,1.93,8.15,14.39,20.63,26.9,33.21,33.99,38.75,43.44,48.23,52.99,57.84,58.79,59.77,60.78,61.8,62.82,63.85,64.83,65.8,66.76,67.66,68.55,69.41,70.06
200430,0.19,0.73,1.3,1.96,8.17,14.4,20.64,26.9,33.19,33.96,38.68,43.34,48.09,52.81,57.61,58.52,59.45,60.41,61.37,62.33,63.31,64.24,65.16,66.07,66.93,67.78,68.59,69.21
205308,0.2,0.23,1.31,2.43,3.59,4.78,5.97,6.18,6.4,6.62,6.84,7.07,7.3,7.95,8.68,9.44,10.22,11.02,11.82,12.63,13.45,14.23,14.99,15.74,16.45,17.14,17.79,18.29
205309,0.05,0.23,0.41,0.62,0.84,1.07,1.31,1.55,1.8,2.04,2.3,2.53,2.8,3.06,3.34,3.64,3.94,4.26,4.57,4.89,5.21,5.51,5.81,6.11,6.4,6.68,6.95,7.15
205317,0.31,6.37,12.49,18.68,24.94,31.24,31.55,31.88,32.23,32.59,32.94,33.3,33.67,34.0,34.37,35.55,36.76,38.01,39.26,40.51,41.79,43.0,44.19,45.36,46.45,47.52,48.53,49.31
300009,0.09,0.11,1.35,2.6,3.88,5.17,6.47,6.57,6.68,6.79,6.9,7.02,7.14,7.25,7.36,7.48,7.59,7.71,7.83,8.02,8.51,8.98,9.45,9.9,10.33,10.75,11.16,11.46
300024,0.16,0.18,7.44,14.74,22.07,29.42,36.78,36.96,37.17,37.38,37.6,37.83,38.08,38.31,38.55,38.8,39.05,39.31,39.58,40.03,41.19,42.32,43.42,44.5,45.53,46.55,47.52,48.27
300289,0.31,5.02,12.68,20.45,28.3,42.22,50.1,56.1,62.15,68.18,69.18,70.13,71.17,72.17,73.27,74.41,75.57,76.77,77.97,79.18,80.4,81.57,82.71,83.83,84.88,85.9,86.86,87.6
