BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,7.09,7.32,7.57,7.88,8.25,8.63,9.03,9.46,9.87,10.31,10.69,11.13,11.58,11.88,12.25,12.67,13.15,13.6,14.16,14.69,15.27,15.76,16.16,16.62,17.08,17.56,18.09,18.46
100003,4.8,9.53,14.56,19.62,24.87,30.12,31.4,32.39,33.26,34.06,34.64,35.34,36.0,36.06,36.38,36.6,36.76,36.72,36.52,35.66,33.31,24.1,23.26,24.07,24.71,25.37,25.93,26.35
100004,3.94,4.32,8.31,12.33,16.42,20.52,24.63,25.18,25.67,26.06,26.37,26.71,26.96,26.76,26.53,26.04,25.28,24.2,23.01,21.74,20.55,19.2,17.75,16.62,15.99,15.86,15.98,15.96
100005,11.74,12.27,13.39,14.55,15.99,17.44,18.87,19.72,20.53,21.33,22.02,22.83,23.62,24.03,24.61,25.18,25.78,26.28,26.87,27.29,27.55,26.68,26.42,26.45,26.71,27.27,27.97,28.47
100006,8.51,8.78,9.32,9.89,10.5,11.11,11.75,12.14,12.5,12.89,13.17,13.52,13.87,14.0,14.22,14.43,14.66,14.83,15.05,15.17,15.18,14.55,14.27,14.14,14.16,14.36,14.65,14.85
100007,9.76,10.14,12.06,14.04,16.34,18.65,20.99,21.84,22.64,23.4,24.08,24.8,25.47,25.77,26.11,26.32,26.41,26.29,26.17,25.96,25.8,25.19,25.08,25.27,25.62,26.17,26.81,27.21
100008,13.13,13.99,15.43,16.93,18.96,20.99,23.05,24.6,26.03,27.57,28.79,30.21,31.61,32.34,33.41,34.49,35.63,36.71,37.99,39.19,40.44,41.19,41.58,42.09,42.74,43.71,44.78,45.57
100009,41.8,41.9,42.02,42.15,42.3,42.46,42.62,42.79,42.95,42.7,42.56,42.29,41.76,40.74,39.21,36.93,33.77,29.77,25.28,20.77,16.8,13.54,11.3,9.86,8.94,8.42,8.13,7.56
100139,12.21,12.3,12.39,12.48,12.64,12.8,12.97,13.14,13.31,13.48,13.63,13.79,13.96,14.07,14.2,14.35,14.49,14.61,14.68,14.55,14.01,12.64,10.4,8.18,6.78,6.2,6.06,5.99
100501,34.03,34.29,37.78,41.32,44.9,48.49,52.1,52.53,52.93,53.18,53.42,53.64,53.76,53.51,53.12,52.43,51.41,49.95,48.26,46.23,43.77,39.99,35.81,32.1,29.81,28.87,28.69,28.45
100503,6.8,7.13,7.49,7.89,8.38,8.87,9.39,9.92,10.41,10.95,11.38,11.89,12.39,12.65,13.04,13.47,13.94,14.4,14.97,15.51,16.13,16.62,17.02,17.49,17.93,18.4,18.9,19.25
100504,8.2,8.71,9.62,10.61,11.65,12.7,13.79,14.54,15.23,15.96,16.53,17.22,17.89,18.16,18.59,19.03,19.49,19.85,20.34,20.72,21.07,20.75,20.62,20.7,20.96,21.48,22.11,22.56
100505,28.7,28.84,29.6,30.4,31.32,32.25,33.2,33.57,33.92,34.06,34.24,34.38,34.37,34.03,33.43,32.43,30.97,28.99,26.73,24.31,21.87,19.11,16.52,14.44,13.21,12.75,12.73,12.54
100506,3.56,6.99,13.23,19.5,25.82,32.14,35.47,36.02,36.52,36.74,36.95,37.12,37.09,36.47,35.57,34.12,32.04,29.31,26.3,23.29,20.81,18.89,17.65,17.04,16.76,16.76,16.91,16.74
100507,3.15,3.29,3.45,3.64,3.86,4.08,4.31,4.56,4.8,5.05,5.27,5.52,5.77,5.92,6.12,6.34,6.59,6.81,7.09,7.31,7.47,7.41,7.12,6.87,6.79,6.9,7.11,7.27
200111,11.64,12.41,13.23,14.14,15.21,16.31,17.46,18.67,19.79,20.99,22.0,23.18,24.37,25.07,26.02,27.07,28.25,29.31,30.68,31.94,33.3,34.03,35.22,36.7,38.1,39.52,40.98,42.02
200206,58.8,59.18,59.6,60.07,61.14,62.18,63.23,64.31,65.36,66.03,66.72,67.32,67.65,67.32,66.52,64.98,62.58,59.25,55.53,51.79,48.74,46.5,45.17,44.72,44.79,45.24,45.95,46.08
200208,2.05,2.23,2.41,2.61,2.84,3.07,3.3,3.55,3.77,4.01,4.2,4.43,4.66,4.77,4.95,5.15,5.37,5.59,5.86,6.13,6.46,6.75,7.04,7.35,7.62,7.87,8.12,8.29
200401,67.29,67.97,69.59,71.26,75.09,78.81,82.52,85.35,88.18,90.61,92.99,95.3,97.28,98.44,99.08,98.85,97.61,95.13,92.19,88.95,85.99,82.02,80.77,81.04,82.29,84.36,86.98,88.44
200413,20.42,24.69,29.39,34.13,39.02,43.93,44.86,45.42,45.94,46.26,46.55,46.87,47.1,47.03,46.9,46.59,46.05,45.11,43.81,41.73,37.89,26.56,24.54,24.48,24.6,24.93,25.38,25.65
200421,11.31,11.76,13.62,15.53,17.58,19.63,21.71,22.4,23.04,23.65,24.15,24.72,25.25,25.39,25.62,25.74,25.78,25.64,25.55,25.44,25.49,25.39,25.69,26.23,26.75,27.3,27.86,28.2
200430,21.4,21.85,23.71,25.6,28.44,31.22,34.0,35.38,36.72,38.02,39.16,40.35,41.48,42.2,42.96,43.56,43.99,44.15,44.19,43.91,43.1,39.88,38.85,38.49,38.65,39.34,40.31,40.97
205308,49.73,54.39,63.21,72.08,81.61,91.13,96.44,97.62,98.74,99.22,99.81,100.23,100.24,99.29,97.64,94.81,90.62,85.04,78.69,72.13,66.01,59.06,55.96,54.58,53.99,54.03,54.44,54.16
205309,6.06,6.2,7.54,8.89,10.48,12.07,13.65,14.04,14.42,14.76,15.09,15.44,15.78,16.03,16.32,16.59,16.86,17.05,17.2,17.15,16.63,14.09,14.07,14.54,14.97,15.39,15.8,16.1
205317,15.72,16.45,18.61,20.82,23.44,26.05,28.68,29.94,31.08,32.32,33.31,34.45,35.59,36.18,37.08,38.0,39.0,39.96,41.11,42.19,43.31,43.75,44.51,45.46,46.36,47.37,48.37,49.11
300009,24.62,24.87,25.13,25.41,25.76,26.11,26.47,26.85,27.2,27.36,27.53,27.66,27.67,27.31,26.76,25.83,24.48,22.68,20.69,18.7,17.06,15.81,15.02,14.67,14.55,14.62,14.81,14.75
300024,6.74,7.23,9.41,11.65,13.99,16.34,18.74,19.54,20.29,21.01,21.66,22.39,23.07,23.4,23.77,24.08,24.33,24.32,24.46,24.55,24.93,25.4,26.0,26.89,27.8,28.74,29.75,30.4
300289,20.42,21.25,22.41,23.63,25.04,26.48,27.97,29.25,30.42,31.68,32.71,33.92,35.13,35.81,36.78,37.82,38.97,40.0,41.31,42.44,43.57,43.86,44.09,44.58,45.29,46.36,47.62,48.53
301101,35.26,35.92,39.54,43.21,47.0,50.8,54.64,55.57,56.41,56.95,57.42,57.89,58.13,57.56,56.75,55.3,53.16,50.21,47.03,43.82,41.26,39.3,38.06,37.61,37.53,37.79,38.26,38.26
301290,10.22,10.66,11.12,11.63,12.28,12.95,13.67,14.41,15.1,15.86,16.48,17.21,17.94,18.39,19.02,19.7,20.47,21.19,22.11,23.01,24.06,25.03,25.96,26.98,27.88,28.74,29.58,30.18
301672,4.39,4.51,4.65,4.8,5.19,5.58,5.95,6.3,6.65,6.98,7.3,7.66,8.01,8.25,8.55,8.85,9.17,9.48,9.83,10.18,10.57,10.93,11.29,11.66,11.99,12.31,12.61,12.83
303021,56.11,56.69,57.29,57.91,58.98,60.05,61.11,62.17,63.14,63.65,64.18,64.64,64.79,64.03,62.86,60.8,57.76,53.73,49.2,44.67,40.85,37.67,35.69,34.69,34.21,34.19,34.4,34.13
303188,8.88,9.47,12.38,15.33,18.47,21.62,24.78,25.66,26.46,27.32,28.03,28.86,29.69,30.14,30.81,31.53,32.33,33.05,33.89,34.46,34.62,33.57,31.37,29.26,28.13,28.05,28.51,28.89
303846,31.12,31.25,31.39,31.55,31.78,32.01,32.22,32.43,32.63,32.6,32.61,32.62,32.59,32.4,32.18,31.85,31.36,30.58,29.35,27.12,22.42,7.69,5.54,5.8,6.02,6.25,6.47,6.62
304200,11.77,12.71,14.17,15.69,17.69,19.67,21.67,23.19,24.57,26.02,27.16,28.48,29.78,30.36,31.3,32.21,33.15,33.99,35.04,36.06,37.27,38.03,38.99,40.16,41.22,42.37,43.46,44.24
304881,6.47,6.87,9.89,12.94,16.13,19.32,22.54,23.18,23.76,24.29,24.73,25.23,25.67,25.73,25.82,25.76,25.56,25.12,24.7,24.24,23.98,23.68,23.61,23.82,24.11,24.54,25.03,25.3
304882,5.55,5.84,6.15,6.48,6.92,7.37,7.83,8.3,8.74,9.21,9.6,10.06,10.52,10.8,11.18,11.6,12.08,12.53,13.09,13.64,14.27,14.84,15.38,15.96,16.49,17.01,17.51,17.88
304899,40.44,40.71,41.2,41.7,42.28,42.86,43.45,43.84,44.2,44.57,44.87,45.22,45.58,45.74,46.01,46.3,46.62,46.91,47.29,47.65,48.08,48.42,48.7,49.04,49.35,49.7,50.05,50.3
400001,31.24,33.39,36.97,40.58,45.29,49.94,52.95,54.58,56.16,57.79,59.22,60.73,62.19,63.24,64.38,65.42,66.38,67.15,67.99,68.8,69.79,70.64,71.88,73.4,74.89,76.43,77.97,79.05
400016,31.89,32.68,33.49,34.34,35.32,36.31,37.32,38.35,39.27,40.02,40.61,41.27,41.78,41.5,41.22,40.51,39.37,37.7,35.92,34.08,32.63,31.14,30.16,29.76,29.68,30.01,30.51,30.66
400071,12.3,12.79,13.3,13.85,14.76,15.69,16.62,17.57,18.48,19.4,20.23,21.18,22.14,22.83,23.69,24.62,25.65,26.61,27.75,28.77,29.73,29.82,30.73,31.91,33.03,34.15,35.29,36.12
400094,18.05,18.51,20.39,22.3,24.41,26.53,28.63,29.32,29.92,30.44,30.86,31.36,31.84,31.92,32.1,32.17,32.15,31.95,31.79,31.62,31.64,31.55,31.83,32.35,32.84,33.37,33.9,34.22
400102,51.5,52.05,52.63,53.26,54.1,54.95,55.82,56.7,57.52,57.99,58.45,58.9,59.16,58.75,58.12,56.97,55.21,52.69,49.74,46.24,41.91,32.86,30.5,29.94,29.81,30.1,30.62,30.76
400107,2.28,6.62,10.96,15.34,19.78,24.22,24.67,25.13,25.55,25.99,26.36,26.79,27.23,27.44,27.78,28.14,28.56,28.95,29.46,29.95,30.54,31.01,31.51,32.07,32.55,33.02,33.47,33.8
400113,12.68,13.02,13.41,13.89,14.52,15.15,15.83,16.54,17.22,17.87,18.47,19.12,19.73,20.02,20.32,20.55,20.71,20.67,20.72,20.72,20.92,21.18,21.52,22.09,22.72,23.42,24.2,24.69
400119,53.14,53.31,54.29,55.3,56.85,58.4,59.98,60.77,61.54,62.34,63.09,63.89,64.69,65.37,66.11,66.88,67.66,68.37,69.02,69.31,68.85,66.87,63.32,59.81,57.78,57.2,57.42,57.64
400128,41.48,41.9,42.34,42.82,46.39,49.74,56.93,64.13,71.33,78.61,85.63,88.75,91.79,94.43,97.0,99.34,101.42,103.11,104.71,106.12,107.47,108.32,108.8,109.68,111.39,113.91,116.89,119.0
400217,37.76,38.78,41.59,44.46,48.82,53.13,57.45,60.07,62.61,65.27,67.63,70.2,72.75,74.67,76.89,79.15,81.5,83.62,86.05,88.28,90.53,92.05,92.92,94.08,95.75,98.03,100.66,102.57
400400,64.39,64.79,65.22,65.69,66.41,67.14,67.88,68.65,69.38,69.68,70.03,70.3,70.29,69.56,68.31,66.25,63.24,59.19,54.64,49.93,45.62,41.57,37.87,35.13,33.59,33.1,33.23,32.93
400421,29.16,30.17,33.63,37.17,41.13,45.12,49.15,50.83,52.39,54.0,55.33,56.87,58.4,59.21,60.35,61.5,62.71,63.71,64.98,66.07,67.19,66.86,68.11,69.91,71.58,73.27,74.95,76.14
401010,52.69,53.22,57.8,62.44,67.4,72.39,77.42,78.49,79.51,80.16,80.84,81.49,81.9,81.62,80.96,79.66,77.61,74.65,71.44,68.19,65.66,63.88,62.94,62.89,63.25,63.95,64.9,65.21
401044,14.65,15.17,17.11,19.1,21.56,24.03,26.49,27.54,28.52,29.42,30.22,31.12,31.99,32.44,33.0,33.47,33.87,34.07,34.34,34.58,35.0,35.24,35.85,36.73,37.59,38.51,39.45,40.06
401053,38.78,39.14,39.53,39.96,40.49,41.03,41.59,42.17,42.71,43.05,43.37,43.73,44.03,44.0,43.95,43.75,43.36,42.59,41.52,39.66,36.1,25.05,23.49,23.9,24.38,24.95,25.59,25.99
401212,21.4,22.08,24.75,27.47,30.43,33.41,36.41,37.49,38.49,39.49,40.34,41.3,42.23,42.66,43.26,43.81,44.32,44.64,45.09,45.44,45.89,45.84,45.95,46.36,46.93,47.76,48.71,49.36
609001_609004,10.82,11.07,13.84,16.64,19.98,23.31,26.66,27.53,28.38,29.24,30.05,30.92,31.8,32.54,33.36,34.23,35.15,36.03,37.01,37.89,38.71,38.94,39.63,40.47,41.33,42.23,43.17,43.86
609036,48.39,48.82,51.28,53.77,57.54,61.29,65.0,66.7,68.37,70.04,71.63,73.31,75.01,76.39,77.95,79.54,81.19,82.79,84.48,86.06,87.49,88.21,88.83,89.56,90.54,91.85,93.31,94.39
609051,56.75,57.6,59.9,62.31,66.72,71.11,75.46,78.4,81.29,84.2,86.97,89.93,92.91,95.28,97.98,100.77,103.69,106.52,109.61,112.52,115.34,117.36,118.72,120.21,122.06,124.43,127.04,128.97
609311_609302,190.92,191.9,196.61,201.39,209.94,218.39,226.82,231.59,236.34,240.95,245.42,250.05,254.61,258.52,262.56,266.46,270.21,273.45,276.76,279.64,282.14,281.35,284.86,289.6,294.35,299.21,304.13,307.61
