BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,3710.0,5273.0,7595.0,10390.0,13483.0,16754.0,20203.0,24341.0,28286.0,32099.0,35746.0,39196.0,42163.0,44947.0,47484.0,49786.0,51805.0,53562.0,54938.0,55950.0,56717.0,57271.0,57583.0,57719.0,57800.0,57890.0,58017.0,58174.0
100003,3044.0,4440.0,6538.0,9158.0,12172.0,15448.0,18925.0,23069.0,27036.0,30882.0,34569.0,38064.0,41223.0,44204.0,46882.0,49195.0,51236.0,53028.0,54453.0,55600.0,56514.0,57258.0,57846.0,58256.0,58630.0,58981.0,59297.0,59563.0
100004,1714.0,2505.0,3698.0,5184.0,6884.0,8734.0,10696.0,13026.0,15251.0,17402.0,19460.0,21407.0,23148.0,24785.0,26281.0,27642.0,28835.0,29880.0,30710.0,31331.0,31807.0,32151.0,32372.0,32502.0,32627.0,32746.0,32866.0,32986.0
100005,4958.0,7118.0,10266.0,13987.0,18006.0,22213.0,26648.0,32018.0,37161.0,42148.0,46931.0,51467.0,55471.0,59247.0,62644.0,65567.0,68142.0,70362.0,72073.0,73451.0,74553.0,75412.0,75895.0,76081.0,76164.0,76325.0,76546.0,76797.0
100006,2529.0,3653.0,5354.0,7480.0,9931.0,12592.0,15411.0,18759.0,21952.0,25039.0,27992.0,30786.0,33252.0,35569.0,37684.0,39607.0,41298.0,42770.0,43928.0,44863.0,45609.0,46185.0,46579.0,46828.0,46984.0,47125.0,47251.0,47384.0
100007,1628.0,2390.0,3490.0,4790.0,6182.0,7643.0,9182.0,11042.0,12822.0,14548.0,16202.0,17771.0,19189.0,20528.0,21751.0,22844.0,23765.0,24567.0,25203.0,25650.0,25913.0,26062.0,26168.0,26234.0,26307.0,26393.0,26485.0,26576.0
100008,4205.0,6080.0,8916.0,12465.0,16561.0,21003.0,25704.0,31286.0,36608.0,41756.0,46681.0,51342.0,55469.0,59349.0,62883.0,66065.0,68866.0,71314.0,73251.0,74813.0,76030.0,76984.0,77711.0,78129.0,78455.0,78740.0,78960.0,79175.0
100009,832.0,1217.0,1808.0,2568.0,3472.0,4473.0,5542.0,6808.0,8023.0,9201.0,10330.0,11401.0,12376.0,13296.0,14138.0,14906.0,15585.0,16181.0,16659.0,17050.0,17368.0,17628.0,17828.0,17943.0,18033.0,18108.0,18191.0,18275.0
100139,860.0,1237.0,1770.0,2372.0,2981.0,3593.0,4233.0,5021.0,5775.0,6507.0,7209.0,7876.0,8461.0,9013.0,9492.0,9850.0,10165.0,10424.0,10605.0,10748.0,10862.0,10953.0,11023.0,11064.0,11105.0,11151.0,11198.0,11236.0
100501,1849.0,2683.0,3975.0,5646.0,7645.0,9863.0,12228.0,15024.0,17700.0,20292.0,22774.0,25125.0,27241.0,29232.0,31054.0,32712.0,34174.0,35457.0,36479.0,37311.0,37984.0,38512.0,38940.0,39253.0,39525.0,39729.0,39912.0,40084.0
