Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,70964.91,74493.23,80033.23,87261.5,98743.01,110347.6,121117.04,131749.78,141307.9,150475.12,159084.38,169028.82,184130.37,198868.67,212629.36,225687.12,238148.7,249839.17,260740.74,270518.68,279757.86,288736.93,297619.49,306550.75,315382.78,323979.39,331893.5,333638.65
BARROWINFURNESS,10438.54,12143.94,15319.54,19055.34,23771.68,28593.03,33152.94,37404.38,41422.71,45192.59,48724.67,53215.08,61215.5,68967.32,76077.49,82761.62,89073.54,94995.63,100403.23,105195.88,109595.0,113840.5,118005.01,122081.39,126047.6,129862.45,133302.85,132918.75
BLACKBURN WITH DARWEN,10523.52,14471.27,20187.75,26963.74,34868.56,42923.07,50684.71,59480.27,67757.83,75619.26,82965.28,92098.95,107366.48,121950.14,135214.44,147564.47,158890.11,169291.3,178693.28,186934.56,194439.17,201544.45,208473.11,215209.3,221664.52,227744.42,233149.2,232245.88
BLACKPOOL,8707.42,12350.12,17353.0,23444.49,30663.66,38082.27,45261.21,53287.89,60839.49,67902.71,74539.13,82975.0,97985.49,112551.73,125927.23,138482.24,150196.9,161025.38,170820.35,179613.51,187854.33,195593.8,203243.59,210880.06,218356.37,225698.13,232281.29,231832.13
BOLTON,21532.63,29247.77,40806.07,54649.13,70902.46,87577.7,103819.18,121930.19,138921.06,155157.24,170431.36,188925.16,218311.81,246422.78,271685.22,295000.85,316254.08,335476.19,352680.39,367409.7,380688.13,393381.34,405837.99,417877.51,429363.01,440324.81,450211.41,449219.26
BURNLEY,22258.2,24442.59,27607.69,31514.09,36406.76,41495.15,46336.94,51708.24,56812.91,61610.17,66132.49,71940.07,82339.73,92443.41,101790.33,110620.94,118925.78,126603.4,133639.54,139901.69,145744.16,151392.86,156893.37,162255.14,167427.06,172411.5,176862.14,176335.94
BURY,13289.14,18453.58,26152.33,35248.62,45592.16,56095.67,66378.97,78143.18,89218.19,99687.42,109547.58,121448.97,140607.23,159081.74,175522.96,190494.12,204383.03,217111.0,228590.86,238694.99,248015.84,256891.62,265525.96,274007.79,282166.7,290071.26,297253.51,296842.27
CARLISLE,40563.57,44067.45,49185.36,55408.17,63804.18,72462.04,80675.52,89574.38,98009.82,105897.01,113364.11,122139.88,136077.62,149599.97,161983.9,173595.79,184517.35,194620.53,203853.29,211969.14,219435.18,226514.6,233528.49,240598.34,247584.1,254397.67,260583.28,260978.36
CHESHIRE EAST,13203.91,17926.46,25280.79,33988.4,43874.1,53947.1,63821.82,75266.61,86158.43,96254.65,105832.63,116739.25,133140.2,149050.23,163209.93,176385.9,188585.89,199720.35,209709.07,218481.43,226535.47,234126.33,241307.58,248137.66,254760.96,261248.46,267314.23,267398.78
CHORLEY,10052.66,13366.8,18555.91,24831.97,32292.44,40025.09,47629.82,56252.92,64486.7,72260.31,79567.55,87951.41,100570.43,112813.53,123860.67,134138.63,143650.13,152240.78,160001.59,166823.04,173109.53,179145.84,185022.72,190721.09,196051.93,201148.38,205841.29,206017.56
COPELAND,16416.64,18460.07,21686.14,25575.53,31396.95,37313.67,42816.66,48496.16,53899.24,58997.99,63770.6,69373.18,78233.07,86813.82,94676.07,102065.53,109061.9,115640.91,121664.44,126984.25,131917.99,136708.71,141438.48,146118.87,150703.24,155129.54,159156.48,159503.28
CRAVEN,1637.53,2358.79,3408.6,4669.1,6303.63,7998.54,9596.86,11389.38,13111.74,14718.04,16244.31,18009.2,20760.05,23433.31,25864.26,28133.29,30259.44,32221.32,33995.79,35533.12,36947.76,38315.55,39657.5,40978.04,42248.23,43469.19,44544.48,44600.19
DERBYSHIRE DALES,4.17,5.36,7.24,9.48,11.96,14.54,17.18,20.39,23.51,26.44,29.21,32.12,35.92,39.58,42.71,45.57,48.22,50.64,52.75,54.59,56.25,57.76,59.18,60.46,61.56,62.64,63.64,63.82
EDEN,8934.42,11221.02,14675.28,18704.38,24049.97,29629.1,34873.33,40102.62,45010.8,49474.79,53766.97,58834.89,67015.23,74944.8,82274.2,89145.11,95650.51,101618.68,107089.3,111747.03,116069.88,120234.24,124416.95,128790.57,133187.92,137518.94,141466.52,141935.04
FYLDE,12816.72,15308.82,19221.31,23907.3,29377.99,35016.06,40547.4,46637.54,52373.09,57731.22,62763.94,68565.42,77523.23,86232.14,94102.52,101419.28,108138.36,114239.74,119727.02,124584.07,129080.96,133380.38,137593.64,141771.56,145771.0,149659.2,153159.41,153238.51
