Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,117.08,170.45,199.36,218.21,231.88,242.52,251.1,258.29,260.89,264.6,267.07,270.58,272.52,272.76,271.53,269.08,265.65,261.32,257.18,253.15,249.05,245.09,241.13,237.34,233.68,230.1,226.57,223.07
BARROWINFURNESS,108.23,157.0,182.82,199.39,211.05,219.75,226.71,232.22,233.65,236.23,237.5,239.87,240.72,240.06,238.24,235.25,231.47,226.95,222.59,218.31,213.93,209.69,205.44,201.33,197.31,193.35,189.42,185.49
BLACKBURN WITH DARWEN,632.6,1428.35,2263.83,3126.4,4010.53,4912.04,5829.42,6761.3,7599.0,8490.23,9353.52,10268.8,11139.7,11941.54,12675.6,13340.31,13932.9,14458.04,14963.35,15448.9,15908.23,16344.19,16754.05,17148.68,17526.1,17884.17,18220.62,18532.98
BLACKPOOL,180.48,262.31,306.41,335.03,355.63,371.54,384.47,395.31,399.1,404.78,408.46,413.79,416.76,417.07,415.23,411.58,406.37,399.88,393.61,387.52,381.42,375.45,369.5,363.81,358.3,352.94,347.66,342.42
BOLTON,1840.86,4301.8,6929.45,9665.29,12483.17,15368.94,18314.02,21313.98,24029.62,26925.17,29743.64,32745.07,35611.51,38277.52,40739.6,42981.38,45012.02,46827.26,48593.51,50305.47,51936.71,53510.98,55013.1,56479.46,57904.42,59281.91,60605.4,61867.87
BURNLEY,125.19,182.5,213.77,234.4,249.43,261.2,270.8,278.95,282.11,286.06,288.61,292.2,294.03,294.01,292.35,289.38,285.29,280.27,275.4,270.59,265.77,261.01,256.24,251.61,247.08,242.6,238.15,233.68
BURY,648.6,1595.42,2629.39,3716.59,4842.2,6000.29,7187.44,8400.2,9505.71,10683.67,11837.71,13067.69,14247.77,15353.57,16378.57,17322.19,18183.14,18960.2,19721.2,20462.83,21177.44,21873.17,22544.29,23205.99,23856.32,24493.2,25114.36,25717.36
CARLISLE,145.67,212.34,248.62,272.52,289.92,303.61,314.82,324.27,327.94,332.64,335.62,339.93,342.17,342.25,340.49,337.18,332.63,326.92,321.47,316.1,310.72,305.47,300.23,295.19,290.3,285.51,280.78,276.07
CHESHIRE EAST,164.74,240.85,282.93,311.03,331.96,348.62,362.5,374.49,379.93,386.79,391.73,398.25,402.48,404.26,403.85,401.71,398.05,393.06,388.39,383.89,379.37,374.96,370.58,366.46,362.55,358.79,355.13,351.55
CHORLEY,243.35,455.24,651.97,846.35,1042.5,1241.33,1444.25,1650.85,1836.88,2038.15,2235.11,2448.15,2652.57,2844.79,3023.33,3188.3,3340.37,3478.39,3616.75,3752.68,3884.33,4015.81,4144.82,4274.2,4403.63,4532.79,4661.33,4788.88
COPELAND,66.98,97.11,113.04,123.3,130.54,136.06,140.33,143.81,144.86,146.52,147.47,148.91,149.54,149.33,148.32,146.61,144.37,141.69,139.15,136.7,134.18,131.75,129.35,127.04,124.81,122.64,120.5,118.4
CRAVEN,17.98,26.26,30.8,33.82,36.03,37.78,39.21,40.44,40.95,41.64,42.11,42.74,43.13,43.24,43.1,42.78,42.29,41.68,41.08,40.5,39.91,39.33,38.76,38.21,37.68,37.17,36.66,36.15
DERBYSHIRE DALES,0.03,0.04,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
EDEN,56.42,82.38,96.64,106.08,113.05,118.53,123.02,126.91,128.52,130.72,132.26,134.29,135.59,135.99,135.65,134.73,133.31,131.43,129.63,127.87,126.12,124.43,122.76,121.18,119.67,118.22,116.8,115.41
FYLDE,72.3,105.79,124.35,136.79,146.09,153.47,159.64,164.98,167.34,170.48,172.76,175.72,177.67,178.5,178.39,177.47,175.85,173.68,171.6,169.58,167.54,165.57,163.61,161.76,160.0,158.29,156.64,155.0
