Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,59.55,85.58,100.12,108.73,113.96,117.47,119.85,121.42,124.6,128.38,131.56,135.31,138.34,140.5,141.94,142.76,143.03,142.83,142.65,142.54,142.44,142.33,142.23,142.23,142.31,142.45,142.66,142.91
BARROWINFURNESS,35.65,51.49,60.64,66.22,69.76,72.28,74.14,75.53,77.49,79.83,81.79,84.1,85.95,87.27,88.15,88.64,88.8,88.67,88.56,88.48,88.4,88.3,88.21,88.17,88.17,88.22,88.29,88.39
BLACKBURN WITH DARWEN,137.17,287.22,442.03,595.79,746.53,896.37,1045.09,1192.42,1356.08,1533.9,1712.12,1905.57,2096.07,2279.38,2455.34,2623.67,2783.73,2935.19,3087.6,3241.21,3395.4,3549.16,3703.41,3860.42,4020.11,4182.36,4347.05,4514.05
BLACKPOOL,107.84,154.07,179.01,193.21,201.4,206.5,209.61,211.3,216.41,222.62,227.82,234.07,239.08,242.64,245.0,246.34,246.77,246.4,246.12,245.92,245.76,245.64,245.52,245.58,245.8,246.15,246.6,247.15
BOLTON,513.21,1121.28,1759.96,2398.1,3024.38,3644.84,4257.15,4859.98,5546.52,6292.47,7041.23,7853.65,8655.2,9428.63,10172.99,10886.79,11567.25,12212.76,12863.16,13520.01,14180.26,14839.06,15501.2,16175.96,16862.97,17561.81,18272.02,18993.11
BURNLEY,50.96,73.63,86.64,94.61,99.7,103.36,106.07,108.14,111.34,114.94,118.01,121.64,124.59,126.79,128.36,129.39,129.93,130.06,130.21,130.4,130.61,130.82,131.03,131.33,131.71,132.15,132.64,133.18
BURY,126.29,279.22,441.95,606.2,768.92,931.83,1094.42,1256.24,1437.84,1635.6,1835.06,2052.06,2267.02,2475.64,2677.24,2871.25,3057.0,3233.91,3412.46,3592.98,3774.69,3957.37,4141.04,4328.58,4519.91,4714.92,4913.5,5115.53
CARLISLE,69.5,100.29,117.88,128.59,135.35,140.13,143.59,146.11,150.23,154.78,158.57,163.04,166.62,169.17,170.85,171.78,172.05,171.77,171.53,171.35,171.19,171.01,170.84,170.79,170.83,170.95,171.14,171.38
CHESHIRE EAST,35.06,50.92,60.28,66.22,70.2,73.22,75.63,77.57,80.05,82.87,85.33,88.16,90.52,92.33,93.66,94.61,95.19,95.46,95.74,96.06,96.38,96.7,97.02,97.41,97.84,98.33,98.86,99.41
CHORLEY,82.14,161.36,239.75,316.18,390.44,463.89,536.58,608.36,689.91,778.8,867.98,965.01,1060.68,1153.01,1241.9,1326.97,1408.01,1484.81,1562.24,1640.49,1719.18,1798.33,1877.82,1959.0,2041.82,2126.22,2212.16,2299.58
COPELAND,15.53,22.31,26.1,28.34,29.68,30.58,31.17,31.56,32.31,33.21,33.95,34.84,35.53,36.01,36.3,36.43,36.43,36.3,36.2,36.1,36.01,35.9,35.8,35.73,35.67,35.62,35.6,35.58
CRAVEN,8.34,12.04,14.14,15.42,16.23,16.82,17.24,17.56,18.07,18.67,19.18,19.77,20.26,20.63,20.88,21.05,21.15,21.16,21.19,21.22,21.25,21.29,21.32,21.37,21.43,21.5,21.59,21.67
DERBYSHIRE DALES,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
EDEN,33.74,48.5,56.73,61.61,64.59,66.61,67.98,68.9,70.68,72.79,74.55,76.64,78.31,79.48,80.26,80.69,80.82,80.67,80.55,80.45,80.37,80.29,80.21,80.2,80.22,80.29,80.4,80.53
FYLDE,20.31,29.48,34.84,38.23,40.49,42.19,43.52,44.59,45.96,47.56,48.94,50.55,51.88,52.9,53.64,54.16,54.47,54.59,54.72,54.88,55.03,55.2,55.36,55.56,55.8,56.06,56.34,56.65
HIGH PEAK,102.56,223.09,351.01,480.37,609.11,738.72,868.78,999.07,1143.1,1300.02,1458.24,1630.19,1800.36,1965.01,2123.83,2276.51,2422.49,2561.34,2701.33,2842.83,2985.14,3128.15,3271.83,3418.46,3567.97,3720.27,3875.27,4032.87
HYNDBURN,144.08,309.53,482.02,653.73,822.04,988.75,1153.57,1316.02,1499.93,1699.16,1899.15,2116.18,2330.35,2536.92,2735.62,2925.97,3107.18,3278.95,3451.78,3626.03,3800.97,3976.05,4151.67,4330.58,4512.69,4697.89,4886.03,5077.0
