Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,10853.06,17196.63,25998.97,37038.3,49415.43,62951.47,77981.72,96118.86,114747.39,133384.94,151553.83,169004.62,187630.95,205439.68,220538.58,234082.43,245738.19,255871.07,264123.28,270925.58,276475.08,280964.13,284555.44,287126.1,289263.49,291050.32,292569.42,293890.46
BARROWINFURNESS,5647.62,8785.89,13313.65,18887.08,24999.05,31499.45,38543.33,46967.92,55441.66,63773.21,71769.16,79396.04,87715.46,95722.13,102466.43,108557.93,113830.51,118469.11,122272.5,125443.16,128064.3,130217.15,131968.22,133237.53,134318.28,135245.75,136048.68,136756.24
BLACKBURN WITH DARWEN,14204.59,21132.73,31188.16,43802.5,57906.85,73334.72,90654.76,111820.44,133932.01,156362.46,178421.66,199728.95,222305.11,243809.5,262129.4,278515.85,292617.61,304859.99,314865.01,323132.67,329913.24,335447.9,339931.17,343234.02,346020.14,348401.07,350457.0,352269.27
BLACKPOOL,12946.21,19459.84,28690.93,40096.95,52558.46,65730.32,79939.52,96888.78,113882.38,130528.97,146455.91,161629.62,178213.67,194188.94,207665.78,219871.39,230478.44,239856.39,247590.46,254073.99,259463.59,263913.06,267548.32,270203.27,272465.23,274408.03,276086.65,277561.92
BOLTON,29182.48,43749.92,64295.27,90086.81,118980.35,150654.16,186241.81,229636.43,274948.39,320870.57,366020.1,409616.68,455726.86,499638.15,537087.92,570600.31,599465.66,624539.24,645056.96,662026.2,675946.8,687302.18,696485.73,703241.64,708913.96,713734.29,717874.55,721506.21
BURNLEY,8515.1,13295.26,19847.35,27996.75,37093.31,47017.32,58098.11,71532.91,85475.37,99531.22,113297.79,126562.45,140629.57,154042.02,165470.55,175714.71,184551.23,192244.97,198549.64,203773.62,208065.01,211567.69,214399.59,216476.52,218217.66,219693.19,220956.79,222061.63
BURY,24278.63,32459.56,46365.65,64085.04,83753.38,105050.25,128835.65,158144.94,188670.03,219612.72,249974.33,279302.54,310741.66,340767.17,366218.58,388989.78,408556.84,425561.94,439423.87,450881.0,460301.18,468035.21,474355.88,479043.48,483076.47,486600.06,489701.28,492480.06
CARLISLE,11346.64,17103.91,25988.66,37788.88,51984.48,68985.5,89740.09,116227.37,145842.84,177522.46,209945.27,241835.05,274172.34,304478.91,330616.28,353539.89,372912.02,389177.61,402182.05,412585.61,420830.72,427336.49,432444.45,436181.52,439227.3,441753.03,443907.44,445804.71
CHESHIRE EAST,20993.19,26910.45,37153.33,50267.13,64499.94,79356.84,95228.47,114332.53,133286.29,151723.89,169232.12,185878.89,204483.27,222509.97,237591.75,251285.54,263179.39,273738.3,282425.42,289721.3,295811.49,300875.9,305055.22,308118.56,310788.62,313137.3,315209.18,317062.78
CHORLEY,13883.67,19630.77,28552.32,40087.63,53316.02,68251.55,85525.85,107022.45,130031.42,153848.75,177639.27,200786.98,224946.61,247830.25,267390.23,284749.36,299569.64,312265.64,322537.49,330915.12,337694.87,343159.57,347538.37,350749.97,353435.22,355713.26,357679.12,359417.3
COPELAND,7339.42,11578.09,17437.73,24619.24,32471.76,40795.69,49759.77,60405.41,71033.13,81403.66,91301.88,100715.37,111014.67,120945.35,129316.2,136903.32,143497.84,149330.86,154138.88,158168.87,161515.99,164274.21,166521.88,168153.48,169538.74,170722.19,171740.59,172632.45
CRAVEN,2275.12,3157.11,4532.91,6335.82,8354.23,10530.88,12889.21,15706.1,18500.63,21220.39,23818.78,26287.33,29004.93,31631.92,33824.6,35804.07,37505.19,38990.68,40188.6,41170.82,41965.38,42599.95,43099.1,43435.98,43714.01,43941.49,44133.08,44298.3
DERBYSHIRE DALES,4.5,6.22,9.25,13.37,18.39,24.45,31.96,41.68,52.67,64.55,76.77,88.83,101.02,112.43,122.27,130.87,138.11,144.17,148.99,152.82,155.85,158.23,160.1,161.47,162.6,163.54,164.35,165.07
EDEN,7723.47,11740.07,18112.0,27069.87,38563.72,53322.49,72375.55,97309.51,126266.08,158073.79,191241.65,224133.13,256785.37,287143.56,313515.73,336440.67,355667.46,371560.64,384152.68,394071.83,401798.75,407786.43,412405.73,415787.17,418478.46,420661.89,422503.07,424118.88
FYLDE,9458.41,13001.03,18699.41,25780.07,33409.58,41315.72,49678.24,59642.87,69429.07,78859.51,87741.64,96146.98,105605.02,114790.74,122458.11,129441.92,135524.65,140950.4,145427.8,149205.18,152372.23,155016.31,157205.7,158812.23,160216.42,161454.32,162546.77,163523.69
HIGH PEAK,9509.06,12943.29,18697.4,26084.33,34325.31,43269.48,53190.83,65324.93,77810.68,90350.28,102585.14,114358.24,127056.77,139219.07,149480.09,158672.32,166558.21,173405.65,178956.87,183523.52,187252.61,190285.24,192735.35,194506.63,196016.39,197316.69,198452.36,199464.17
HYNDBURN,7425.08,11478.94,17310.97,24696.53,33147.96,42686.44,53723.43,67406.9,82082.2,97285.02,112481.49,127268.81,142634.81,157170.07,169622.5,180672.88,190117.14,198210.38,204773.65,210134.28,214477.37,217980.09,220786.12,222850.23,224568.33,226019.62,227265.51,228361.51
LANCASTER,13866.81,20401.06,30105.45,42745.29,57446.9,74336.49,94212.96,119127.92,146243.33,174661.58,203324.13,231331.99,260180.35,287382.31,310747.67,331399.47,348982.74,363945.1,376018.93,385804.51,393666.42,399952.46,404946.9,408606.25,411624.38,414150.5,416309.92,418207.24
MANCHESTER,39990.39,58746.88,85785.22,119257.33,155917.78,194890.55,237360.0,288422.46,340257.91,391575.99,441061.99,488420.15,539753.55,589041.68,630772.97,668452.44,701149.75,729963.26,753729.57,773633.94,790182.28,803867.28,815083.13,823369.16,830448.61,836564.89,841872.3,846556.6
NORTHUMBERLAND,0.73,1.01,1.48,2.08,2.74,3.42,4.14,4.99,5.8,6.57,7.29,7.96,8.72,9.47,10.09,10.65,11.14,11.57,11.92,12.21,12.44,12.63,12.79,12.89,12.98,13.05,13.11,13.17
OLDHAM,19995.34,31135.5,46333.94,65205.92,86261.19,109248.09,134976.99,166229.15,198786.06,231701.93,264004.91,295167.64,328130.13,359528.64,386329.54,410343.0,431066.97,449111.99,463921.63,476205.3,486310.47,494574.22,501271.19,506213.22,510362.03,513886.99,516909.53,519555.15
PENDLE,5907.64,8660.62,12985.46,18385.59,24323.33,30651.64,37517.9,45782.31,54097.9,62290.27,70162.98,77678.65,85914.56,93847.97,100505.12,106506.89,111680.88,116215.87,119909.44,122971.43,125490.1,127551.0,129223.65,130426.83,131457.5,132347.2,133123.99,133814.43
PRESTON,15670.15,22937.89,33287.85,46414.84,61209.97,77539.51,96008.61,118614.93,142342.07,166490.59,190313.47,213354.03,237635.88,260730.57,280446.17,298061.44,313211.87,326337.1,337058.51,345903.46,353139.93,359026.66,363774.81,367263.21,370182.97,372656.6,374777.71,376636.75
RIBBLE VALLEY,7970.23,10860.38,15545.43,21561.47,28264.97,35522.27,43525.63,53250.71,63171.09,73056.25,82647.25,91848.58,101818.32,111387.28,119451.38,126695.49,132925.42,138355.71,142769.44,146412.99,149396.34,151825.71,153788.02,155200.72,156401.36,157430.25,158324.16,159116.3
RICHMONDSHIRE,13.12,19.36,28.92,42.14,58.69,79.38,105.45,139.16,177.64,219.39,262.6,305.28,348.01,387.87,422.42,452.58,477.97,499.11,515.93,529.28,539.75,547.93,554.27,558.9,562.61,565.63,568.17,570.4
ROCHDALE,18521.38,27152.38,40342.96,56991.04,75711.11,96354.5,119748.81,148583.54,178992.6,210103.98,240888.16,270714.76,302193.38,332119.76,357617.7,380345.86,399828.39,416648.13,430324.6,441561.81,450730.92,458187.11,464214.33,468655.11,472408.81,475628.4,478423.99,480903.67
ROSSENDALE,7158.15,9922.22,14505.01,20299.54,26701.1,33571.77,41096.19,50231.62,59512.2,68733.58,77651.55,86196.43,95513.76,104470.35,112000.69,118772.2,124598.63,129688.8,133828.71,137253.96,140068.55,142372.52,144246.14,145604.19,146771.54,147784.86,148673.94,149468.15
SALFORD,21772.76,31149.2,45957.31,64892.76,86448.58,110610.73,138462.21,173160.66,210315.24,248798.42,287227.96,324627.39,363731.32,400776.29,432430.01,460526.54,484523.13,505102.31,521769.01,535382.24,546426.73,555363.84,562562.05,567879.43,572359.8,576197.14,579531.98,582497.28
SEFTON,0.55,0.73,1.05,1.47,1.94,2.46,3.04,3.74,4.46,5.18,5.87,6.55,7.27,7.97,8.55,9.08,9.52,9.91,10.22,10.47,10.68,10.84,10.97,11.06,11.14,11.2,11.25,11.3
SOUTH LAKELAND,14353.78,20094.97,29175.41,41042.83,54518.87,69433.51,86152.11,106579.35,127695.5,148977.97,169850.91,189961.15,211436.86,231962.95,249313.96,264817.05,278072.46,289505.25,298717.53,306227.84,312285.71,317132.47,320972.42,323674.28,325917.55,327787.2,329384.64,330784.46
SOUTH RIBBLE,13703.94,19494.1,28677.15,40502.91,54015.7,69199.73,86700.43,108472.76,131724.54,155761.91,179741.78,203060.77,227467.39,250600.6,270340.89,287861.35,302810.29,315616.13,325963.54,334396.76,341218.34,346716.72,351124.28,354351.32,357058.32,359363.12,361359.32,363129.81
ST HELENS,5172.72,7796.15,11738.14,16792.99,22642.5,29341.85,37207.74,47059.65,57760.95,68961.93,80241.96,91258.06,102632.75,113364.5,122573.27,130715.31,137648.93,143555.26,148324.04,152196.11,155315.58,157819.59,159818.99,161291.81,162516.16,163550.74,164441.42,165228.32
STAFFORDSHIRE MOORLANDS,1.07,1.45,2.04,2.81,3.66,4.57,5.56,6.76,7.98,9.18,10.34,11.46,12.67,13.83,14.81,15.69,16.45,17.12,17.66,18.11,18.48,18.78,19.02,19.2,19.35,19.47,19.58,19.67
STOCKPORT,30890.79,44778.45,65105.74,90281.98,117762.39,146819.12,178290.38,216041.59,254124.14,291631.3,327647.24,362043.73,399552.03,435638.37,466126.75,493703.87,517658.89,538819.84,556282.19,570926.68,583117.35,593209.26,601486.64,607585.86,612807.41,617324.71,621248.68,624713.69
TAMESIDE,19302.55,28600.32,42860.18,60379.99,79438.37,99526.09,121167.78,147133.4,173178.21,198745.05,223213.53,246541.92,272201.54,296943.08,317735.7,336538.82,352829.56,367206.9,379014.36,388892.44,397103.23,403900.66,409485.58,413583.79,417127.66,420223.87,422941.34,425363.9
TRAFFORD,27851.37,36939.67,52378.11,72439.89,95261.36,120789.44,150286.42,187237.09,226900.12,268064.91,309203.08,349278.41,391253.04,431020.46,464996.89,495153.17,520914.22,543021.41,560942.19,575601.39,587524.43,597209.64,605048.52,610881.54,615830.36,620105.89,623844.41,627184.49
WARRINGTON,3141.85,4205.64,6037.47,8412.86,11089.95,14038.46,17378.53,21522.07,25887.24,30355.61,34777.51,39063.52,43612.4,47942.83,51619.31,54893.86,57693.23,60104.92,62055.95,63652.15,64949.49,66001.27,66849.96,67471.0,67998.75,68453.75,68851.72,69207.27
WEST LANCASHIRE,12395.43,17155.57,24997.89,35262.6,47096.25,60525.14,76149.9,95716.25,116778.95,138696.12,160671.75,182092.62,204411.29,225529.75,243568.73,259539.45,273129.99,284720.46,294051.53,301617.87,307705.06,312584.79,316476.55,319315.53,321686.64,323697.01,325436.4,326979.95
WIGAN,31908.36,47322.85,70747.87,100053.86,132658.08,168061.72,207420.27,255369.19,304924.02,354808.42,403563.51,450510.14,500781.1,548824.47,589528.26,625992.68,657346.91,684606.98,706817.63,725159.51,740196.1,752469.7,762416.58,769686.0,775861.35,781169.91,785784.43,789875.49
WYRE,12357.81,17579.59,25731.53,35953.17,47157.44,59036.33,71866.26,87272.14,102704.89,117842.13,132335.46,146150.01,161345.21,176002.88,188304.35,199422.39,209036.37,217499.3,224421.23,230186.25,234950.76,238866.74,242057.71,244365.08,246345.01,248056.97,249550.63,250876.37
