Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,3629.93,6204.97,8340.58,10944.35,15942.02,20994.95,24701.74,27461.33,29658.02,31427.61,33087.19,38855.44,57343.1,75653.76,93962.32,111468.67,128145.39,143735.74,158385.87,171098.6,182985.44,194966.82,207394.42,220513.58,233619.02,246446.89,257665.03,254676.3
BARROWINFURNESS,1569.3,2645.23,3511.38,4639.12,6896.51,9104.95,10547.71,11459.3,12095.04,12591.28,13024.57,16344.84,28469.38,40339.3,52104.12,63406.93,74220.11,84527.28,94249.42,102928.2,111059.32,119277.52,127616.88,136068.47,144293.85,152192.69,159173.01,156452.18
BLACKBURN WITH DARWEN,3214.41,5343.24,7271.78,9768.19,14375.24,18887.8,22081.18,24322.84,26079.84,27663.5,29115.33,35694.5,57911.66,79602.96,101092.67,121701.13,141138.05,159289.02,176272.14,191366.02,205509.54,219616.05,233879.3,248270.7,262183.24,275479.32,287079.17,282165.25
BLACKPOOL,5321.03,8283.93,10584.4,13492.18,18242.69,22923.47,26491.67,28939.87,30834.8,32476.29,34050.54,41033.32,64578.03,87769.51,110932.25,133224.73,154266.39,174110.46,192794.48,209924.19,226410.63,242673.51,259408.42,276775.01,293977.38,310860.65,325724.85,322291.16
BOLTON,6679.7,10439.42,14001.41,18928.73,28102.0,37167.4,43855.09,48329.12,51608.04,54517.33,57210.83,69021.13,108561.83,147073.03,185123.51,221317.29,255237.24,286558.1,315654.51,340917.57,364256.72,387621.18,411485.66,435687.35,459056.33,481335.95,500837.86,492036.64
BURNLEY,2265.62,3845.44,5286.61,7182.76,10561.98,13946.32,16405.36,18239.63,19815.78,21249.44,22662.28,27894.69,44791.83,61502.26,78143.42,94232.53,109528.36,123821.3,137330.74,149515.68,161065.28,172635.99,184357.77,196214.21,207744.92,218851.72,228657.17,225563.57
BURY,4362.7,6849.45,9216.4,12401.54,18035.1,23644.49,27923.88,30966.92,33304.96,35350.19,37340.24,45359.65,71812.48,97850.16,123671.38,148486.66,171865.57,193643.22,214137.3,232428.98,249676.4,266953.82,284577.19,302550.69,320127.46,337124.94,352253.12,347622.76
CARLISLE,3704.92,6162.92,8396.93,11160.17,16039.51,20936.5,24664.79,27359.24,29428.9,31159.39,32732.14,38403.09,56773.5,74939.23,93104.04,110501.14,127004.7,142384.77,156886.22,169580.15,181560.05,193622.11,206185.61,219392.41,232553.07,245456.86,256882.81,253985.16
CHESHIRE EAST,3440.59,5631.44,8109.68,11214.54,16252.95,21294.56,25336.47,28508.41,31116.76,33440.41,35660.69,42346.95,62918.26,83444.32,103926.57,123711.34,142325.66,159556.39,175990.56,190821.14,204927.53,219198.89,233833.48,248881.9,263779.72,278368.59,291621.66,289184.4
CHORLEY,2383.86,4262.84,6533.72,9331.47,13734.61,18121.69,21658.15,24572.81,27153.27,29547.91,31826.04,37552.92,53760.77,69972.38,86188.17,101761.44,116342.36,129563.94,142127.46,153355.12,163973.79,174804.88,185832.52,197053.29,208075.62,218787.52,228499.72,226518.49
COPELAND,1797.64,2963.28,3917.95,5163.75,7771.03,10343.65,12087.36,13239.46,14041.03,14636.59,15153.26,18274.65,29470.01,40449.19,51346.14,61775.77,71737.43,81205.17,90111.77,97830.47,105004.96,112326.88,119874.16,127677.83,135375.35,142838.19,149476.05,147192.82
CRAVEN,626.19,1095.01,1512.66,2030.26,3033.6,4046.44,4776.55,5364.95,5862.4,6285.65,6677.7,7828.93,11326.39,14806.69,18279.26,21602.25,24752.06,27685.95,30442.12,32814.86,35028.64,37311.6,39662.28,42122.78,44578.08,46978.69,49085.71,48569.48
DERBYSHIRE DALES,0.48,0.8,1.05,1.35,1.9,2.46,2.89,3.21,3.49,3.73,3.95,4.81,7.61,10.37,13.13,15.78,18.31,20.69,22.94,24.98,26.93,28.85,30.8,32.8,34.79,36.72,38.39,37.91
EDEN,2750.43,4536.9,5968.44,7721.6,11425.86,15314.7,18410.82,20804.17,22498.48,23764.43,24879.85,28324.38,39335.82,50230.03,61123.47,71405.68,81118.65,90257.97,98812.84,105865.43,112270.85,118727.62,125627.25,133333.96,141288.03,149189.31,156134.64,154646.84
FYLDE,2608.24,4322.68,6234.94,8558.05,11999.22,15437.49,18298.71,20608.79,22500.85,24198.37,25815.42,29962.52,42066.73,54184.01,66307.0,77908.03,88623.97,98426.32,107696.73,116106.78,124129.44,132234.18,140604.38,149321.83,158006.98,166554.95,174189.69,172937.53
HIGH PEAK,2062.71,3528.3,4981.93,6878.3,10235.69,13578.55,16077.86,17923.84,19449.22,20816.43,22089.1,26595.91,40931.85,55073.52,69127.24,82584.51,95250.33,106986.12,118017.07,127768.64,136902.81,146154.0,155564.85,165123.15,174430.88,183376.45,191277.12,188580.19
HYNDBURN,1792.27,2959.75,3875.56,5132.73,7629.15,10080.18,11719.4,12841.7,13775.08,14628.14,15458.24,19654.1,33972.35,47953.08,61789.05,75076.43,87631.78,99409.98,110415.38,120288.13,129523.56,138716.94,147895.67,157027.99,165776.76,174069.63,181276.64,177896.33
LANCASTER,4337.11,7097.68,9634.18,12835.08,18268.97,23711.36,27886.47,31020.41,33610.35,35877.19,37970.0,45002.12,67366.4,89543.62,111658.74,132868.44,152885.72,171603.31,189253.32,205082.09,220158.35,235301.82,250943.59,267205.62,283333.37,299115.63,313083.03,309921.7
