Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,493300.86,526984.89,546328.1,575932.89,610694.58,630380.7,656180.83,682826.27,708786.75,739593.67,766596.05,801123.17,857215.34,919202.11,957901.78,994325.01,1029279.75,1062303.46,1084972.16,1110070.59,1124997.07,1139113.13,1157707.38,1170935.71,1182944.79,1194714.71,1204073.93,1199619.66
BARROWINFURNESS,378542.31,404390.29,419233.61,441951.32,468626.26,483732.72,503530.86,523977.67,543898.86,567539.04,588259.75,614754.69,657797.91,705364.45,735061.26,763011.21,789834.29,815175.57,832570.75,851830.44,863284.51,874116.7,888385.28,898536.26,907751.62,916783.45,923965.41,920547.34
BLACKBURN WITH DARWEN,588155.72,645369.3,678855.16,711956.74,764661.44,795206.08,824968.9,857677.33,893966.64,927741.58,965665.77,997656.12,1048333.48,1093075.23,1136587.55,1182922.45,1218229.04,1250981.65,1278317.0,1301993.79,1330547.47,1349933.42,1368409.57,1386110.78,1402737.77,1418183.66,1431519.95,1428072.84
BLACKPOOL,645442.04,701200.77,743950.71,770829.13,801980.94,843111.38,876343.96,905895.28,936790.19,977681.49,1006533.76,1043981.1,1093506.66,1141966.61,1186952.05,1228783.77,1266200.21,1308932.36,1339098.0,1365527.78,1389210.53,1411603.3,1433111.36,1453698.13,1473313.1,1491858.25,1508023.25,1505606.57
BOLTON,1168348.1,1258281.58,1314907.5,1399488.52,1480645.6,1532764.54,1588761.62,1650713.5,1714458.03,1773496.43,1831698.65,1897021.03,1992220.57,2082069.29,2165485.15,2241929.02,2309084.85,2372574.91,2426490.18,2473232.37,2514227.27,2552736.29,2589474.38,2624381.4,2657075.67,2687255.11,2713301.86,2709571.75
BURNLEY,359621.02,387773.18,411049.28,431027.7,451987.13,474199.01,504487.25,526205.96,549270.26,577091.54,599629.29,625286.55,664438.23,705084.92,739756.14,772388.16,803454.95,835174.14,854251.6,870971.0,885956.86,900370.44,914034.19,927144.23,939527.07,951109.71,961234.4,959037.64
BURY,780126.53,840976.23,879220.64,935501.89,989507.89,1024233.2,1061725.56,1102880.47,1145227.72,1184620.36,1223235.87,1266616.24,1330021.67,1389982.36,1445507.41,1496406.1,1541133.46,1583800.44,1619715.24,1650857.24,1678176.17,1703849.11,1728334.45,1751600.56,1773389.17,1793499.04,1810848.11,1808340.98
CARLISLE,539347.52,576175.76,597324.54,629692.76,667699.24,689222.95,717431.36,746563.99,774947.73,808630.29,838153.18,875903.2,937231.24,1005004.1,1047316.15,1087139.27,1125356.82,1161463.1,1186247.78,1213689.01,1230008.78,1245442.49,1265772.4,1280235.51,1293365.57,1306234.14,1316466.99,1311596.93
CHESHIRE EAST,539318.05,568338.13,594781.09,621622.02,643978.89,668240.07,693673.1,719221.17,744387.6,768215.21,791090.26,823111.0,864509.9,934301.61,997166.37,1031554.54,1061513.48,1091547.97,1117949.59,1139531.92,1158849.71,1177147.71,1195605.96,1212496.69,1228536.53,1243625.1,1256703.22,1254674.31
CHORLEY,416341.72,452332.86,479745.2,497596.01,518057.0,544364.38,565773.91,584943.17,604964.46,631170.01,649838.95,673956.84,705951.51,737219.64,766244.88,793222.28,817336.62,844742.42,864182.79,881211.86,896461.17,910877.42,924720.99,937968.52,950584.23,962503.49,972888.63,971337.56
