Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,35607.01,37195.36,40887.23,44608.09,49121.92,53664.63,57911.05,60165.4,62331.68,64655.55,66720.9,68877.28,71060.27,72819.62,74938.79,77250.04,79816.35,82257.06,85202.82,88066.69,91282.42,94346.08,97319.87,100524.66,103451.27,106240.63,109006.87,111004.48
BARROWINFURNESS,14338.42,14873.09,18541.7,22217.59,26269.75,30324.85,34214.86,35002.34,35766.82,36571.9,37307.42,38031.65,38762.18,39374.85,40083.92,40836.82,41650.79,42434.49,43340.65,44227.45,45201.72,46131.45,47037.56,47997.08,48880.25,49727.52,50561.76,51166.68
BLACKBURN WITH DARWEN,11224.1,12549.28,14033.86,15525.69,17409.72,19303.87,21050.87,22677.57,24156.11,25762.18,27039.59,28459.42,29879.07,30676.43,31896.91,33168.04,34579.95,35940.13,37630.06,39312.48,41298.82,43080.66,44835.47,46734.61,48344.92,49893.11,51328.92,52371.88
BLACKPOOL,4637.87,5308.77,6105.87,6918.95,8020.27,9138.3,10161.88,11112.72,12018.25,12995.91,13845.87,14755.18,15674.25,16381.37,17261.82,18224.92,19301.53,20321.55,21573.96,22791.31,24173.81,25481.34,26749.53,28125.7,29367.71,30548.24,31716.43,32558.55
BOLTON,24865.71,26734.25,29569.88,32440.39,36392.04,40369.2,43909.62,46607.99,49193.71,51945.32,54383.72,56876.13,59387.33,61360.64,63755.69,66314.67,69116.65,71799.2,74986.82,78104.03,81592.46,84887.65,88094.13,91530.15,94638.7,97606.71,100522.44,102630.63
BURNLEY,6252.22,7002.68,7916.99,8845.71,10147.15,11461.64,12635.55,13696.87,14708.0,15791.62,16738.58,17729.24,18728.32,19493.47,20442.37,21465.29,22595.77,23673.65,24975.98,26247.65,27684.94,29039.05,30356.64,31776.06,33054.99,34275.63,35473.2,36338.68
BURY,8754.04,9722.36,10866.73,12024.04,13592.67,15174.34,16600.41,17902.13,19126.0,20443.42,21566.52,22762.18,23965.99,24823.57,25939.35,27133.76,28456.94,29721.8,31260.81,32770.7,34496.41,36103.3,37671.8,39363.21,40866.44,42304.19,43696.12,44703.51
CARLISLE,18521.1,19745.9,21248.92,22775.6,24888.56,27024.05,28943.21,30668.68,32311.6,34075.23,35613.61,37231.27,38863.49,40111.79,41663.3,43341.4,45200.17,46970.21,49117.52,51212.86,53585.93,55822.04,57998.13,60344.54,62459.57,64479.1,66460.12,67892.0
CHESHIRE EAST,9926.52,10792.84,11773.35,12766.35,14033.02,15315.21,16510.65,17638.8,18685.07,19822.73,20762.04,21799.89,22844.01,23532.53,24481.31,25503.62,26648.76,27738.45,29098.4,30433.26,31986.3,33418.04,34817.81,36337.7,37670.78,38946.85,40171.1,41057.2
CHORLEY,9088.61,10095.96,11440.69,12796.43,14564.72,16343.05,17959.42,19283.36,20516.03,21843.1,22953.97,24141.93,25334.28,26129.29,27208.31,28345.22,29601.43,30808.4,32272.53,33716.99,35375.37,36902.35,38393.71,40003.81,41411.28,42753.61,44042.48,44974.4
COPELAND,3921.18,4662.45,6240.58,7822.98,9808.38,11793.77,13598.37,14590.66,15522.35,16511.12,17358.88,18223.0,19088.11,19686.45,20468.36,21273.62,22141.83,22985.83,23972.84,24953.9,26063.75,27083.03,28084.9,29148.06,30081.25,30980.27,31830.47,32449.02
CRAVEN,351.25,690.19,1121.01,1553.74,2196.15,2837.89,3383.66,3849.36,4291.08,4757.03,5165.4,5572.41,5980.31,6279.91,6654.91,7041.62,7455.57,7858.4,8322.89,8783.88,9299.32,9776.83,10246.44,10741.37,11182.04,11608.01,12012.66,12307.55
DERBYSHIRE DALES,5.68,5.84,6.02,6.2,6.41,6.62,6.84,7.06,7.27,7.5,7.7,7.93,8.16,8.35,8.58,8.84,9.15,9.43,9.8,10.15,10.55,10.94,11.31,11.72,12.1,12.46,12.81,13.07
EDEN,17841.81,19342.29,22691.83,26078.65,30150.53,34265.03,38160.46,40341.42,42458.68,44745.57,46807.18,48993.34,51217.88,53111.99,55335.28,57814.34,60602.14,63232.54,66446.31,69545.88,73017.54,76368.5,79603.25,83114.03,86358.53,89433.33,92536.42,94769.81
FYLDE,32662.64,33365.16,34784.91,36213.24,37999.31,39791.38,41435.45,42396.99,43303.74,44271.35,45103.8,45966.58,46832.87,47453.49,48251.36,49091.88,50009.72,50892.79,51947.38,52986.85,54167.17,55261.81,56333.66,57480.18,58497.0,59473.64,60410.83,61090.87
HIGH PEAK,3566.73,4090.05,4719.77,5354.46,6231.46,7110.95,7887.42,8577.06,9215.15,9897.14,10462.04,11055.4,11647.43,12016.85,12535.92,13067.27,13643.95,14203.57,14872.49,15539.49,16308.29,17002.79,17685.57,18416.99,19042.59,19643.0,20204.42,20611.99
HYNDBURN,6153.93,6732.06,7421.43,8127.93,9086.2,10062.94,10964.83,11810.81,12623.62,13502.27,14276.72,15105.94,15946.2,16623.58,17444.34,18354.32,19375.07,20337.43,21525.66,22675.22,23978.15,25220.18,26423.46,27730.41,28921.97,30055.49,31184.57,31998.47
LANCASTER,26718.82,28138.77,33905.22,39701.55,46321.96,52969.46,59299.96,61396.01,63434.23,65609.16,67586.8,69611.74,71664.49,73413.19,75443.61,77664.5,80120.06,82454.67,85245.85,87952.31,90960.43,93852.59,96656.42,99668.21,102451.3,105104.8,107755.43,109669.7
MANCHESTER,22451.27,25743.22,29526.98,33338.89,38310.76,43309.95,47858.55,52033.52,55856.21,59986.31,63322.86,66961.82,70598.17,72737.19,75894.95,79172.91,82789.01,86275.8,90560.57,94822.8,99812.93,104307.06,108726.05,113498.47,117562.24,121462.4,125101.59,127742.4
NORTHUMBERLAND,1.36,1.48,1.59,1.71,1.83,1.96,2.09,2.22,2.34,2.47,2.57,2.69,2.81,2.88,2.99,3.11,3.25,3.38,3.55,3.71,3.91,4.09,4.27,4.47,4.63,4.8,4.95,5.06
OLDHAM,11148.89,12513.17,14377.76,16268.88,18712.64,21185.38,23472.51,25353.85,27135.27,29060.56,30718.23,32499.83,34299.22,35642.81,37347.59,39204.61,41279.88,43249.89,45670.71,48029.8,50720.09,53251.46,55711.93,58379.09,60774.3,63055.88,65297.47,66915.48
PENDLE,4598.22,5106.52,5704.2,6306.95,7118.44,7934.31,8666.88,9331.25,9948.16,10611.84,11164.69,11755.38,12347.55,12734.18,13265.51,13822.35,14435.96,15026.62,15742.41,16450.26,17265.01,18011.63,18742.2,19529.81,20214.84,20869.47,21493.72,21945.62
PRESTON,13228.9,14346.88,16472.42,18613.23,21349.91,24097.91,26601.49,28158.84,29638.83,31216.77,32594.62,34014.34,35443.02,36516.75,37856.57,39280.65,40838.67,42333.77,44116.52,45866.79,47841.85,49690.82,51497.62,53430.05,55164.08,56828.03,58440.46,59609.59
RIBBLE VALLEY,14878.47,15548.18,16314.4,17091.24,18097.76,19117.41,20063.64,20953.73,21788.66,22695.44,23461.86,24300.22,25146.55,25748.46,26538.77,27398.88,28364.46,29281.3,30417.4,31526.8,32802.58,33995.1,35155.93,36416.88,37540.15,38610.85,39655.67,40410.19
RICHMONDSHIRE,0.0,0.69,1.45,2.23,3.19,4.16,5.08,5.95,6.77,7.66,8.4,9.23,10.06,10.64,11.41,12.26,13.22,14.13,15.26,16.37,17.64,18.84,20.0,21.26,22.38,23.45,24.49,25.24
ROCHDALE,14114.65,15561.21,18147.47,20753.54,23966.88,27197.84,30195.53,32126.13,33923.77,35857.1,37472.74,39198.16,40927.86,42075.56,43635.13,45279.08,47089.95,48827.52,50945.04,53035.06,55444.98,57656.14,59821.78,62155.94,64192.66,66144.67,68004.7,69352.59
ROSSENDALE,5101.99,5653.79,6283.07,6915.39,7732.37,8552.36,9298.44,9982.38,10603.28,11274.35,11807.15,12391.4,12973.71,13291.01,13784.03,14289.51,14844.78,15382.52,16045.35,16709.0,17494.24,18191.48,18880.97,19623.59,20246.16,20847.56,21396.27,21796.01
SALFORD,7829.6,9323.83,11306.37,13303.13,15766.64,18246.13,20556.86,22435.52,24145.78,26000.52,27476.83,29112.23,30745.23,31665.47,33067.53,34528.71,36145.97,37700.93,39641.09,41572.14,43858.42,45904.48,47922.94,50105.54,51953.47,53736.12,55381.47,56578.29
SEFTON,0.0,0.04,0.08,0.12,0.18,0.23,0.29,0.34,0.39,0.45,0.5,0.55,0.61,0.65,0.71,0.77,0.84,0.91,0.99,1.07,1.17,1.25,1.34,1.43,1.52,1.6,1.68,1.74
