Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,0.0,1.65,4.43,8.02,12.31,17.34,21.3,24.4,26.72,28.43,29.64,30.76,31.99,33.16,34.42,35.57,36.74,37.95,39.17,40.39,41.64,42.81,43.96,45.08,46.1,47.1,48.03,48.76
BARROWINFURNESS,51.74,52.18,52.91,53.85,54.99,56.32,57.37,58.21,58.85,59.33,59.68,60.02,60.39,60.75,61.14,61.5,61.87,62.26,62.64,63.04,63.43,63.81,64.18,64.53,64.85,65.17,65.46,65.69
BLACKBURN WITH DARWEN,0.0,2.04,5.48,9.9,15.21,21.42,26.32,30.15,33.0,35.07,36.53,37.87,39.32,40.69,42.18,43.52,44.87,46.27,47.67,49.08,50.52,51.87,53.2,54.5,55.68,56.84,57.92,58.75
BLACKPOOL,26.18,26.98,28.32,30.04,32.12,34.55,36.48,38.04,39.23,40.16,40.86,41.54,42.3,43.04,43.84,44.59,45.36,46.17,46.98,47.81,48.65,49.45,50.21,50.95,51.63,52.28,52.88,53.38
BOLTON,0.01,2.0,8.56,16.09,24.48,33.76,41.76,45.56,48.41,50.53,52.07,53.51,55.08,56.59,58.22,59.72,61.25,62.83,64.42,66.02,67.66,69.2,70.7,72.16,73.49,74.79,75.99,76.94
BURNLEY,0.0,0.85,2.29,4.14,6.37,8.97,11.02,12.64,13.86,14.76,15.42,16.03,16.69,17.33,18.02,18.65,19.29,19.95,20.62,21.3,21.98,22.63,23.26,23.88,24.44,24.98,25.49,25.89
BURY,20.7,21.9,27.63,33.95,40.78,48.16,54.76,57.05,58.78,60.07,61.0,61.87,62.82,63.74,64.73,65.63,66.56,67.52,68.48,69.45,70.44,71.38,72.28,73.17,73.98,74.76,75.49,76.07
CARLISLE,0.31,1.81,4.37,7.65,11.57,16.17,19.79,22.61,24.73,26.28,27.38,28.41,29.53,30.61,31.77,32.83,33.91,35.02,36.14,37.27,38.42,39.51,40.57,41.6,42.55,43.47,44.33,45.01
CHESHIRE EAST,20.7,21.92,23.99,26.64,29.83,33.57,36.52,38.84,40.6,41.89,42.83,43.71,44.67,45.59,46.59,47.5,48.43,49.39,50.36,51.33,52.33,53.27,54.18,55.07,55.88,56.67,57.41,57.99
CHORLEY,0.0,1.36,3.74,6.78,10.41,14.64,18.0,20.55,22.45,23.85,24.83,25.74,26.72,27.65,28.66,29.58,30.5,31.46,32.42,33.38,34.37,35.29,36.2,37.09,37.89,38.69,39.42,39.99
COPELAND,10.35,11.23,12.73,14.65,16.95,19.65,21.78,23.45,24.7,25.61,26.26,26.86,27.51,28.12,28.79,29.4,30.01,30.65,31.29,31.93,32.58,33.2,33.8,34.39,34.93,35.45,35.94,36.32
CRAVEN,0.0,0.36,0.97,1.75,2.69,3.79,4.66,5.35,5.86,6.24,6.51,6.76,7.03,7.3,7.58,7.84,8.1,8.37,8.64,8.92,9.2,9.46,9.72,9.97,10.2,10.42,10.63,10.79
DERBYSHIRE DALES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01
EDEN,1.03,6.26,18.37,32.87,49.51,68.41,83.81,92.96,99.49,103.94,106.81,109.35,112.15,114.89,117.87,120.46,123.12,125.87,128.62,131.38,134.16,136.84,139.5,142.11,144.63,147.12,149.53,151.35
FYLDE,0.0,0.85,2.78,5.12,7.83,10.92,13.46,15.06,16.26,17.14,17.77,18.36,19.0,19.61,20.27,20.87,21.48,22.11,22.74,23.38,24.03,24.65,25.24,25.83,26.36,26.88,27.37,27.75
HIGH PEAK,31.04,31.79,33.04,34.65,36.58,38.85,40.63,42.05,43.11,43.9,44.47,45.0,45.58,46.14,46.75,47.3,47.87,48.45,49.04,49.64,50.24,50.81,51.37,51.91,52.4,52.88,53.33,53.68
HYNDBURN,0.0,0.64,1.73,3.13,4.8,6.77,8.32,9.56,10.49,11.19,11.71,12.19,12.73,13.24,13.8,14.32,14.84,15.39,15.94,16.49,17.06,17.59,18.11,18.61,19.07,19.52,19.93,20.26
LANCASTER,0.0,1.21,3.26,5.89,9.04,12.74,15.66,17.98,19.72,21.02,21.97,22.86,23.84,24.78,25.79,26.72,27.68,28.66,29.66,30.66,31.68,32.65,33.58,34.49,35.32,36.13,36.88,37.48
MANCHESTER,2.07,15.02,41.08,73.12,110.5,153.53,187.94,210.91,227.45,238.9,246.44,253.19,260.6,267.81,275.66,282.54,289.6,296.89,304.21,311.55,318.95,326.08,333.09,340.0,346.58,353.05,359.28,364.01
NORTHUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
OLDHAM,20.7,22.35,27.55,33.54,40.26,47.71,54.1,57.24,59.61,61.36,62.63,63.81,65.1,66.33,67.67,68.89,70.13,71.42,72.71,74.02,75.35,76.6,77.82,79.01,80.1,81.15,82.13,82.9
PENDLE,0.0,0.7,1.87,3.37,5.18,7.3,8.98,10.3,11.29,12.03,12.56,13.06,13.61,14.13,14.69,15.21,15.74,16.28,16.83,17.38,17.95,18.48,18.99,19.5,19.96,20.4,20.82,21.15
