Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,315.94,319.99,332.45,346.31,363.31,380.22,394.59,400.63,405.3,409.19,413.1,416.64,419.77,421.59,422.78,422.79,421.38,418.07,413.85,408.32,401.17,386.26,378.75,374.42,373.24,374.96,378.38,380.34
BARROWINFURNESS,347.09,347.93,353.06,358.22,363.97,369.7,374.97,375.98,376.97,377.86,378.7,379.52,380.27,380.73,381.14,381.4,381.48,381.25,380.95,380.43,379.7,377.68,376.92,376.68,376.87,377.46,378.28,378.8
BLACKBURN WITH DARWEN,89.01,90.66,94.47,98.35,102.74,107.12,111.14,113.08,114.85,116.56,117.96,119.49,120.9,121.31,121.94,122.29,122.4,122.05,121.75,121.26,120.89,119.3,118.79,118.99,119.56,120.65,121.96,122.77
BLACKPOOL,29.66,30.74,32.76,34.9,37.62,40.34,42.64,44.12,45.55,46.88,48.12,49.35,50.47,51.02,51.51,51.76,51.75,51.27,50.75,49.98,49.12,47.28,45.9,45.12,45.09,45.78,46.91,47.59
BOLTON,55.78,58.33,63.88,69.59,76.68,83.78,89.84,93.1,96.23,99.19,101.87,104.57,107.07,108.42,109.78,110.68,111.1,110.6,110.04,108.9,107.4,102.69,100.9,100.62,101.47,103.48,106.19,107.89
BURNLEY,52.51,53.6,55.56,57.58,60.18,62.79,64.96,66.33,67.64,68.89,70.03,71.19,72.3,72.95,73.66,74.24,74.69,74.82,74.97,74.89,74.64,72.89,72.63,72.99,73.67,74.71,75.96,76.78
BURY,39.54,41.0,44.02,47.11,50.94,54.76,58.04,59.85,61.57,63.19,64.63,66.09,67.44,68.07,68.71,69.07,69.13,68.68,68.21,67.55,67.0,65.56,65.12,65.38,66.08,67.27,68.73,69.62
CARLISLE,67.75,70.0,74.45,79.09,85.31,91.51,96.47,99.23,101.89,104.09,106.34,108.51,110.46,111.51,112.4,112.76,112.5,111.3,109.83,107.74,105.03,98.34,96.15,95.66,96.25,97.87,100.12,101.47
CHESHIRE EAST,41.54,42.89,45.39,47.96,51.33,54.72,57.47,59.06,60.64,62.02,63.39,64.82,66.17,66.85,67.63,68.23,68.66,68.7,68.76,68.56,68.19,66.43,65.26,64.68,64.8,65.66,66.93,67.75
CHORLEY,12.98,14.3,16.84,19.44,22.6,25.76,28.51,30.09,31.58,33.02,34.27,35.6,36.85,37.45,38.2,38.79,39.24,39.37,39.56,39.57,39.59,38.56,38.38,38.73,39.39,40.45,41.71,42.53
