Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,40.68,42.49,46.71,50.96,56.12,61.31,66.16,68.74,71.21,73.87,76.23,78.69,81.18,83.19,85.61,88.26,91.19,93.98,97.34,100.61,104.29,107.79,111.18,114.85,118.19,121.38,124.54,126.82
BARROWINFURNESS,16.38,16.99,21.18,25.38,30.01,34.65,39.09,39.99,40.86,41.78,42.62,43.45,44.28,44.98,45.79,46.65,47.58,48.48,49.52,50.53,51.64,52.7,53.74,54.84,55.84,56.81,57.77,58.46
BLACKBURN WITH DARWEN,12.82,14.34,16.03,17.74,19.89,22.05,24.05,25.91,27.6,29.43,30.89,32.51,34.14,35.05,36.44,37.89,39.51,41.06,42.99,44.91,47.18,49.22,51.22,53.39,55.23,57.0,58.64,59.83
BLACKPOOL,5.3,6.07,6.98,7.9,9.16,10.44,11.61,12.7,13.73,14.85,15.82,16.86,17.91,18.72,19.72,20.82,22.05,23.22,24.65,26.04,27.62,29.11,30.56,32.13,33.55,34.9,36.23,37.2
BOLTON,28.41,30.54,33.78,37.06,41.58,46.12,50.17,53.25,56.2,59.35,62.13,64.98,67.85,70.1,72.84,75.76,78.96,82.03,85.67,89.23,93.22,96.98,100.64,104.57,108.12,111.51,114.84,117.25
BURNLEY,7.14,8.0,9.04,10.11,11.59,13.09,14.44,15.65,16.8,18.04,19.12,20.26,21.4,22.27,23.35,24.52,25.81,27.05,28.53,29.99,31.63,33.18,34.68,36.3,37.76,39.16,40.53,41.52
BURY,10.0,11.11,12.41,13.74,15.53,17.34,18.97,20.45,21.85,23.36,24.64,26.01,27.38,28.36,29.63,31.0,32.51,33.96,35.71,37.44,39.41,41.25,43.04,44.97,46.69,48.33,49.92,51.07
CARLISLE,21.16,22.56,24.28,26.02,28.43,30.87,33.07,35.04,36.91,38.93,40.69,42.54,44.4,45.83,47.6,49.52,51.64,53.66,56.12,58.51,61.22,63.77,66.26,68.94,71.36,73.67,75.93,77.56
CHESHIRE EAST,11.34,12.33,13.45,14.59,16.03,17.5,18.86,20.15,21.35,22.65,23.72,24.91,26.1,26.89,27.97,29.14,30.45,31.69,33.24,34.77,36.54,38.18,39.78,41.51,43.04,44.5,45.89,46.91
CHORLEY,10.38,11.53,13.07,14.62,16.64,18.67,20.52,22.03,23.44,24.95,26.22,27.58,28.94,29.85,31.08,32.38,33.82,35.2,36.87,38.52,40.42,42.16,43.86,45.7,47.31,48.84,50.32,51.38
COPELAND,4.48,5.33,7.13,8.94,11.21,13.47,15.54,16.67,17.73,18.86,19.83,20.82,21.81,22.49,23.38,24.3,25.3,26.26,27.39,28.51,29.78,30.94,32.09,33.3,34.37,35.39,36.37,37.07
CRAVEN,0.4,0.79,1.28,1.78,2.51,3.24,3.87,4.4,4.9,5.43,5.9,6.37,6.83,7.17,7.6,8.04,8.52,8.98,9.51,10.04,10.62,11.17,11.71,12.27,12.78,13.26,13.72,14.06
DERBYSHIRE DALES,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
EDEN,20.38,22.1,25.92,29.79,34.45,39.15,43.6,46.09,48.51,51.12,53.48,55.97,58.51,60.68,63.22,66.05,69.24,72.24,75.91,79.45,83.42,87.25,90.94,94.95,98.66,102.17,105.72,108.27
FYLDE,37.32,38.12,39.74,41.37,43.41,45.46,47.34,48.44,49.47,50.58,51.53,52.52,53.5,54.21,55.13,56.09,57.13,58.14,59.35,60.54,61.88,63.13,64.36,65.67,66.83,67.95,69.02,69.79
HIGH PEAK,4.07,4.67,5.39,6.12,7.12,8.12,9.01,9.8,10.53,11.31,11.95,12.63,13.31,13.73,14.32,14.93,15.59,16.23,16.99,17.75,18.63,19.43,20.21,21.04,21.76,22.44,23.08,23.55
HYNDBURN,7.03,7.69,8.48,9.29,10.38,11.5,12.53,13.49,14.42,15.43,16.31,17.26,18.22,18.99,19.93,20.97,22.14,23.23,24.59,25.91,27.39,28.81,30.19,31.68,33.04,34.34,35.63,36.56
LANCASTER,30.53,32.15,38.74,45.36,52.92,60.52,67.75,70.14,72.47,74.96,77.22,79.53,81.87,83.87,86.19,88.73,91.53,94.2,97.39,100.48,103.92,107.22,110.43,113.87,117.05,120.08,123.11,125.29
MANCHESTER,25.65,29.41,33.73,38.09,43.77,49.48,54.68,59.45,63.81,68.53,72.34,76.5,80.66,83.1,86.71,90.45,94.58,98.57,103.46,108.33,114.03,119.17,124.22,129.67,134.31,138.77,142.92,145.94
NORTHUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
OLDHAM,12.74,14.3,16.43,18.59,21.38,24.2,26.82,28.97,31.0,33.2,35.09,37.13,39.19,40.72,42.67,44.79,47.16,49.41,52.18,54.87,57.95,60.84,63.65,66.7,69.43,72.04,74.6,76.45
PENDLE,5.25,5.83,6.52,7.21,8.13,9.06,9.9,10.66,11.37,12.12,12.76,13.43,14.11,14.55,15.16,15.79,16.49,17.17,17.99,18.79,19.72,20.58,21.41,22.31,23.09,23.84,24.56,25.07
PRESTON,15.11,16.39,18.82,21.26,24.39,27.53,30.39,32.17,33.86,35.66,37.24,38.86,40.49,41.72,43.25,44.88,46.66,48.36,50.4,52.4,54.66,56.77,58.83,61.04,63.02,64.92,66.77,68.1
RIBBLE VALLEY,17.0,17.76,18.64,19.53,20.68,21.84,22.92,23.94,24.89,25.93,26.8,27.76,28.73,29.42,30.32,31.3,32.41,33.45,34.75,36.02,37.48,38.84,40.16,41.61,42.89,44.11,45.31,46.17
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03
ROCHDALE,16.13,17.78,20.73,23.71,27.38,31.07,34.5,36.7,38.76,40.97,42.81,44.78,46.76,48.07,49.85,51.73,53.8,55.78,58.2,60.59,63.34,65.87,68.34,71.01,73.34,75.57,77.69,79.23
ROSSENDALE,5.83,6.46,7.18,7.9,8.83,9.77,10.62,11.4,12.11,12.88,13.49,14.16,14.82,15.18,15.75,16.33,16.96,17.57,18.33,19.09,19.99,20.78,21.57,22.42,23.13,23.82,24.44,24.9
SALFORD,8.95,10.65,12.92,15.2,18.01,20.85,23.49,25.63,27.59,29.7,31.39,33.26,35.13,36.18,37.78,39.45,41.3,43.07,45.29,47.49,50.11,52.44,54.75,57.24,59.36,61.39,63.27,64.64
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,18.35,19.94,23.65,27.36,31.89,36.42,40.61,42.75,44.76,46.91,48.73,50.62,52.52,53.81,55.52,57.3,59.24,61.11,63.33,65.53,68.03,70.33,72.59,75.0,77.11,79.13,81.06,82.46
SOUTH RIBBLE,10.37,11.53,13.45,15.37,17.72,20.08,22.29,23.82,25.24,26.78,28.06,29.45,30.86,31.8,33.08,34.45,35.98,37.44,39.24,41.0,43.05,44.94,46.78,48.78,50.54,52.22,53.83,55.0
ST HELENS,5.55,5.96,6.73,7.51,8.49,9.47,10.36,10.91,11.42,11.97,12.43,12.92,13.4,13.74,14.18,14.64,15.15,15.64,16.22,16.79,17.44,18.05,18.64,19.27,19.83,20.36,20.87,21.24
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,24.52,27.23,30.42,33.65,37.97,42.33,46.29,49.95,53.37,57.05,60.16,63.5,66.85,69.17,72.25,75.54,79.19,82.68,86.96,91.16,95.99,100.47,104.84,109.57,113.73,117.71,121.55,124.33
TAMESIDE,14.72,16.92,19.66,22.39,25.71,29.03,32.1,34.66,36.93,39.39,41.23,43.31,45.37,46.21,47.82,49.41,51.15,52.85,54.98,57.15,59.81,62.07,64.34,66.77,68.71,70.6,72.21,73.4
TRAFFORD,12.66,13.78,15.2,16.66,18.78,20.94,22.83,24.52,26.15,27.9,29.47,31.07,32.69,34.04,35.62,37.34,39.23,41.03,43.18,45.28,47.6,49.83,51.98,54.3,56.41,58.43,60.44,61.89
WARRINGTON,1.91,2.19,2.51,2.83,3.23,3.63,4.01,4.36,4.69,5.04,5.33,5.65,5.98,6.18,6.46,6.77,7.11,7.44,7.85,8.26,8.73,9.16,9.59,10.05,10.45,10.83,11.19,11.46
WEST LANCASHIRE,12.1,13.7,15.7,17.73,20.52,23.35,25.9,28.17,30.35,32.7,34.79,37.0,39.23,41.06,43.25,45.66,48.35,50.9,53.99,56.99,60.36,63.59,66.72,70.09,73.19,76.14,79.08,81.2
WIGAN,25.64,28.26,33.61,38.98,45.43,51.91,57.93,61.33,64.46,67.82,70.56,73.5,76.43,78.2,80.75,83.38,86.24,89.02,92.38,95.73,99.63,103.14,106.6,110.32,113.49,116.54,119.37,121.44
WYRE,23.66,24.89,27.35,29.83,32.94,36.05,38.92,40.62,42.23,43.95,45.46,47.01,48.58,49.76,51.23,52.8,54.52,56.17,58.14,60.07,62.26,64.3,66.3,68.44,70.37,72.21,73.99,75.29
