Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,126.0,211.0,252.0,300.0,375.0,452.0,514.0,575.0,635.0,695.0,753.0,891.0,1237.0,1578.0,1935.0,2280.0,2617.0,2924.0,3207.0,3482.0,3770.0,4024.0,4285.0,4572.0,4863.0,5158.0,5378.0,5367.0
BARROWINFURNESS,59.0,98.0,117.0,140.0,174.0,210.0,239.0,267.0,294.0,322.0,349.0,412.0,572.0,729.0,894.0,1052.0,1207.0,1348.0,1478.0,1604.0,1736.0,1852.0,1971.0,2101.0,2233.0,2367.0,2465.0,2458.0
BLACKBURN WITH DARWEN,108.0,179.0,213.0,253.0,314.0,377.0,426.0,475.0,523.0,569.0,615.0,725.0,1003.0,1275.0,1558.0,1830.0,2094.0,2334.0,2552.0,2764.0,2984.0,3177.0,3374.0,3590.0,3808.0,4028.0,4188.0,4168.0
BLACKPOOL,166.0,276.0,328.0,389.0,485.0,583.0,661.0,739.0,815.0,890.0,964.0,1140.0,1581.0,2017.0,2473.0,2914.0,3345.0,3739.0,4101.0,4454.0,4824.0,5153.0,5490.0,5861.0,6237.0,6620.0,6907.0,6898.0
BOLTON,189.0,313.0,371.0,438.0,543.0,649.0,732.0,813.0,890.0,966.0,1040.0,1220.0,1681.0,2129.0,2590.0,3031.0,3453.0,3832.0,4173.0,4499.0,4837.0,5126.0,5420.0,5740.0,6062.0,6383.0,6605.0,6543.0
BURNLEY,75.0,126.0,150.0,179.0,224.0,271.0,308.0,345.0,382.0,418.0,455.0,538.0,749.0,957.0,1175.0,1387.0,1595.0,1786.0,1962.0,2135.0,2315.0,2477.0,2643.0,2825.0,3011.0,3200.0,3342.0,3342.0
BURY,119.0,199.0,237.0,281.0,351.0,422.0,479.0,535.0,590.0,644.0,698.0,824.0,1142.0,1456.0,1782.0,2098.0,2406.0,2686.0,2943.0,3192.0,3453.0,3682.0,3918.0,4175.0,4437.0,4701.0,4896.0,4881.0
CARLISLE,121.0,202.0,241.0,288.0,359.0,433.0,492.0,551.0,607.0,664.0,720.0,851.0,1180.0,1505.0,1844.0,2172.0,2491.0,2782.0,3049.0,3309.0,3581.0,3821.0,4067.0,4337.0,4611.0,4888.0,5093.0,5080.0
CHESHIRE EAST,122.0,205.0,246.0,295.0,370.0,448.0,512.0,576.0,639.0,702.0,765.0,908.0,1266.0,1621.0,1995.0,2360.0,2718.0,3049.0,3356.0,3658.0,3975.0,4259.0,4551.0,4873.0,5201.0,5536.0,5792.0,5800.0
CHORLEY,79.0,133.0,159.0,189.0,237.0,286.0,325.0,365.0,403.0,441.0,479.0,567.0,788.0,1006.0,1235.0,1456.0,1673.0,1872.0,2055.0,2234.0,2421.0,2588.0,2759.0,2948.0,3139.0,3335.0,3481.0,3479.0
