Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.82,1.19,1.4,1.53,1.61,1.67,1.72,1.76,1.81,1.88,1.93,1.99,2.05,2.09,2.11,2.13,2.14,2.14,2.15,2.15,2.16,2.16,2.17,2.17,2.18,2.19,2.2,2.21
100101,132.27,238.22,335.93,427.86,515.64,602.01,687.5,772.47,868.2,972.56,1076.85,1190.56,1302.61,1410.2,1512.79,1610.08,1702.38,1789.62,1877.52,1966.17,2055.19,2145.03,2235.05,2327.0,2420.81,2516.41,2613.72,2712.67
100102,14.43,37.49,63.6,90.7,117.93,145.39,172.92,200.37,231.12,264.62,298.44,335.23,371.73,407.23,441.7,475.01,506.98,537.51,568.37,599.64,631.17,662.75,694.59,727.1,760.28,794.11,828.57,863.65
100103,50.13,126.51,212.64,302.06,392.33,483.77,575.99,668.8,772.0,884.26,997.58,1120.67,1243.13,1362.05,1476.66,1586.42,1691.46,1791.55,1892.34,1993.94,2095.96,2198.85,2301.98,2407.14,2514.3,2623.38,2734.33,2847.08
100104,8.21,18.26,29.03,39.96,50.88,61.87,72.91,84.0,96.36,109.82,123.38,138.11,152.75,166.93,180.56,193.6,206.05,217.89,229.82,241.85,253.92,266.1,278.31,290.76,303.45,316.37,329.51,342.86
100105,0.95,1.37,1.61,1.75,1.85,1.91,1.96,1.99,2.05,2.12,2.17,2.24,2.3,2.34,2.37,2.39,2.4,2.41,2.41,2.42,2.43,2.43,2.44,2.45,2.46,2.47,2.48,2.49
100106,33.68,48.72,57.43,62.83,66.37,68.98,70.99,72.59,74.85,77.46,79.71,82.31,84.48,86.12,87.3,88.07,88.5,88.64,88.8,88.98,89.16,89.37,89.56,89.82,90.12,90.48,90.86,91.28
100107,27.99,76.72,132.01,188.99,245.7,302.11,357.83,412.57,475.88,544.58,613.82,688.91,763.36,835.54,905.22,972.21,1036.28,1097.23,1158.61,1220.53,1282.74,1345.28,1408.03,1472.02,1537.23,1603.61,1671.14,1739.78
100108,27.03,73.18,125.46,179.3,232.86,286.16,338.87,390.64,450.7,514.19,578.12,647.58,716.33,783.01,847.41,909.39,968.69,1025.15,1082.1,1139.66,1197.61,1255.62,1313.97,1373.51,1434.19,1496.0,1558.89,1622.82
100109,16.63,39.53,64.77,90.73,116.81,143.14,169.65,196.29,225.95,258.23,290.79,326.15,361.31,395.4,428.22,459.61,489.63,518.2,546.98,575.99,605.11,634.48,663.91,693.92,724.5,755.63,787.29,819.46
100110,41.62,101.96,167.9,234.71,300.52,365.53,429.38,491.76,564.61,643.7,723.31,809.67,895.15,977.88,1057.68,1134.34,1207.59,1277.19,1347.28,1418.02,1489.1,1560.52,1632.21,1705.33,1779.84,1855.73,1932.93,2011.41
100111,9.0,12.95,15.16,16.48,17.3,17.86,18.26,18.55,19.08,19.7,20.23,20.86,21.37,21.76,22.03,22.21,22.3,22.32,22.34,22.37,22.41,22.45,22.48,22.54,22.61,22.69,22.77,22.87
100112,5.03,7.3,8.63,9.47,10.03,10.46,10.8,11.07,11.46,11.85,12.19,12.59,12.92,13.16,13.34,13.45,13.52,13.54,13.56,13.58,13.61,13.64,13.66,13.7,13.74,13.8,13.85,13.91
100113,26.16,66.77,112.66,160.34,208.47,257.2,306.3,355.68,410.65,470.43,530.76,596.27,661.44,724.7,785.64,843.99,899.8,952.97,1006.5,1060.45,1114.61,1169.23,1223.96,1279.76,1336.6,1394.46,1453.31,1513.1
100114,78.48,298.61,569.71,861.37,1161.17,1467.7,1778.71,2093.02,2440.91,2616.04,2784.22,2970.45,3146.74,3307.9,3454.33,3586.68,3706.8,3815.41,3925.21,4036.31,4147.89,4260.85,4373.9,4490.41,4610.15,4732.87,4858.36,4986.41
100116,0.88,1.27,1.48,1.61,1.68,1.74,1.77,1.8,1.85,1.91,1.96,2.02,2.07,2.11,2.14,2.15,2.16,2.17,2.17,2.17,2.18,2.18,2.18,2.19,2.2,2.21,2.21,2.22
100117,5.12,7.39,8.68,9.46,9.96,10.31,10.57,10.77,11.08,11.44,11.76,12.13,12.44,12.67,12.84,12.96,13.03,13.06,13.09,13.13,13.17,13.21,13.24,13.29,13.35,13.41,13.48,13.55
100118,4.22,6.05,7.06,7.65,8.01,8.24,8.4,8.5,8.74,9.02,9.25,9.53,9.76,9.94,10.06,10.14,10.18,10.19,10.2,10.22,10.24,10.26,10.28,10.3,10.33,10.37,10.41,10.46
100119,30.99,81.23,138.56,198.42,259.02,320.52,382.63,445.2,514.69,590.28,666.63,749.55,832.09,912.29,989.62,1063.7,1134.63,1202.24,1270.34,1338.99,1407.92,1477.44,1547.11,1618.16,1690.55,1764.24,1839.18,1915.33
100120,2.95,4.27,5.03,5.5,5.81,6.04,6.21,6.35,6.54,6.77,6.96,7.19,7.38,7.52,7.62,7.69,7.72,7.73,7.75,7.76,7.78,7.79,7.81,7.83,7.86,7.89,7.92,7.96
100122,74.83,151.16,228.66,305.33,380.67,455.96,531.19,606.36,690.5,782.29,874.56,975.02,1074.5,1170.69,1263.21,1351.69,1436.15,1516.42,1597.38,1679.14,1761.35,1844.13,1927.24,2012.09,2098.64,2186.83,2276.61,2367.92
100123,45.08,101.92,163.31,225.88,288.42,351.47,414.88,478.56,549.51,626.75,704.59,789.2,873.25,954.72,1033.11,1108.07,1179.71,1247.9,1316.57,1385.81,1455.33,1525.46,1595.74,1667.44,1740.5,1814.9,1890.58,1967.49
100124,4.35,6.27,7.37,8.03,8.45,8.75,8.97,9.13,9.39,9.71,9.97,10.29,10.55,10.74,10.89,10.99,11.05,11.07,11.1,11.13,11.16,11.19,11.23,11.27,11.31,11.37,11.42,11.49
100125,84.69,204.02,336.15,472.13,608.61,746.32,884.75,1023.61,1178.84,1347.74,1518.13,1703.23,1887.25,2065.81,2237.86,2402.62,2560.23,2710.35,2861.54,3013.97,3167.07,3321.44,3476.2,3634.04,3794.89,3958.66,4125.25,4294.56
100126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100127,0.79,1.14,1.34,1.46,1.53,1.59,1.63,1.66,1.71,1.76,1.81,1.87,1.92,1.95,1.98,2.0,2.01,2.01,2.02,2.02,2.03,2.04,2.04,2.05,2.06,2.07,2.08,2.09
100128,44.34,108.67,180.53,254.86,329.76,405.59,482.06,559.04,644.6,726.91,809.46,899.36,988.25,1073.95,1155.99,1234.06,1308.38,1378.84,1449.82,1521.4,1593.29,1665.83,1738.53,1812.75,1888.44,1965.55,2044.03,2123.82
100129,7.84,11.22,13.05,14.1,14.72,15.1,15.34,15.48,15.88,16.37,16.78,17.26,17.66,17.95,18.16,18.29,18.35,18.35,18.36,18.38,18.39,18.42,18.44,18.47,18.52,18.58,18.65,18.72
100130,51.41,125.58,208.13,293.39,379.18,465.91,553.24,641.0,738.74,845.07,952.34,1068.86,1184.71,1297.12,1405.39,1509.04,1608.17,1702.59,1797.69,1893.55,1989.8,2086.85,2184.13,2283.33,2384.4,2487.29,2591.94,2698.28
100131,35.63,92.71,157.67,225.44,294.0,363.54,433.75,504.46,583.01,668.43,754.69,848.36,941.59,1032.15,1119.43,1203.04,1283.05,1359.32,1436.13,1513.55,1591.28,1669.67,1748.24,1828.35,1909.96,1993.03,2077.52,2163.37
100132,7.05,10.19,11.99,13.11,13.83,14.36,14.77,15.09,15.55,16.08,16.54,17.08,17.52,17.86,18.1,18.25,18.34,18.36,18.39,18.42,18.46,18.49,18.53,18.58,18.64,18.71,18.79,18.87
100134,83.05,210.83,354.54,503.2,652.37,802.7,953.33,1103.47,1271.74,1455.08,1640.13,1841.48,2041.17,2235.37,2423.93,2606.1,2780.95,2947.91,3116.63,3287.59,3460.01,3632.72,3806.83,3984.67,4166.16,4351.21,4539.73,4731.61
100135,158.66,295.63,426.34,551.73,672.89,792.93,912.34,1031.45,1165.04,1310.87,1456.97,1616.14,1773.37,1924.75,2069.48,2207.06,2337.87,2461.78,2586.63,2712.55,2838.99,2966.59,3094.47,3225.04,3358.21,3493.9,3631.99,3772.39
100136,68.07,165.28,273.03,383.83,494.7,606.32,718.11,829.55,954.42,1090.55,1227.9,1377.42,1525.65,1669.76,1809.65,1944.77,2074.44,2198.24,2323.37,2450.18,2578.1,2706.23,2835.43,2967.41,3102.12,3239.48,3379.43,3521.89
100138,57.21,107.27,155.24,201.33,245.9,290.03,333.91,377.63,426.77,480.39,534.1,592.61,650.4,706.05,759.25,809.83,857.91,903.46,949.34,995.6,1042.05,1088.92,1135.89,1183.84,1232.74,1282.56,1333.26,1384.81
100139,12.03,17.28,20.21,21.94,23.0,23.72,24.22,24.56,25.25,26.07,26.77,27.59,28.27,28.77,29.13,29.36,29.49,29.52,29.55,29.6,29.65,29.71,29.76,29.84,29.93,30.04,30.16,30.29
100140,50.09,72.46,85.42,93.46,98.73,102.61,105.61,108.0,111.35,115.25,118.59,122.46,125.69,128.14,129.9,131.04,131.68,131.89,132.13,132.4,132.68,132.98,133.27,133.65,134.11,134.63,135.21,135.83
100502_T11_T12,27.93,40.35,47.46,51.84,54.68,56.74,58.31,59.53,61.33,63.44,65.23,67.32,69.06,70.36,71.29,71.88,72.2,72.28,72.38,72.5,72.62,72.76,72.9,73.08,73.3,73.57,73.86,74.18
100502_T13,4.12,8.65,13.35,18.06,22.71,27.36,32.02,36.69,41.91,43.34,44.57,46.0,47.18,48.08,48.71,49.12,49.33,49.39,49.46,49.54,49.63,49.72,49.81,49.94,50.09,50.27,50.47,50.69
100508,61.49,110.64,155.89,198.4,238.96,278.83,318.26,357.4,401.58,415.43,427.28,441.04,452.51,461.16,467.31,471.26,473.42,474.04,474.76,475.6,476.46,477.42,478.35,479.6,481.14,482.91,484.88,487.01
100509,7.97,11.51,13.56,14.82,15.65,16.25,16.72,17.08,17.61,18.22,18.74,19.35,19.85,20.24,20.51,20.69,20.78,20.81,20.85,20.89,20.93,20.97,21.01,21.07,21.14,21.22,21.31,21.4
100601_T11_T12,49.57,105.09,163.11,221.36,279.11,337.07,395.19,453.45,518.5,589.35,660.65,738.18,815.1,889.52,961.01,1029.26,1094.4,1156.33,1218.69,1281.56,1344.69,1408.37,1472.18,1537.28,1603.64,1671.2,1739.94,1809.8
100601_T14,14.68,23.83,31.13,37.39,43.02,48.36,53.53,58.58,64.37,66.6,68.5,70.72,72.56,73.95,74.94,75.58,75.93,76.03,76.15,76.29,76.43,76.59,76.74,76.95,77.19,77.48,77.8,78.14
100602,42.7,108.03,181.78,258.4,335.77,414.19,493.3,572.96,661.48,749.39,837.74,933.87,1029.1,1121.12,1209.39,1293.56,1373.81,1450.0,1526.76,1604.14,1681.84,1760.23,1838.8,1918.97,2000.7,2083.95,2168.65,2254.74
100603,2.03,2.93,3.44,3.75,3.95,4.09,4.2,4.28,4.4,4.55,4.67,4.82,4.94,5.04,5.11,5.15,5.18,5.19,5.21,5.22,5.24,5.25,5.27,5.29,5.31,5.34,5.37,5.4
100605,26.74,65.62,109.05,153.97,199.21,244.99,291.14,337.54,389.12,445.25,501.94,563.54,624.8,684.31,741.72,796.78,849.49,899.74,950.38,1001.46,1052.79,1104.54,1156.44,1209.39,1263.36,1318.32,1374.24,1431.08
100607,221.34,320.3,377.8,413.61,437.16,454.59,468.11,478.97,493.98,511.37,526.3,543.59,558.05,569.04,576.94,582.1,585.05,586.07,587.22,588.5,589.79,591.21,592.58,594.34,596.44,598.83,601.46,604.28
100608,30.95,82.6,141.62,203.09,265.02,327.56,390.33,452.98,523.07,599.43,676.56,760.47,843.74,924.79,1003.53,1079.66,1152.76,1222.61,1293.2,1364.74,1436.88,1509.15,1582.02,1656.44,1732.39,1809.82,1888.71,1969.0
100609,29.86,73.22,121.61,171.67,222.09,273.13,324.58,376.33,434.09,497.01,560.65,629.89,698.83,765.88,830.68,892.98,952.72,1009.73,1067.21,1125.2,1183.49,1242.55,1301.76,1362.22,1423.91,1486.81,1550.86,1616.05
100610_T11_T12,39.83,57.52,67.65,73.84,77.78,80.61,82.71,84.28,86.74,89.65,92.15,95.09,97.51,99.36,100.73,101.69,102.27,102.52,102.8,103.12,103.46,103.78,104.1,104.51,104.97,105.48,106.04,106.64
100610_T13,59.58,108.74,154.55,197.79,239.01,279.48,319.35,358.64,403.28,452.16,501.09,554.55,607.11,657.75,706.53,753.32,797.92,840.22,883.0,926.41,970.2,1014.05,1058.28,1103.52,1149.74,1196.92,1245.03,1294.02
100611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100612,82.53,119.2,140.25,153.23,161.68,167.83,172.52,176.22,181.6,187.84,193.17,199.37,204.53,208.41,211.17,212.93,213.89,214.15,214.45,214.82,215.18,215.6,216.01,216.56,217.23,218.02,218.89,219.84
100613,5.45,11.66,18.18,24.73,31.22,37.73,44.24,50.75,58.01,59.97,61.66,63.64,65.29,66.55,67.48,68.13,68.52,68.69,68.88,69.09,69.3,69.53,69.75,70.02,70.33,70.68,71.06,71.46
100614,5.46,7.89,9.29,10.16,10.72,11.14,11.46,11.71,12.07,12.49,12.84,13.26,13.61,13.87,14.05,14.18,14.24,14.26,14.29,14.31,14.34,14.37,14.4,14.44,14.48,14.54,14.6,14.66
100615,8.78,12.72,15.01,16.43,17.37,18.06,18.6,19.03,19.66,20.38,21.01,21.74,22.36,22.84,23.21,23.47,23.64,23.73,23.83,23.92,24.02,24.13,24.24,24.36,24.49,24.64,24.8,24.97
100617,33.06,80.83,133.99,188.87,244.06,299.83,355.94,412.3,475.14,543.41,612.27,687.05,761.4,833.52,902.96,969.41,1032.95,1093.44,1154.36,1215.74,1277.36,1339.52,1401.81,1465.32,1530.04,1595.91,1662.92,1731.0
100618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
