Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,4.14,4.35,4.44,4.45,4.45,4.45,4.44,4.42,4.45,4.47,4.49,4.51,4.56,4.6,4.63,4.67,4.7,4.72,4.74,4.76,4.78,4.79,4.8,4.82,4.83,4.84,4.84,4.82
100101,16.69,18.46,19.68,20.57,21.44,22.32,22.91,23.12,23.42,23.72,23.99,24.32,24.86,25.38,25.94,26.47,26.92,27.31,27.66,27.95,28.21,28.46,28.69,28.93,29.15,29.34,29.49,29.41
100102,11.73,12.25,12.54,12.78,13.09,13.4,13.69,13.96,14.26,14.53,14.86,15.35,16.33,17.25,18.13,18.94,19.67,20.32,20.91,21.42,21.86,22.29,22.71,23.11,23.48,23.82,24.1,23.97
100103,16.34,16.55,16.78,17.05,17.54,18.07,18.69,19.28,20.1,20.91,21.65,22.48,23.85,25.14,26.36,27.47,28.43,29.29,30.04,30.64,31.15,31.62,32.09,32.56,33.0,33.39,33.71,33.55
100104,4.15,4.42,4.79,5.13,5.52,5.91,6.54,7.12,7.7,8.28,8.59,8.72,9.04,9.34,9.63,9.9,10.14,10.35,10.54,10.68,10.79,10.9,11.03,11.16,11.3,11.41,11.51,11.44
100105,14.38,15.09,15.35,15.48,15.67,15.86,16.02,16.16,16.36,16.54,16.7,17.08,18.15,19.19,20.23,21.22,22.13,22.98,23.78,24.51,25.18,25.85,26.53,27.19,27.83,28.44,28.97,28.76
100106,14.27,16.79,17.58,17.83,18.08,18.33,18.56,18.8,19.16,19.51,19.84,21.06,22.51,23.87,25.11,26.21,27.18,28.0,28.71,29.29,29.77,30.18,30.53,30.83,31.07,31.28,31.45,31.46
100107,14.47,14.82,15.03,15.23,15.54,15.87,16.2,16.51,16.92,17.34,17.75,18.38,19.66,20.9,22.09,23.19,24.19,25.07,25.9,26.62,27.27,27.89,28.5,29.09,29.64,30.14,30.59,30.43
100108,13.89,14.47,14.75,14.95,15.21,15.48,15.74,16.01,16.53,16.91,17.25,17.74,18.75,19.71,20.63,21.49,22.26,22.95,23.59,24.17,24.69,25.18,25.64,26.09,26.5,26.88,27.2,27.06
100109,7.07,7.48,7.73,7.96,8.22,8.49,8.74,8.98,9.22,9.44,9.65,9.95,10.62,11.25,11.83,12.36,12.82,13.24,13.61,13.91,14.18,14.42,14.66,14.89,15.09,15.26,15.4,15.24
100110,11.96,12.32,12.52,12.72,13.05,13.39,13.7,13.96,14.23,14.47,14.7,15.13,16.17,17.16,18.12,19.0,19.81,20.54,21.2,21.75,22.23,22.69,23.16,23.63,24.08,24.48,24.82,24.6
100111,12.56,15.14,15.72,16.14,16.77,17.1,17.43,17.76,18.16,18.38,18.61,19.03,20.11,21.16,22.19,23.17,24.07,24.91,25.7,26.4,27.06,27.7,28.34,29.0,29.66,30.32,30.88,30.66
100112,14.81,15.1,15.25,15.39,15.63,15.89,16.12,16.32,16.55,16.74,16.9,17.27,18.32,19.34,20.34,21.28,22.13,22.93,23.68,24.33,24.93,25.56,26.22,26.9,27.57,28.2,28.76,28.52
100113,12.21,13.29,13.81,14.19,14.67,15.17,15.63,16.05,16.46,16.84,17.19,17.65,18.57,19.44,20.25,20.99,21.62,22.18,22.67,23.06,23.38,23.69,24.03,24.37,24.7,24.99,25.23,25.1
100114,15.44,17.05,17.77,18.26,18.85,19.45,20.04,20.61,21.18,21.5,21.8,22.25,23.13,23.94,24.7,25.37,25.93,26.41,26.84,27.19,27.49,27.76,28.03,28.28,28.5,28.68,28.81,28.62
100116,8.44,8.46,8.48,8.5,8.57,8.65,8.73,8.78,8.86,8.92,8.98,9.14,9.65,10.13,10.61,11.08,11.51,11.92,12.31,12.64,12.93,13.23,13.55,13.89,14.23,14.55,14.84,14.75
100117,16.18,17.01,17.28,17.39,17.58,17.77,17.94,18.08,18.3,18.48,18.65,19.07,20.3,21.51,22.7,23.85,24.92,25.93,26.89,27.77,28.59,29.4,30.22,31.05,31.86,32.65,33.36,33.16
100118,13.57,14.97,15.44,15.66,15.95,16.34,16.73,17.15,17.66,18.14,18.61,19.23,20.4,21.55,22.66,23.7,24.65,25.52,26.33,27.06,27.72,28.37,29.02,29.65,30.26,30.84,31.37,31.29
100119,14.47,15.8,16.27,16.55,16.97,17.41,17.83,18.27,18.75,19.22,19.67,20.37,21.81,23.16,24.45,25.63,26.67,27.59,28.42,29.11,29.7,30.27,30.82,31.34,31.81,32.22,32.54,32.23
100120,14.01,14.75,15.07,15.44,15.75,16.03,16.38,16.35,16.45,16.55,16.63,16.71,16.8,16.89,16.97,17.02,17.07,17.11,17.14,17.16,17.17,17.17,17.17,17.16,17.14,17.12,17.09,17.02
100122,17.55,21.22,22.41,22.9,23.46,24.06,24.49,26.6,26.99,27.41,27.83,28.43,31.11,32.24,33.38,34.44,35.35,36.13,36.9,37.58,38.19,38.79,39.37,39.91,40.4,40.85,41.24,41.13
