Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.76,0.76,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.79,0.79,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.79,0.79
100101,5.38,5.47,5.6,5.73,5.86,6.0,6.15,6.32,6.5,6.68,6.86,7.05,7.3,7.54,7.75,7.95,8.12,8.26,8.38,8.43,8.46,8.48,8.5,8.51,8.52,8.52,8.52,8.51
100102,2.57,2.69,2.85,3.07,3.32,3.6,3.77,3.97,4.13,4.28,4.43,4.59,4.87,5.13,5.37,5.59,5.79,5.97,6.13,6.26,6.37,6.47,6.57,6.67,6.75,6.83,6.89,6.87
100103,4.42,4.54,4.66,4.82,5.05,5.33,5.68,6.1,6.53,6.97,7.42,7.9,8.48,9.02,9.47,9.79,10.07,10.31,10.5,10.66,10.79,10.89,10.98,11.06,11.12,11.18,11.21,11.21
100104,0.9,0.94,1.0,1.07,1.13,1.18,1.22,1.28,1.32,1.37,1.41,1.44,1.49,1.54,1.58,1.61,1.65,1.68,1.7,1.72,1.74,1.76,1.77,1.78,1.8,1.81,1.81,1.81
100105,3.61,3.68,3.81,3.95,4.07,4.2,4.35,4.53,4.67,4.79,4.91,5.03,5.2,5.37,5.52,5.67,5.8,5.91,6.02,6.12,6.2,6.27,6.33,6.39,6.44,6.48,6.52,6.52
100106,0.98,1.19,1.37,1.58,1.86,2.2,2.61,3.11,3.52,3.82,4.1,4.51,4.85,5.1,5.33,5.54,5.72,5.89,6.03,6.15,6.26,6.36,6.46,6.55,6.64,6.72,6.78,6.79
100107,3.22,3.41,3.68,3.96,4.08,4.23,4.4,4.61,4.79,4.96,5.13,5.3,5.52,5.74,5.94,6.12,6.28,6.42,6.55,6.67,6.77,6.86,6.94,7.02,7.08,7.15,7.2,7.22
100108,3.04,3.15,3.3,3.48,3.7,3.95,4.23,4.58,4.84,5.09,5.33,5.53,5.75,5.95,6.13,6.28,6.42,6.54,6.65,6.74,6.83,6.91,6.98,7.04,7.09,7.14,7.18,7.18
100109,1.56,1.6,1.67,1.75,1.82,1.9,1.98,2.08,2.15,2.21,2.28,2.34,2.44,2.53,2.62,2.7,2.76,2.82,2.88,2.92,2.96,3.0,3.03,3.06,3.09,3.11,3.12,3.12
100110,2.47,2.57,2.69,2.86,3.06,3.28,3.43,3.59,3.71,3.83,3.93,4.04,4.2,4.35,4.48,4.61,4.72,4.81,4.9,4.98,5.05,5.11,5.16,5.21,5.26,5.3,5.34,5.34
100111,3.01,3.09,3.2,3.35,3.83,4.04,4.29,4.61,4.81,5.0,5.19,5.39,5.65,5.89,6.11,6.32,6.5,6.66,6.8,6.92,7.02,7.11,7.2,7.27,7.33,7.43,7.48,7.49
100112,2.7,2.78,2.9,3.05,3.24,3.46,3.71,4.02,4.23,4.43,4.59,4.74,4.96,5.17,5.36,5.54,5.69,5.84,5.97,6.08,6.18,6.27,6.35,6.43,6.49,6.55,6.6,6.62
100113,2.57,2.66,2.78,2.93,3.1,3.3,3.52,3.79,3.98,4.17,4.34,4.51,4.73,4.94,5.13,5.3,5.45,5.59,5.71,5.81,5.9,5.99,6.07,6.13,6.2,6.25,6.3,6.33
100114,3.86,3.98,4.13,4.31,4.51,4.74,4.99,5.21,5.38,5.49,5.6,5.72,5.87,6.0,6.13,6.23,6.33,6.41,6.48,6.54,6.59,6.64,6.68,6.71,6.74,6.77,6.79,6.78
100116,2.13,2.15,2.17,2.21,2.29,2.39,2.49,2.57,2.64,2.7,2.76,2.88,3.19,3.5,3.8,4.09,4.3,4.35,4.39,4.42,4.45,4.48,4.5,4.52,4.54,4.56,4.57,4.56
100117,3.63,3.71,3.83,3.99,4.19,4.41,4.67,4.98,5.22,5.44,5.65,5.85,6.13,6.41,6.65,6.88,7.09,7.28,7.45,7.6,7.74,7.86,7.97,8.06,8.13,8.19,8.25,8.25
100118,2.54,2.67,2.81,2.98,3.18,3.42,3.71,3.93,4.12,4.31,4.5,4.7,4.95,5.19,5.42,5.63,5.81,5.97,6.12,6.25,6.37,6.47,6.57,6.66,6.74,6.81,6.88,6.89
100119,3.1,3.24,3.4,3.53,3.72,3.94,4.18,4.47,4.72,4.98,5.23,5.48,5.78,6.06,6.31,6.54,6.73,6.9,7.05,7.18,7.28,7.37,7.45,7.52,7.58,7.64,7.68,7.69
100120,4.79,4.79,4.86,4.89,4.9,4.9,4.9,4.89,4.94,4.98,5.01,5.05,5.08,5.12,5.14,5.16,5.18,5.19,5.2,5.21,5.21,5.21,5.2,5.2,5.19,5.18,5.16,5.14
100122,6.86,6.94,7.06,7.16,7.25,7.35,7.46,9.28,9.37,9.47,9.58,9.71,11.4,11.54,11.7,11.84,11.94,12.02,12.14,12.23,12.32,12.4,12.47,12.5,12.52,12.54,12.54,12.52
100123,1.96,2.21,2.42,2.69,2.98,3.25,3.46,3.67,3.89,4.11,4.33,4.52,4.7,4.87,5.03,5.17,5.3,5.4,5.49,5.57,5.64,5.69,5.74,5.78,5.81,5.84,5.86,5.85
100124,1.13,1.16,1.19,1.24,1.31,1.4,2.64,2.75,2.88,3.03,3.19,3.36,6.53,8.67,8.51,8.41,8.39,9.4,9.4,9.38,9.34,9.29,9.24,9.24,9.24,9.23,9.22,9.18
100125,4.36,4.45,4.59,4.75,4.94,5.19,5.49,5.87,6.19,6.49,6.81,7.12,7.47,7.8,8.09,8.34,8.56,8.75,8.9,9.03,9.14,9.22,9.3,9.37,9.42,9.47,9.51,9.52
100126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
