Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,21678.33,22555.06,22978.93,23069.03,23049.66,23010.53,22948.03,22868.98,22990.55,23095.16,23182.39,23280.98,23438.96,23582.02,23713.5,23823.87,23920.44,23998.64,24058.76,24103.65,24140.8,24163.13,24178.17,24193.12,24200.91,24201.17,24169.67,24051.95
100101,89053.91,96171.53,101438.35,105375.75,109189.77,113052.81,115830.62,117250.6,119170.61,121035.73,122803.51,124784.92,127631.02,130343.94,132886.22,135155.66,137107.49,138749.37,140213.47,141448.75,142495.29,143466.12,144366.09,145210.44,145967.24,146621.91,147110.71,146830.57
100102,51528.9,53760.41,55553.52,57363.87,59530.6,61824.41,64210.85,66821.72,69261.42,71552.65,73709.68,76303.72,80690.26,84884.18,88768.08,92373.22,95570.98,98443.41,101037.6,103285.57,105263.88,107103.95,108857.27,110499.57,112020.24,113379.73,114543.88,114258.37
100103,82505.37,84319.64,86754.16,89541.19,93092.32,97119.88,101920.96,107276.1,112902.62,118557.38,123842.66,129311.26,136856.23,143928.96,150450.75,156344.56,161481.33,165972.21,169864.78,173032.32,175698.79,178091.13,180353.16,182479.33,184408.55,186083.34,187443.21,186998.83
100104,17476.93,18485.24,19947.34,21327.55,22874.14,24450.7,26809.96,29136.8,31431.8,33674.28,35057.53,35770.32,37072.05,38295.22,39433.92,40480.11,41413.11,42253.56,42983.64,43533.66,43990.19,44430.93,44893.1,45355.58,45788.41,46178.05,46506.11,46339.49
100105,63543.81,66415.73,68020.24,69322.68,70932.45,72631.29,74359.89,76302.66,78137.12,79813.72,81374.38,83536.35,88008.38,92379.72,96562.05,100535.67,104167.97,107518.03,110639.0,113453.78,116030.95,118536.61,120984.38,123345.58,125591.53,127693.32,129533.77,129066.73
100106,57162.9,69192.0,73638.11,76204.24,79116.86,82458.12,86261.64,90708.4,95969.21,101428.23,106924.74,112736.72,119751.75,126417.3,132617.26,138237.61,143228.49,147545.85,151301.01,154525.4,157374.62,159869.61,162160.54,164319.0,166309.11,168152.09,169603.24,169519.73
100107,67913.85,69780.53,71550.93,73415.96,75755.74,78274.32,80951.86,83911.49,86806.79,89567.09,92223.82,95533.41,101204.31,106660.35,111794.83,116567.42,120821.19,124609.15,128089.2,131143.0,133853.33,136422.12,138862.85,141159.13,143295.39,145240.89,146942.38,146636.66
100108,64219.1,66949.55,68910.93,70774.81,72964.77,75281.24,77769.79,80624.15,83939.29,86619.97,89010.54,91855.9,96602.0,101153.33,105371.24,109299.26,112802.46,115958.17,118839.58,121416.83,123718.18,125844.58,127825.48,129646.63,131328.56,132835.12,134132.05,133891.84
100109,29779.26,31427.99,32639.39,33836.65,35271.59,36772.91,38287.65,39912.37,41371.9,42729.78,43990.22,45572.25,48443.79,51172.55,53669.16,55947.67,57939.4,59725.98,61304.13,62638.72,63782.0,64841.69,65838.91,66753.74,67573.99,68276.64,68826.79,68368.61
