Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.14,0.15,0.15,0.16,0.16,0.17,0.17,0.18,0.19,0.2,0.21,0.21,0.22,0.23,0.24,0.25,0.26,0.27
100101,0.55,0.61,0.68,0.75,0.83,0.9,0.98,1.06,1.14,1.22,1.28,1.36,1.44,1.47,1.52,1.58,1.65,1.72,1.81,1.89,2.0,2.09,2.19,2.29,2.38,2.46,2.53,2.59
100102,1.79,1.84,1.9,1.97,2.04,2.11,2.18,2.25,2.32,2.4,2.46,2.53,2.6,2.63,2.69,2.75,2.82,2.88,2.97,3.05,3.15,3.25,3.34,3.44,3.52,3.6,3.68,3.73
100103,4.8,4.92,5.28,5.66,6.03,6.4,6.78,6.91,7.02,7.14,7.19,7.28,7.35,7.31,7.31,7.29,7.23,7.14,7.02,6.82,6.47,5.52,4.94,4.48,4.2,4.09,4.07,4.06
100104,0.34,0.37,0.4,0.44,0.47,0.51,0.55,0.59,0.62,0.65,0.68,0.71,0.73,0.74,0.75,0.77,0.79,0.81,0.83,0.86,0.9,0.93,0.96,0.99,1.01,1.03,1.05,1.06
100105,0.73,0.8,0.87,0.96,1.04,1.13,1.23,1.33,1.42,1.53,1.62,1.72,1.83,1.9,1.98,2.08,2.2,2.31,2.45,2.58,2.72,2.84,2.94,3.05,3.17,3.29,3.42,3.52
100106,1.87,1.9,2.44,2.98,3.53,4.08,4.64,4.7,4.76,4.79,4.82,4.85,4.86,4.81,4.75,4.63,4.46,4.23,3.98,3.72,3.48,3.24,3.0,2.82,2.71,2.68,2.69,2.67
100107,1.13,1.33,1.54,1.76,1.98,2.19,2.42,2.64,2.83,3.03,3.17,3.34,3.51,3.52,3.62,3.71,3.81,3.92,4.07,4.23,4.44,4.61,4.78,4.97,5.1,5.22,5.32,5.39
100108,1.92,2.05,2.19,2.34,2.5,2.66,2.83,3.0,3.16,3.33,3.46,3.63,3.79,3.86,3.99,4.12,4.28,4.43,4.64,4.84,5.08,5.29,5.51,5.74,5.94,6.13,6.3,6.43
100109,0.47,0.54,0.61,0.69,0.77,0.85,0.93,1.01,1.08,1.16,1.22,1.29,1.35,1.37,1.41,1.46,1.51,1.56,1.63,1.7,1.79,1.87,1.94,2.02,2.09,2.15,2.2,2.24
100110,1.0,1.19,1.67,2.16,2.65,3.13,3.63,3.83,4.0,4.19,4.32,4.48,4.64,4.66,4.76,4.85,4.96,5.07,5.22,5.37,5.56,5.7,5.83,5.97,6.08,6.2,6.3,6.37
100111,0.96,1.08,1.2,1.33,1.46,1.59,1.72,1.86,1.97,2.1,2.18,2.29,2.4,2.41,2.47,2.53,2.61,2.68,2.77,2.87,3.0,3.1,3.19,3.3,3.37,3.45,3.52,3.57
100112,1.59,1.71,1.83,1.96,2.1,2.24,2.38,2.53,2.66,2.8,2.9,3.03,3.16,3.19,3.27,3.36,3.46,3.55,3.68,3.81,3.98,4.12,4.26,4.42,4.54,4.65,4.76,4.83
100113,3.15,3.26,3.36,3.48,3.59,3.71,3.83,3.95,4.06,4.17,4.24,4.33,4.41,4.4,4.43,4.43,4.42,4.38,4.36,4.32,4.32,4.28,4.23,4.22,4.23,4.26,4.32,4.34
100114,1.09,1.22,1.35,1.5,1.65,1.8,1.96,2.12,2.26,2.42,2.53,2.67,2.82,2.86,2.95,3.05,3.17,3.28,3.43,3.58,3.77,3.94,4.1,4.28,4.42,4.56,4.69,4.78
100116,0.62,0.68,0.74,0.8,0.87,0.93,1.0,1.07,1.13,1.2,1.25,1.31,1.38,1.4,1.44,1.49,1.54,1.6,1.67,1.74,1.82,1.9,1.97,2.06,2.13,2.19,2.25,2.29
100117,3.39,3.45,3.52,3.59,3.68,3.76,3.85,3.94,4.03,4.12,4.2,4.29,4.38,4.43,4.5,4.58,4.67,4.76,4.87,4.97,5.07,5.14,5.17,5.22,5.28,5.35,5.44,5.5
100118,1.21,1.35,1.49,1.64,1.8,1.96,2.12,2.3,2.46,2.63,2.76,2.93,3.09,3.17,3.29,3.44,3.6,3.76,3.96,4.16,4.4,4.61,4.8,5.01,5.2,5.39,5.57,5.7
100119,0.98,1.13,1.29,1.45,1.61,1.78,1.95,2.12,2.27,2.43,2.55,2.69,2.83,2.87,2.96,3.05,3.16,3.27,3.41,3.55,3.73,3.87,4.0,4.15,4.27,4.39,4.49,4.57
100120,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22
100122,1.01,1.11,1.21,1.32,1.43,1.54,1.65,1.77,1.87,1.98,2.05,2.15,2.24,2.26,2.32,2.39,2.46,2.53,2.62,2.72,2.84,2.95,3.05,3.17,3.25,3.34,3.41,3.46
