Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,1.0,1.0,2.0,2.0,3.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,11.0,14.0,16.0,19.0,22.0,24.0,26.0,28.0,30.0,31.0,33.0,36.0,38.0,41.0,43.0,43.0
100101,86.0,131.0,215.0,307.0,419.0,530.0,628.0,709.0,774.0,832.0,885.0,975.0,1196.0,1419.0,1636.0,1837.0,2007.0,2145.0,2272.0,2378.0,2472.0,2569.0,2672.0,2780.0,2886.0,2989.0,3083.0,3043.0
100102,105.0,158.0,228.0,316.0,448.0,581.0,693.0,771.0,814.0,843.0,869.0,1003.0,1492.0,1969.0,2431.0,2867.0,3260.0,3624.0,3963.0,4259.0,4531.0,4805.0,5089.0,5388.0,5684.0,5971.0,6233.0,6134.0
100103,141.0,205.0,290.0,406.0,601.0,801.0,965.0,1066.0,1111.0,1135.0,1153.0,1294.0,1850.0,2384.0,2908.0,3398.0,3840.0,4249.0,4624.0,4923.0,5186.0,5459.0,5761.0,6093.0,6426.0,6750.0,7043.0,6921.0
100104,31.0,43.0,61.0,91.0,153.0,217.0,268.0,295.0,305.0,310.0,313.0,352.0,510.0,659.0,808.0,948.0,1077.0,1197.0,1306.0,1385.0,1454.0,1527.0,1613.0,1708.0,1804.0,1896.0,1980.0,1944.0
100105,66.0,115.0,187.0,275.0,405.0,536.0,645.0,729.0,791.0,846.0,899.0,1064.0,1595.0,2135.0,2674.0,3201.0,3696.0,4167.0,4627.0,5057.0,5473.0,5915.0,6381.0,6871.0,7370.0,7873.0,8365.0,8397.0
100106,65.0,112.0,201.0,302.0,425.0,550.0,664.0,764.0,853.0,938.0,1019.0,1140.0,1397.0,1668.0,1943.0,2206.0,2441.0,2640.0,2832.0,3004.0,3165.0,3338.0,3524.0,3723.0,3925.0,4130.0,4330.0,4360.0
100107,90.0,149.0,237.0,347.0,510.0,671.0,807.0,911.0,988.0,1051.0,1112.0,1320.0,1993.0,2656.0,3303.0,3918.0,4479.0,4990.0,5473.0,5903.0,6299.0,6700.0,7106.0,7515.0,7916.0,8301.0,8657.0,8529.0
100108,81.0,123.0,178.0,245.0,340.0,433.0,511.0,571.0,609.0,639.0,666.0,809.0,1317.0,1814.0,2297.0,2755.0,3176.0,3567.0,3939.0,4278.0,4595.0,4911.0,5226.0,5543.0,5854.0,6155.0,6433.0,6331.0
100109,62.0,103.0,151.0,210.0,297.0,384.0,452.0,492.0,508.0,514.0,517.0,587.0,878.0,1160.0,1432.0,1685.0,1909.0,2118.0,2312.0,2477.0,2626.0,2780.0,2947.0,3125.0,3302.0,3473.0,3627.0,3561.0
