BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,323.95,418.06,515.85,614.89,714.5,814.49,914.75,1015.26,1083.18,1191.63,1311.18,1410.84,1518.05,1626.01,1734.29,1843.08,1952.09,2061.07,2162.83,2256.85,2342.42,2419.12,2488.42,2557.28,2625.66,2693.54,2760.89,2827.68
100003,759.34,982.75,1215.36,1451.53,1689.14,1927.79,2167.21,2407.15,2570.31,2829.41,3114.67,3352.36,3607.87,3865.41,4123.59,4381.83,4639.74,4897.62,5137.83,5358.41,5557.93,5736.74,5897.54,6056.86,6214.61,6370.74,6525.18,6677.83
100004,1307.61,1642.27,1978.38,2308.39,2630.58,2946.47,3256.38,3561.86,3750.12,4075.91,4433.99,4720.14,5028.7,5336.83,5643.14,5946.33,6246.53,6544.51,6816.82,7061.84,7278.01,7467.16,7632.81,7796.56,7958.36,8118.11,8275.72,8431.11
100005,152.48,182.89,210.84,235.84,258.21,278.28,296.37,312.78,318.17,334.47,352.38,363.47,375.57,386.99,397.63,407.61,416.93,425.66,432.43,437.26,440.16,441.35,441.17,440.94,440.66,440.32,439.94,439.5
100006,577.57,749.94,930.06,1113.24,1297.86,1483.5,1669.78,1856.55,1983.56,2184.57,2405.58,2589.81,2787.57,2986.18,3185.1,3384.2,3583.18,3781.83,3966.32,4135.84,4289.62,4426.53,4549.36,4670.86,4790.98,4909.68,5026.92,5142.63
100007,1013.03,1310.89,1622.27,1939.79,2259.83,2583.09,2908.32,3236.89,3464.2,3823.64,4219.35,4465.48,4732.35,4998.59,5262.26,5520.39,5774.05,6025.29,6252.71,6454.11,6627.71,6779.14,6909.86,7039.58,7168.25,7295.8,7422.19,7547.33
100008,1543.42,2338.1,3251.7,4254.42,5326.02,6454.26,7628.41,8841.0,9789.22,11121.18,12583.25,13195.04,13855.82,14501.23,15130.6,15742.89,16339.3,16921.68,17429.11,17861.99,18221.32,18507.69,18734.77,18956.78,19173.61,19385.14,19591.24,19791.76
100009,36.33,43.38,49.79,55.46,60.45,64.87,68.81,72.32,73.26,76.7,80.47,82.73,85.2,87.49,89.6,91.55,93.34,95.0,96.2,96.96,97.31,97.27,96.92,96.56,96.2,95.82,95.44,95.04
100139,24.08,28.85,33.22,37.13,40.61,43.72,46.53,49.08,49.9,52.43,55.21,56.96,58.88,60.68,62.36,63.94,65.42,66.81,67.89,68.66,69.14,69.34,69.33,69.32,69.3,69.27,69.23,69.18
100501,646.04,835.12,1031.81,1231.15,1431.58,1632.69,1834.28,2036.19,2172.7,2390.36,2629.95,2829.35,3043.59,3259.16,3475.26,3691.64,3907.77,4123.63,4324.36,4508.74,4675.63,4824.95,4959.15,5092.13,5223.83,5354.19,5483.16,5610.68
100503,434.82,552.6,673.24,794.12,914.06,1033.78,1152.98,1272.52,1351.79,1482.18,1625.76,1741.87,1867.7,1994.95,2122.64,2249.26,2375.18,2501.28,2618.57,2725.69,2821.45,2908.44,2986.84,3065.02,3142.97,3220.65,3298.02,3375.06
100504,863.24,1107.51,1360.39,1616.53,1874.5,2134.2,2395.86,2659.96,2842.09,3133.43,3456.21,3715.17,3995.54,4281.66,4570.8,4860.55,5149.93,5440.73,5714.64,5967.45,6195.39,6406.87,6600.62,6795.02,6990.01,7185.5,7381.42,7577.68
100505,344.13,436.86,531.31,625.27,718.32,810.51,901.9,992.66,1051.02,1148.22,1255.35,1342.83,1437.04,1531.49,1625.84,1720.31,1814.65,1908.67,1995.76,2075.54,2147.45,2211.18,2268.14,2324.72,2380.89,2436.63,2491.91,2546.7
100506,703.61,911.67,1128.43,1348.38,1569.59,1791.62,2014.18,2236.9,2387.56,2627.12,2890.59,3109.6,3344.61,3580.8,3817.25,4053.54,4289.3,4524.47,4742.49,4942.06,5122.23,5282.66,5426.16,5567.94,5707.93,5846.08,5982.32,6116.58
100507,124.96,160.35,197.36,235.32,273.63,312.73,352.3,392.96,422.09,468.08,518.91,562.07,609.3,658.05,707.6,756.84,806.08,855.95,903.52,947.8,987.86,1026.03,1061.55,1097.34,1133.38,1169.66,1206.17,1242.9
200111,1199.1,1531.08,1871.09,2211.05,2549.31,2885.25,3218.76,3550.21,3765.56,4120.97,4511.2,4831.03,5174.76,5519.21,5864.15,6207.14,6549.5,6890.54,7205.59,7492.97,7750.16,7977.81,8180.13,8380.14,8577.75,8772.86,8965.36,9155.15
200206,111.12,133.13,153.23,171.16,187.1,201.37,214.21,225.8,229.39,240.84,253.48,261.38,269.98,278.11,285.7,292.81,299.46,305.67,310.45,313.8,315.78,316.53,316.29,316.0,315.68,315.3,314.89,314.42
200208,317.76,426.24,543.0,665.0,790.81,919.77,1051.37,1185.05,1281.84,1427.66,1588.51,1726.58,1874.83,2025.34,2177.18,2330.2,2484.19,2638.83,2784.66,2920.47,3045.31,3159.02,3263.01,3366.3,3468.86,3570.64,3671.6,3771.69
200401,606.02,775.5,949.62,1123.93,1297.14,1469.23,1640.14,1809.84,1920.15,2101.01,2299.58,2461.75,2635.71,2809.28,2982.28,3154.56,3326.02,3496.56,3653.03,3795.11,3922.7,4034.21,4132.62,4229.59,4325.08,4419.08,4511.53,4602.4
200413,289.18,375.41,465.45,557.1,649.79,743.11,836.83,930.96,995.27,1097.32,1209.49,1303.61,1404.82,1506.96,1609.94,1712.82,1816.12,1919.54,2016.31,2105.74,2186.75,2259.9,2326.09,2391.81,2457.04,2521.75,2585.91,2649.49
200421,120.25,143.95,165.58,184.83,201.9,217.13,230.76,243.0,246.62,258.7,271.97,280.17,289.1,297.48,305.3,312.59,319.37,325.7,330.48,333.75,335.54,336.03,335.47,334.86,334.22,333.52,332.78,332.0
200430,62.5,74.86,86.18,96.27,105.24,113.27,120.48,126.98,128.99,135.41,142.48,146.59,151.09,155.27,159.16,162.76,166.09,169.19,171.47,172.97,173.72,173.78,173.3,172.8,172.28,171.74,171.18,170.6
205308,103.74,124.39,143.31,160.22,175.33,188.85,201.01,211.97,215.46,226.38,238.35,245.93,254.15,261.93,269.25,276.09,282.53,288.58,293.31,296.69,298.74,299.66,299.64,299.6,299.51,299.39,299.23,299.03
205309,0.38,0.46,0.52,0.58,0.64,0.68,0.73,0.76,0.78,0.81,0.85,0.88,0.91,0.93,0.96,0.98,1.0,1.02,1.03,1.04,1.05,1.05,1.04,1.04,1.04,1.04,1.03,1.03
205317,407.11,527.95,654.02,782.2,911.48,1041.57,1172.14,1302.98,1392.15,1533.5,1689.14,1819.38,1959.28,2100.33,2242.17,2384.35,2526.68,2669.13,2802.19,2924.72,3035.64,3135.52,3225.66,3315.07,3403.72,3491.56,3578.55,3664.65
300009,494.5,626.79,761.26,894.72,1026.76,1157.45,1286.75,1414.99,1497.0,1634.23,1785.52,1908.82,2041.69,2174.71,2307.83,2440.88,2573.57,2706.23,2828.53,2940.12,3040.35,3129.45,3208.99,3288.0,3366.44,3444.28,3521.48,3598.01
300024,1806.49,2268.23,2731.4,3185.54,3630.25,4066.41,4494.34,4915.87,5175.23,5624.07,6119.09,6516.35,6944.92,7372.72,7799.72,8225.37,8648.57,9070.95,9457.79,9808.23,10119.83,10394.94,10638.31,10879.98,11119.86,11357.81,11593.71,11827.42
300289,1358.56,1682.55,2000.58,2306.1,2599.49,2881.41,3154.29,3419.11,3569.23,3848.21,4155.13,4392.86,4649.88,4904.34,5155.59,5404.21,5649.98,5893.27,6113.49,6309.91,6480.37,6626.41,6752.0,6876.43,6999.63,7121.55,7242.13,7361.31
301101,1094.2,1395.86,1705.18,2014.71,2322.81,2629.51,2934.64,3238.66,3437.79,3764.5,4124.45,4403.8,4704.84,5006.2,5307.49,5607.83,5906.76,6204.99,6479.51,6729.32,6952.76,7150.8,7326.93,7501.82,7675.4,7847.6,8018.34,8187.56
301290,670.21,871.65,1082.61,1297.7,1515.26,1734.25,1954.69,2176.14,2328.05,2567.34,2830.63,3020.92,3225.95,3430.67,3634.57,3837.81,4040.13,4241.63,4427.07,4595.71,4746.0,4878.17,4995.08,5110.84,5225.38,5338.68,5450.65,5561.25
301672,29.12,34.89,40.16,44.87,49.06,52.8,56.15,59.16,60.08,63.05,66.3,68.31,70.5,72.55,74.45,76.22,77.87,79.41,80.57,81.35,81.77,81.88,81.73,81.57,81.4,81.22,81.02,80.81
303021,110.09,132.0,152.04,169.97,185.97,200.28,213.19,224.85,228.62,240.22,252.96,260.99,269.73,278.0,285.75,293.0,299.76,306.11,311.05,314.56,316.64,317.52,317.42,317.26,317.07,316.83,316.54,316.21
303188,91.65,109.74,126.29,141.04,154.18,165.89,176.42,185.92,188.85,198.25,208.57,214.99,222.01,228.58,234.7,240.43,245.79,250.8,254.64,257.35,258.92,259.47,259.22,258.94,258.62,258.28,257.9,257.49
303846,240.08,308.66,379.47,450.9,522.49,594.0,665.46,736.64,784.14,860.8,944.94,1014.61,1089.39,1164.44,1239.69,1314.8,1389.89,1464.92,1534.51,1598.08,1655.34,1706.48,1752.26,1797.59,1842.45,1886.81,1930.65,1973.95
304200,703.47,909.88,1124.56,1342.32,1561.37,1781.21,2001.67,2222.39,2372.04,2610.03,2872.17,3090.42,3324.94,3561.17,3797.93,4035.01,4271.86,4508.69,4729.19,4931.69,5114.89,5278.83,5426.17,5572.09,5716.53,5859.42,6000.68,6140.25
