BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,76.57,98.65,123.08,147.13,170.51,193.78,216.91,239.8,259.26,288.95,321.91,350.62,381.69,413.48,446.06,479.35,513.26,547.74,580.7,612.03,641.56,668.76,694.22,719.76,745.38,771.03,796.72,822.4
100003,177.73,229.16,285.79,341.46,395.53,449.16,502.24,554.68,600.25,669.38,746.12,812.9,885.29,959.27,1034.72,1111.51,1189.63,1268.97,1344.59,1416.15,1483.34,1545.48,1603.32,1661.27,1719.31,1777.36,1835.39,1893.34
100004,322.71,405.92,496.29,582.71,664.73,744.92,823.49,900.67,963.47,1062.99,1173.08,1266.24,1367.23,1469.63,1573.03,1677.2,1782.48,1888.89,1989.05,2082.57,2169.16,2248.23,2320.73,2393.2,2465.6,2537.85,2609.9,2681.68
100005,26.02,31.21,36.46,40.99,44.84,48.26,51.33,54.08,55.79,59.45,63.45,66.28,69.32,72.25,75.08,77.81,80.45,83.0,85.15,86.93,88.35,89.38,90.13,90.84,91.51,92.16,92.77,93.35
100006,116.11,150.99,189.95,228.71,266.72,304.86,342.98,380.97,413.57,462.6,517.06,564.85,616.6,669.66,724.04,779.63,836.33,894.05,949.35,1002.01,1051.76,1097.78,1140.93,1184.25,1227.68,1271.2,1314.76,1358.34
100007,590.49,763.8,957.2,1148.81,1336.63,1524.78,1713.05,1901.4,2061.66,2303.02,2570.75,2751.33,2946.93,3143.52,3340.31,3536.88,3734.18,3932.31,4116.05,4284.9,4438.65,4576.44,4700.36,4823.89,4946.93,5069.39,5191.16,5312.14
100008,263.81,400.93,566.78,747.65,938.8,1140.57,1351.14,1569.13,1769.44,2045.53,2353.45,2508.1,2675.5,2842.89,3009.61,3175.35,3340.99,3506.66,3658.92,3797.44,3922.18,4032.5,4130.41,4227.8,4324.62,4420.78,4516.22,4610.85
100009,13.3,15.96,18.65,20.96,22.93,24.69,26.26,27.67,28.57,30.47,32.55,34.06,35.68,37.24,38.76,40.22,41.64,43.02,44.19,45.15,45.93,46.53,46.98,47.4,47.81,48.21,48.58,48.95
100139,12.05,14.37,16.67,18.62,20.25,21.67,22.92,24.0,24.7,26.26,27.96,29.15,30.44,31.69,32.88,34.03,35.14,36.21,37.11,37.85,38.42,38.83,39.12,39.39,39.64,39.89,40.12,40.34
100501,310.78,402.46,504.56,605.7,704.66,803.77,902.8,1001.48,1085.99,1213.59,1355.47,1479.87,1614.7,1752.93,1894.56,2039.33,2187.0,2337.33,2481.23,2618.02,2747.11,2867.35,2979.86,3092.89,3206.35,3320.14,3434.16,3548.32
100503,226.75,287.71,354.59,419.35,481.52,542.88,603.48,663.44,713.02,790.07,875.39,947.17,1025.01,1104.1,1184.09,1264.79,1346.48,1429.17,1507.24,1580.36,1648.31,1710.61,1767.94,1825.28,1882.59,1939.81,1996.9,2053.81
