BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,56.12,57.59,58.5,59.31,60.32,61.4,62.78,64.53,65.8,67.09,68.4,69.71,71.02,72.4,73.75,75.06,76.34,77.64,78.89,80.11,81.33,82.47,83.3,84.06,84.77,85.43,86.04,86.56
100003,64.74,66.22,67.04,67.71,68.59,69.57,70.9,72.65,74.2,75.81,77.44,79.09,80.75,82.51,84.25,85.92,87.54,89.27,90.91,92.47,93.95,95.35,96.37,97.29,98.15,98.95,99.68,100.32
100004,83.43,89.23,98.06,107.27,116.47,121.88,125.96,130.4,131.77,133.17,134.55,135.9,137.33,138.81,140.26,141.62,142.92,144.24,145.49,146.69,147.82,148.9,149.69,150.42,151.12,151.77,152.67,153.2
100005,101.26,102.91,103.96,104.86,106.0,107.2,108.78,110.85,112.47,114.7,116.33,117.97,119.62,121.36,123.05,124.72,126.38,128.12,129.8,131.39,132.93,134.39,135.42,136.36,137.23,138.04,138.8,139.47
100006,46.23,47.16,47.8,48.45,49.35,50.28,51.49,52.94,54.11,55.33,56.68,58.13,59.58,61.06,62.5,63.88,65.2,66.56,67.82,68.98,70.07,71.05,71.83,72.5,73.1,73.64,74.12,74.52
100007,97.81,107.46,112.93,117.37,121.81,126.35,131.14,134.46,137.57,140.74,143.89,146.98,150.1,153.29,156.46,159.5,162.45,165.36,168.19,170.94,173.59,176.18,178.69,181.37,183.07,184.11,185.08,185.89
100008,107.16,109.24,110.96,112.79,115.12,117.42,120.29,123.66,126.21,128.97,131.75,134.21,136.69,139.17,141.54,143.75,145.82,147.94,149.84,151.56,153.13,154.55,155.63,156.54,157.35,158.06,158.68,159.2
100009,36.57,36.76,36.97,44.72,52.48,52.71,52.99,53.4,53.75,54.12,54.53,54.96,55.42,56.01,56.98,57.96,58.95,59.94,60.88,61.76,62.58,63.31,68.57,69.11,84.06,84.27,84.41,84.49
100139,14.4,14.84,15.06,15.26,15.48,15.75,16.16,16.61,16.94,17.27,17.59,17.9,18.21,18.49,18.76,19.02,19.25,19.47,19.67,19.87,20.13,20.37,20.54,20.69,20.83,20.95,21.06,21.15
100501,71.93,75.91,86.05,95.35,96.66,97.56,98.66,100.0,101.56,103.19,104.84,106.53,109.15,111.1,112.87,114.97,117.04,119.12,121.11,123.24,125.24,127.07,128.54,129.81,130.94,131.93,132.79,133.5
100503,71.75,75.38,78.29,82.86,84.1,85.42,86.79,88.43,89.86,91.31,92.72,94.09,95.45,96.85,98.2,99.44,100.72,102.07,103.35,104.56,105.69,106.78,107.68,108.53,109.34,110.1,110.83,111.46
100504,116.24,124.41,127.64,130.07,132.44,135.04,137.94,141.58,144.97,148.4,151.84,155.26,158.69,162.29,165.84,169.24,172.47,175.63,178.71,181.64,184.42,187.14,189.35,191.46,193.49,195.43,197.28,198.96
100505,61.88,63.86,65.15,66.19,67.31,68.48,69.84,71.31,72.79,74.37,76.04,77.78,79.59,82.08,84.05,86.41,88.38,92.87,96.4,98.23,99.97,101.55,102.86,104.0,105.02,105.93,109.13,112.71
100506,62.99,64.15,65.15,66.07,67.16,68.23,69.68,71.37,72.9,74.54,76.2,77.78,79.38,81.03,82.65,84.2,85.7,87.25,88.7,90.05,91.32,92.51,93.42,94.22,94.95,95.61,96.19,96.7
