BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,17.04,17.19,17.58,18.04,18.62,19.32,20.13,20.96,21.45,21.97,22.49,23.0,23.52,24.03,24.53,25.02,25.49,25.95,26.39,26.79,27.17,27.51,27.82,28.08,28.32,28.53,28.73,28.9
100003,21.25,21.44,21.77,22.11,22.55,23.1,23.73,24.32,24.85,25.42,26.01,26.63,27.27,27.94,28.61,29.27,29.92,30.57,31.19,31.77,32.31,32.8,33.21,33.57,33.89,34.17,34.41,34.63
100004,31.71,31.92,32.46,32.87,33.24,33.69,34.22,34.85,35.44,36.06,36.68,37.31,37.96,38.62,39.26,39.87,40.36,40.84,41.3,41.71,42.09,42.44,42.75,43.02,43.26,43.47,43.95,44.11
100005,36.11,36.32,36.79,37.26,37.81,38.49,39.31,40.25,40.98,42.3,43.09,43.91,44.75,45.62,46.47,47.31,48.06,48.66,49.22,49.74,50.21,50.64,51.01,51.34,51.62,51.87,52.09,52.29
100006,13.97,14.1,14.34,14.62,15.0,15.46,16.03,16.69,17.17,17.69,18.25,18.84,19.46,20.1,20.75,21.34,21.89,22.44,22.96,23.44,23.88,24.29,24.63,24.93,25.16,25.35,25.5,25.63
100007,23.5,23.94,24.53,25.11,25.74,26.48,27.37,28.44,29.19,30.01,30.89,31.82,32.83,33.9,34.98,36.03,37.06,38.07,39.03,39.92,40.73,41.48,42.12,42.68,43.17,43.55,43.89,44.17
100008,25.19,25.78,26.59,27.6,28.72,29.82,30.97,32.33,33.1,33.94,34.82,35.69,36.59,37.4,38.19,38.95,39.67,40.39,41.04,41.64,42.18,42.65,43.03,43.36,43.66,43.94,44.18,44.37
100009,19.0,19.11,19.32,19.56,19.85,20.23,20.71,21.18,21.63,22.16,22.77,23.47,24.25,25.09,25.7,26.27,26.84,27.41,27.96,28.49,28.97,29.39,34.31,34.56,49.26,49.26,49.24,49.18
100139,1.23,1.25,1.3,1.37,1.46,1.53,1.62,1.72,1.81,1.91,2.0,2.09,2.18,2.26,2.34,2.42,2.49,2.57,2.64,2.71,2.77,2.82,2.87,2.91,2.95,2.98,3.01,3.04
100501,21.06,21.29,21.78,22.31,22.95,23.76,24.75,25.91,26.97,28.17,29.51,31.0,33.52,35.43,37.21,38.93,40.25,41.49,42.69,43.82,44.88,45.85,46.68,47.4,48.03,48.58,49.04,49.4
100503,22.1,22.41,22.95,23.49,24.07,24.7,25.3,25.94,26.45,26.98,27.5,28.02,28.55,29.09,29.61,30.11,30.58,31.03,31.47,31.87,32.23,32.58,32.9,33.17,33.43,33.66,33.87,34.06
