BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,278912.54,285438.2,290608.87,295784.47,302373.92,310170.09,319548.7,330491.72,338814.15,347352.56,355885.08,364476.05,373014.39,381537.41,389859.04,397913.86,405608.94,413180.45,420225.23,426850.62,433053.18,438736.15,443247.09,447179.21,450779.61,454048.13,457001.45,459559.43
100003,344246.27,351684.09,357174.7,362384.98,368759.23,376574.57,386332.16,397995.1,408103.92,418580.22,429220.47,439996.65,450872.79,461910.57,472738.87,483170.67,493201.33,503286.94,512665.66,521384.04,529429.22,536858.72,542708.13,547769.95,552335.32,556410.46,560031.13,563097.57
100004,426943.66,454545.1,494619.72,538921.96,581601.74,607930.89,628456.6,650516.27,659509.22,668690.39,677789.53,686784.27,695839.08,704980.67,713820.64,722157.89,730080.94,737839.31,745095.53,751843.24,758067.51,763884.4,768517.6,772649.41,776420.03,779836.32,785478.14,788078.85
100005,479518.67,487304.66,493882.03,500192.66,507892.53,516945.7,527920.72,540887.56,551889.87,568040.44,579309.37,590719.15,602191.18,613738.13,624965.66,635779.95,646078.6,656305.33,665827.24,674686.86,682909.17,690498.31,696415.65,701542.4,706186.98,710355.55,714078.99,717303.96
100006,232223.33,236875.9,240903.11,245454.06,251581.86,258793.25,267577.28,277591.14,285709.81,294223.11,302821.81,311524.39,320350.06,329222.45,337937.8,346369.26,354419.92,362365.57,369650.6,376364.16,382516.12,388053.0,392659.96,396574.82,400056.0,403112.28,405775.52,407998.72
100007,345296.76,391251.19,416967.65,438364.79,460452.2,483823.21,508939.98,528737.23,546342.04,564724.63,583534.68,602631.7,622341.21,642584.22,662779.1,682379.74,701376.06,719937.97,737710.23,754592.07,770469.94,785622.75,799255.3,812014.45,820586.11,826162.78,831101.08,835215.99
100008,451258.53,461465.69,470405.88,480614.15,493644.5,508130.34,525820.98,546189.99,560312.98,575214.27,590108.69,604016.88,618091.47,632167.02,645757.74,658581.07,670592.5,682375.92,692966.94,702524.86,711157.79,718920.98,725183.89,730444.47,735120.32,739218.11,742776.79,745688.9
100009,230571.19,232527.58,234295.47,266268.92,298732.5,301566.51,305130.72,309412.18,313607.1,318295.73,323494.09,329230.53,335417.68,342010.62,348863.84,355836.83,362827.36,369825.25,376499.25,382782.51,388588.39,393854.97,438914.57,442821.32,572974.95,574270.32,575096.59,575447.94
100139,53870.89,56574.85,58123.02,59235.77,60504.72,61992.04,63718.66,65691.26,67647.14,69627.6,71568.56,73497.5,75391.33,77222.24,78988.7,80666.4,82262.2,83847.49,85295.63,86641.44,87889.43,89025.63,89923.5,90694.9,91395.92,92026.27,92588.02,93047.72
100501,403970.48,424593.26,457882.4,517252.85,526917.15,535392.53,545609.59,557658.21,570111.38,583468.61,597532.14,612340.23,635625.93,653148.46,669284.36,685361.87,701062.98,716484.71,731136.68,744879.7,757594.76,769177.52,778917.31,787260.23,794568.81,800888.02,806302.34,810714.91
100503,341884.44,357972.16,375466.85,395156.8,402925.93,411568.0,420660.32,431310.19,440109.23,449057.54,457806.26,466384.13,474978.58,483617.51,491956.89,499689.13,506958.69,514101.82,520806.38,527019.51,532677.46,538117.5,542719.96,546899.91,550790.85,554396.05,557723.3,560620.03
100504,651885.09,688949.12,706732.83,720978.17,734730.48,749430.74,765767.53,784802.12,803225.07,822019.79,840878.45,859739.41,878747.09,898259.53,917506.91,936045.48,953755.18,970915.82,987376.47,1002852.7,1017514.45,1031423.6,1043219.67,1054134.39,1064334.8,1073842.06,1082691.64,1090647.07
100505,354127.2,363373.47,370485.08,376572.59,383264.71,390941.87,399568.17,408824.12,418707.84,429438.29,440888.01,452744.7,465204.74,482948.7,496366.46,513079.39,526511.09,560641.98,586792.88,598871.07,610117.8,620274.85,628997.02,636273.39,642600.79,648025.73,672509.68,700483.38
