BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,0.07,0.18,0.26,0.37,0.48,0.59,0.69,0.79,0.9,1.01,1.11,1.19,1.29,1.38,1.49,1.61,1.73,1.86,2.0,2.15,2.31,2.46,2.63,2.81,2.98,3.16,3.34,3.49
100003,0.33,0.39,0.49,0.65,0.85,1.07,1.28,1.5,1.7,1.9,2.08,2.25,2.44,2.55,2.69,2.84,2.97,3.11,3.27,3.43,3.64,3.81,4.0,4.22,4.4,4.58,4.76,4.93
100004,0.16,0.84,4.8,8.79,12.8,17.92,20.28,20.44,20.61,20.77,20.93,21.06,21.22,21.34,21.5,21.66,21.82,21.99,22.17,22.36,22.57,22.77,22.98,23.2,23.41,23.62,23.83,24.01
100005,13.21,10.61,8.01,5.44,2.9,3.12,3.33,3.54,3.75,3.95,4.15,4.32,4.51,4.66,4.86,5.06,5.26,5.47,5.7,5.93,6.2,6.45,6.71,6.99,7.25,7.51,7.77,8.0
100006,0.11,0.2,0.28,0.38,0.5,0.62,0.73,0.84,0.96,1.07,1.18,1.27,1.38,1.46,1.57,1.68,1.79,1.91,2.04,2.17,2.32,2.47,2.62,2.78,2.93,3.09,3.24,3.38
100007,0.16,0.19,0.23,0.31,0.4,0.51,0.61,0.71,0.81,0.9,0.99,1.07,1.16,1.22,1.29,1.36,1.43,1.5,1.58,1.68,1.79,1.9,2.01,2.15,2.27,2.4,2.52,2.65
100008,11.09,8.59,6.1,3.67,1.29,1.62,1.92,2.23,2.54,2.83,3.1,3.36,3.64,3.84,4.1,4.37,4.63,4.91,5.21,5.52,5.88,6.22,6.57,6.96,7.31,7.66,8.01,8.33
100009,0.05,0.11,0.16,0.22,0.29,0.35,0.42,0.48,0.54,0.61,0.67,0.72,0.78,0.83,0.89,0.96,1.03,1.1,1.18,1.26,1.34,1.43,1.51,1.61,1.69,1.78,1.87,1.95
100139,1.99,1.53,1.07,0.61,0.16,0.2,0.23,0.27,0.31,0.34,0.38,0.41,0.44,0.47,0.5,0.54,0.57,0.61,0.65,0.69,0.74,0.78,0.82,0.87,0.91,0.96,1.0,1.04
100501,0.11,0.25,0.38,0.52,0.68,0.83,0.98,1.13,1.28,1.43,1.57,1.69,1.84,1.96,2.12,2.28,2.45,2.62,2.81,3.01,3.23,3.44,3.66,3.89,4.11,4.34,4.57,4.76
100503,0.13,0.15,0.19,0.25,0.33,0.42,0.5,0.59,0.67,0.74,0.81,0.88,0.95,1.0,1.06,1.12,1.18,1.24,1.31,1.39,1.49,1.58,1.68,1.79,1.9,2.0,2.11,2.22
