BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,7.09,7.22,7.35,7.55,7.82,8.12,12.17,12.5,12.8,12.97,13.14,13.3,13.37,13.18,12.82,12.2,11.51,11.81,12.1,12.37,12.7,12.97,13.18,13.49,13.8,14.12,14.54,14.85
100003,4.8,9.18,13.35,17.58,22.06,26.64,31.03,31.71,32.28,32.8,33.15,33.63,34.03,33.79,33.63,33.17,32.62,33.04,33.39,33.41,32.78,30.44,26.48,22.68,20.36,19.62,19.76,20.0
100004,3.94,4.15,7.85,11.62,15.49,19.42,27.47,27.85,28.18,28.4,28.56,28.75,28.84,28.52,28.11,27.38,26.4,25.57,24.6,23.55,22.61,21.53,20.39,19.55,19.1,19.04,19.24,19.48
100005,11.74,12.02,12.44,12.96,13.73,14.58,20.4,21.06,21.62,22.06,22.4,22.8,23.08,22.83,22.46,21.69,20.8,21.21,21.63,21.95,22.22,22.01,21.39,20.93,20.84,21.17,21.81,22.36
100006,8.51,8.65,9.01,9.41,9.87,10.37,13.77,14.05,14.3,14.46,14.58,14.72,14.79,14.57,14.27,13.74,13.15,13.29,13.43,13.5,13.54,13.31,12.84,12.47,12.3,12.37,12.62,12.85
100007,9.76,9.96,11.63,13.39,15.43,17.53,23.59,24.23,24.83,25.32,25.76,26.24,26.62,26.62,26.53,26.15,25.6,25.56,25.42,25.23,25.13,24.91,24.61,24.54,24.7,25.09,25.69,26.18
100008,13.13,13.59,14.4,15.34,16.77,18.31,24.77,25.87,26.86,27.79,28.52,29.37,30.12,30.12,30.18,29.84,29.42,30.27,31.13,31.94,32.87,33.41,33.7,34.2,34.82,35.69,36.78,37.68
100009,41.8,41.85,41.89,41.94,42.02,42.12,44.26,44.37,44.47,44.5,44.53,44.56,44.53,44.36,44.1,43.69,42.76,39.7,36.25,32.79,29.76,27.34,25.56,24.4,23.67,23.25,23.06,22.97
100139,12.21,12.26,12.28,12.32,12.41,12.52,13.52,13.64,13.75,13.84,13.92,14.0,14.07,14.05,14.0,13.89,13.75,13.83,13.86,13.75,13.31,12.22,10.45,8.71,7.63,7.19,7.1,7.14
100501,34.03,34.17,37.48,40.85,44.28,47.75,56.47,56.78,57.05,57.14,57.24,57.32,57.26,56.83,56.18,55.14,53.77,52.64,51.28,49.66,47.74,45.01,41.47,38.27,36.28,35.46,35.33,35.4
100503,6.8,6.98,7.12,7.34,7.65,8.01,12.11,12.51,12.86,13.1,13.31,13.54,13.67,13.47,13.16,12.58,11.92,12.26,12.6,12.91,13.31,13.62,13.87,14.23,14.57,14.94,15.38,15.74
100504,8.2,8.47,9.03,9.71,10.49,11.34,17.63,18.18,18.67,18.99,19.26,19.56,19.73,19.38,18.88,17.98,16.95,17.22,17.45,17.61,17.81,17.69,17.31,17.12,17.16,17.48,18.03,18.5
100505,28.7,28.78,29.46,30.19,31.02,31.88,36.0,36.28,36.55,36.71,36.88,37.03,37.09,36.96,36.67,36.13,35.26,33.75,31.98,30.08,28.2,26.18,24.01,22.23,21.18,20.77,20.78,20.87
