BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,3710.0,4654.0,5639.0,7029.0,8917.0,11265.0,14022.0,17063.0,20082.0,23140.0,26199.0,29242.0,32125.0,34752.0,37230.0,39563.0,41721.0,43711.0,45394.0,46803.0,48009.0,49020.0,49787.0,50326.0,50735.0,51083.0,51397.0,51685.0
100003,3044.0,3918.0,4855.0,6196.0,8050.0,10387.0,13135.0,16171.0,19195.0,22263.0,25336.0,28398.0,31409.0,34178.0,36759.0,39093.0,41264.0,43276.0,44993.0,46511.0,47838.0,49009.0,50014.0,50794.0,51464.0,52046.0,52531.0,52919.0
100004,1714.0,2211.0,2746.0,3507.0,4553.0,5872.0,7423.0,9131.0,10828.0,12546.0,14263.0,15971.0,17637.0,19164.0,20606.0,21966.0,23223.0,24385.0,25375.0,26209.0,26923.0,27519.0,27989.0,28339.0,28639.0,28896.0,29116.0,29306.0
100005,4958.0,6281.0,7623.0,9463.0,11909.0,14935.0,18495.0,22444.0,26384.0,30385.0,34396.0,38397.0,42265.0,45809.0,49117.0,52103.0,54879.0,57421.0,59552.0,61444.0,63107.0,64547.0,65619.0,66336.0,66854.0,67350.0,67813.0,68231.0
100006,2529.0,3223.0,3975.0,5061.0,6568.0,8466.0,10696.0,13150.0,15586.0,18051.0,20516.0,22968.0,25335.0,27502.0,29547.0,31474.0,33260.0,34904.0,36297.0,37529.0,38607.0,39531.0,40273.0,40830.0,41242.0,41583.0,41860.0,42098.0
100007,1628.0,2109.0,2592.0,3241.0,4089.0,5139.0,6373.0,7740.0,9103.0,10487.0,11875.0,13258.0,14620.0,15872.0,17054.0,18153.0,19139.0,20049.0,20824.0,21457.0,21935.0,22307.0,22625.0,22874.0,23092.0,23290.0,23463.0,23612.0
100008,4205.0,5366.0,6620.0,8433.0,10953.0,14122.0,17840.0,21931.0,25991.0,30102.0,34213.0,38304.0,42263.0,45889.0,49305.0,52499.0,55462.0,58199.0,60525.0,62583.0,64357.0,65893.0,67190.0,68122.0,68866.0,69481.0,69951.0,70343.0
100009,832.0,1074.0,1342.0,1738.0,2296.0,3008.0,3846.0,4773.0,5696.0,6633.0,7571.0,8506.0,9429.0,10280.0,11085.0,11845.0,12552.0,13206.0,13765.0,14263.0,14702.0,15088.0,15414.0,15644.0,15829.0,15979.0,16116.0,16237.0
100139,860.0,1092.0,1315.0,1605.0,1971.0,2416.0,2938.0,3520.0,4100.0,4691.0,5284.0,5876.0,6447.0,6969.0,7442.0,7827.0,8186.0,8507.0,8763.0,8991.0,9194.0,9375.0,9530.0,9647.0,9748.0,9840.0,9920.0,9983.0
100501,1849.0,2367.0,2952.0,3820.0,5056.0,6632.0,8487.0,10532.0,12567.0,14629.0,16691.0,18745.0,20755.0,22602.0,24348.0,25994.0,27523.0,28936.0,30142.0,31212.0,32152.0,32964.0,33667.0,34225.0,34694.0,35058.0,35358.0,35613.0
100503,1506.0,1937.0,2383.0,3004.0,3841.0,4885.0,6111.0,7465.0,8812.0,10179.0,11548.0,12912.0,14244.0,15467.0,16623.0,17703.0,18659.0,19538.0,20286.0,20944.0,21496.0,21963.0,22346.0,22631.0,22867.0,23067.0,23245.0,23393.0
100504,2025.0,2609.0,3192.0,3975.0,4998.0,6260.0,7742.0,9383.0,11018.0,12679.0,14344.0,16004.0,17629.0,19121.0,20534.0,21866.0,23066.0,24156.0,25064.0,25854.0,26469.0,26880.0,27234.0,27509.0,27751.0,27956.0,28137.0,28304.0
100505,1626.0,2084.0,2573.0,3268.0,4220.0,5423.0,6842.0,8412.0,9980.0,11569.0,13161.0,14747.0,16300.0,17727.0,19077.0,20351.0,21534.0,22629.0,23556.0,24291.0,24940.0,25477.0,25943.0,26305.0,26622.0,26889.0,27104.0,27286.0
100506,2303.0,2954.0,3668.0,4706.0,6156.0,7992.0,10151.0,12528.0,14891.0,17285.0,19678.0,22061.0,24384.0,26516.0,28530.0,30429.0,32185.0,33806.0,35170.0,36337.0,37363.0,38252.0,39025.0,39629.0,40112.0,40504.0,40829.0,41099.0
100507,252.0,326.0,399.0,497.0,625.0,782.0,966.0,1169.0,1369.0,1573.0,1777.0,1980.0,2177.0,2358.0,2528.0,2687.0,2829.0,2961.0,3072.0,3171.0,3246.0,3293.0,3326.0,3351.0,3375.0,3398.0,3418.0,3437.0
200111,5153.0,6577.0,8110.0,10310.0,13355.0,17198.0,21728.0,26740.0,31740.0,36811.0,41890.0,46951.0,51900.0,56445.0,60745.0,64800.0,68494.0,71865.0,74737.0,77280.0,79436.0,81330.0,82976.0,84217.0,85215.0,86010.0,86698.0,87285.0
