BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,327.0,454.0,594.0,751.0,920.0,930.0,990.0,1243.0,1503.0,1767.0,2032.0,2306.0,2602.0,2936.0,3272.0,3605.0,3952.0,4362.0,4787.0,5228.0,5705.0,6170.0,6412.0,6654.0,6895.0,7136.0,7376.0,7616.0
100003,353.0,480.0,619.0,775.0,942.0,948.0,1020.0,1331.0,1647.0,1964.0,2275.0,2595.0,2939.0,3330.0,3726.0,4109.0,4512.0,5033.0,5569.0,6113.0,6686.0,7262.0,7571.0,7878.0,8184.0,8490.0,8795.0,9099.0
100004,489.0,597.0,721.0,861.0,1011.0,1012.0,1079.0,1384.0,1687.0,1986.0,2274.0,2564.0,2872.0,3218.0,3555.0,3878.0,4211.0,4597.0,4988.0,5385.0,5807.0,6206.0,6385.0,6563.0,6740.0,6917.0,7094.0,7269.0
100005,473.0,632.0,805.0,997.0,1202.0,1213.0,1302.0,1684.0,2070.0,2457.0,2836.0,3224.0,3640.0,4108.0,4577.0,5035.0,5509.0,6095.0,6702.0,7323.0,7989.0,8649.0,8990.0,9332.0,9673.0,10014.0,10355.0,10696.0
100006,423.0,588.0,766.0,962.0,1170.0,1179.0,1210.0,1347.0,1486.0,1625.0,1763.0,1905.0,2057.0,2228.0,2393.0,2552.0,2721.0,2965.0,3215.0,3471.0,3756.0,4033.0,4200.0,4367.0,4533.0,4698.0,4863.0,5028.0
100007,733.0,805.0,894.0,994.0,1096.0,1089.0,1149.0,1446.0,1738.0,2025.0,2297.0,2572.0,2861.0,3187.0,3502.0,3800.0,4109.0,4463.0,4820.0,5181.0,5560.0,5915.0,6064.0,6212.0,6361.0,6508.0,6656.0,6802.0
100008,984.0,1368.0,1797.0,2279.0,2797.0,2799.0,2848.0,3115.0,3377.0,3633.0,3875.0,4131.0,4403.0,4707.0,4995.0,5259.0,5531.0,5925.0,6322.0,6721.0,7174.0,7609.0,7855.0,8101.0,8345.0,8588.0,8830.0,9072.0
100009,88.0,115.0,145.0,177.0,212.0,213.0,224.0,268.0,312.0,357.0,402.0,448.0,497.0,553.0,608.0,663.0,726.0,825.0,925.0,1028.0,1136.0,1245.0,1315.0,1385.0,1455.0,1525.0,1594.0,1664.0
100139,63.0,86.0,110.0,137.0,165.0,167.0,179.0,228.0,279.0,330.0,381.0,433.0,489.0,553.0,616.0,678.0,744.0,828.0,916.0,1005.0,1100.0,1195.0,1247.0,1299.0,1350.0,1402.0,1454.0,1506.0
100501,298.0,408.0,530.0,665.0,810.0,814.0,869.0,1109.0,1349.0,1588.0,1821.0,2059.0,2312.0,2596.0,2880.0,3156.0,3438.0,3778.0,4125.0,4479.0,4858.0,5232.0,5412.0,5592.0,5770.0,5949.0,6126.0,6303.0
100503,735.0,809.0,900.0,1000.0,1102.0,1098.0,1142.0,1363.0,1582.0,1798.0,2002.0,2208.0,2423.0,2668.0,2900.0,3119.0,3355.0,3644.0,3937.0,4232.0,4545.0,4836.0,4977.0,5117.0,5257.0,5397.0,5536.0,5675.0
100504,1491.0,1625.0,1784.0,1955.0,2128.0,2122.0,2251.0,2855.0,3453.0,4042.0,4607.0,5180.0,5777.0,6456.0,7103.0,7734.0,8394.0,9096.0,9813.0,10540.0,11306.0,11996.0,12276.0,12556.0,12835.0,13114.0,13392.0,13668.0
100505,240.0,328.0,426.0,533.0,649.0,657.0,694.0,851.0,1013.0,1177.0,1341.0,1512.0,1695.0,1902.0,2107.0,2311.0,2529.0,2800.0,3080.0,3369.0,3682.0,3983.0,4150.0,4316.0,4482.0,4648.0,4814.0,4979.0
100506,452.0,623.0,810.0,1017.0,1239.0,1246.0,1292.0,1495.0,1699.0,1901.0,2098.0,2300.0,2514.0,2756.0,2995.0,3223.0,3458.0,3769.0,4085.0,4406.0,4758.0,5105.0,5291.0,5477.0,5662.0,5847.0,6031.0,6214.0
100507,526.0,559.0,602.0,649.0,695.0,690.0,702.0,779.0,856.0,932.0,1004.0,1076.0,1149.0,1235.0,1312.0,1385.0,1464.0,1547.0,1631.0,1716.0,1810.0,1889.0,1919.0,1950.0,1980.0,2011.0,2042.0,2073.0
