BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,63.0,99.0,119.0,139.0,161.0,181.0,203.0,224.0,246.0,268.0,291.0,314.0,335.0,359.0,386.0,412.0,436.0,454.0,469.0,487.0,506.0,521.0,537.0,556.0,575.0,594.0,614.0,620.0
100003,55.0,86.0,103.0,120.0,138.0,156.0,173.0,191.0,210.0,229.0,247.0,267.0,284.0,303.0,326.0,347.0,367.0,381.0,393.0,407.0,422.0,434.0,447.0,461.0,476.0,492.0,507.0,511.0
100004,53.0,85.0,101.0,118.0,137.0,154.0,172.0,191.0,209.0,229.0,247.0,267.0,285.0,305.0,328.0,349.0,369.0,383.0,396.0,410.0,425.0,437.0,449.0,464.0,479.0,495.0,510.0,514.0
100005,65.0,104.0,124.0,146.0,169.0,191.0,214.0,237.0,261.0,285.0,309.0,335.0,357.0,383.0,412.0,440.0,467.0,486.0,503.0,521.0,543.0,559.0,576.0,596.0,617.0,638.0,659.0,666.0
100006,43.0,69.0,82.0,96.0,111.0,125.0,140.0,155.0,170.0,185.0,200.0,216.0,231.0,247.0,265.0,283.0,300.0,311.0,322.0,333.0,347.0,356.0,367.0,379.0,392.0,405.0,418.0,422.0
100007,73.0,116.0,139.0,163.0,188.0,212.0,236.0,261.0,287.0,313.0,339.0,366.0,391.0,418.0,449.0,479.0,506.0,526.0,543.0,562.0,584.0,600.0,617.0,638.0,658.0,680.0,701.0,707.0
100008,107.0,170.0,202.0,237.0,272.0,306.0,341.0,376.0,412.0,448.0,483.0,522.0,557.0,596.0,640.0,682.0,721.0,750.0,774.0,801.0,831.0,854.0,879.0,908.0,937.0,967.0,997.0,1005.0
100009,17.0,27.0,33.0,38.0,44.0,50.0,56.0,62.0,69.0,75.0,82.0,89.0,95.0,102.0,110.0,118.0,125.0,130.0,135.0,140.0,146.0,150.0,155.0,161.0,167.0,173.0,178.0,181.0
100139,9.0,14.0,17.0,20.0,23.0,25.0,28.0,31.0,34.0,38.0,41.0,44.0,47.0,50.0,54.0,58.0,61.0,63.0,66.0,68.0,71.0,73.0,75.0,78.0,80.0,83.0,86.0,86.0
100501,54.0,86.0,103.0,121.0,140.0,158.0,177.0,196.0,215.0,235.0,254.0,275.0,294.0,314.0,338.0,361.0,382.0,398.0,411.0,426.0,443.0,456.0,470.0,486.0,503.0,520.0,537.0,542.0
100503,68.0,107.0,128.0,151.0,174.0,196.0,219.0,243.0,267.0,291.0,316.0,341.0,364.0,390.0,419.0,447.0,473.0,491.0,507.0,525.0,546.0,561.0,577.0,597.0,616.0,636.0,656.0,662.0
100504,100.0,159.0,190.0,224.0,259.0,292.0,327.0,363.0,400.0,437.0,474.0,513.0,548.0,588.0,633.0,676.0,716.0,745.0,771.0,799.0,831.0,855.0,882.0,913.0,944.0,976.0,1008.0,1018.0
100505,42.0,66.0,79.0,93.0,107.0,120.0,134.0,149.0,163.0,178.0,193.0,208.0,222.0,238.0,256.0,273.0,289.0,301.0,311.0,322.0,335.0,345.0,355.0,368.0,380.0,393.0,406.0,410.0
100506,55.0,88.0,105.0,123.0,142.0,161.0,180.0,199.0,219.0,239.0,259.0,280.0,299.0,321.0,345.0,368.0,390.0,406.0,420.0,435.0,452.0,466.0,480.0,496.0,513.0,531.0,548.0,553.0
100507,42.0,67.0,81.0,95.0,109.0,123.0,138.0,152.0,168.0,183.0,198.0,214.0,229.0,245.0,263.0,281.0,297.0,309.0,319.0,330.0,343.0,352.0,363.0,375.0,387.0,400.0,412.0,416.0
200111,119.0,189.0,224.0,262.0,301.0,339.0,377.0,416.0,455.0,495.0,535.0,576.0,613.0,654.0,702.0,747.0,790.0,820.0,845.0,874.0,907.0,931.0,958.0,989.0,1021.0,1053.0,1085.0,1094.0
200206,68.0,107.0,128.0,151.0,174.0,196.0,219.0,242.0,266.0,291.0,315.0,341.0,363.0,389.0,419.0,447.0,474.0,493.0,511.0,529.0,551.0,567.0,585.0,605.0,626.0,648.0,669.0,677.0
200208,21.0,34.0,40.0,47.0,54.0,61.0,68.0,75.0,82.0,89.0,97.0,104.0,111.0,119.0,128.0,136.0,144.0,149.0,154.0,160.0,166.0,170.0,175.0,181.0,187.0,193.0,199.0,201.0
200401,46.0,73.0,87.0,101.0,117.0,131.0,146.0,161.0,176.0,191.0,206.0,222.0,236.0,251.0,269.0,286.0,301.0,312.0,321.0,332.0,344.0,352.0,362.0,373.0,384.0,396.0,407.0,409.0
200413,40.0,63.0,75.0,88.0,101.0,113.0,126.0,139.0,153.0,166.0,179.0,193.0,206.0,220.0,236.0,251.0,266.0,276.0,285.0,295.0,306.0,314.0,323.0,334.0,345.0,356.0,367.0,370.0
200421,55.0,88.0,105.0,123.0,141.0,159.0,178.0,196.0,216.0,235.0,254.0,274.0,293.0,313.0,336.0,359.0,379.0,395.0,408.0,422.0,439.0,451.0,465.0,480.0,496.0,513.0,529.0,534.0
200430,33.0,52.0,63.0,73.0,84.0,95.0,106.0,117.0,129.0,140.0,152.0,164.0,175.0,187.0,201.0,214.0,227.0,236.0,243.0,252.0,262.0,269.0,277.0,287.0,296.0,306.0,316.0,319.0
205308,48.0,77.0,92.0,107.0,124.0,140.0,156.0,172.0,189.0,206.0,223.0,241.0,257.0,275.0,296.0,316.0,334.0,347.0,359.0,372.0,387.0,398.0,410.0,424.0,438.0,453.0,467.0,472.0
205309,13.0,21.0,25.0,29.0,34.0,38.0,42.0,47.0,51.0,56.0,60.0,65.0,69.0,74.0,80.0,85.0,90.0,93.0,96.0,100.0,104.0,106.0,110.0,113.0,117.0,121.0,125.0,126.0
205317,76.0,120.0,143.0,168.0,193.0,218.0,243.0,268.0,294.0,320.0,346.0,374.0,398.0,426.0,457.0,487.0,516.0,536.0,553.0,573.0,595.0,612.0,630.0,651.0,672.0,694.0,716.0,723.0
300009,25.0,40.0,48.0,56.0,64.0,73.0,81.0,90.0,99.0,108.0,116.0,126.0,134.0,144.0,154.0,165.0,175.0,182.0,188.0,195.0,202.0,208.0,215.0,222.0,229.0,237.0,245.0,247.0
300024,73.0,115.0,137.0,161.0,185.0,209.0,233.0,258.0,283.0,308.0,333.0,360.0,384.0,411.0,442.0,471.0,498.0,518.0,535.0,554.0,576.0,592.0,610.0,631.0,652.0,674.0,695.0,701.0
300289,84.0,133.0,159.0,186.0,214.0,241.0,269.0,297.0,326.0,355.0,384.0,414.0,441.0,472.0,507.0,541.0,572.0,594.0,614.0,636.0,661.0,679.0,699.0,723.0,747.0,772.0,796.0,804.0
301101,66.0,104.0,124.0,146.0,168.0,190.0,212.0,235.0,258.0,281.0,305.0,329.0,351.0,376.0,404.0,432.0,457.0,475.0,491.0,509.0,529.0,544.0,561.0,580.0,600.0,620.0,640.0,647.0
301290,47.0,75.0,89.0,105.0,120.0,135.0,151.0,167.0,183.0,199.0,215.0,232.0,247.0,264.0,283.0,302.0,319.0,331.0,342.0,354.0,368.0,378.0,389.0,402.0,415.0,429.0,442.0,446.0
301672,26.0,42.0,50.0,59.0,68.0,77.0,86.0,95.0,105.0,114.0,124.0,134.0,143.0,153.0,165.0,176.0,186.0,194.0,201.0,208.0,216.0,223.0,229.0,237.0,245.0,254.0,262.0,265.0
303021,54.0,86.0,102.0,119.0,138.0,155.0,173.0,191.0,210.0,229.0,247.0,267.0,285.0,305.0,328.0,349.0,370.0,385.0,398.0,412.0,428.0,440.0,453.0,469.0,485.0,501.0,517.0,522.0
303188,55.0,87.0,104.0,122.0,141.0,159.0,177.0,196.0,215.0,235.0,254.0,275.0,294.0,314.0,338.0,361.0,382.0,397.0,411.0,426.0,443.0,456.0,470.0,486.0,503.0,520.0,537.0,543.0
303846,24.0,38.0,45.0,53.0,61.0,69.0,77.0,85.0,94.0,102.0,110.0,119.0,127.0,136.0,146.0,156.0,165.0,171.0,177.0,183.0,190.0,195.0,201.0,208.0,214.0,222.0,228.0,230.0
304200,86.0,137.0,163.0,190.0,218.0,246.0,274.0,302.0,331.0,360.0,389.0,420.0,447.0,478.0,513.0,547.0,578.0,601.0,620.0,642.0,666.0,685.0,705.0,728.0,753.0,777.0,801.0,809.0
304881,47.0,74.0,89.0,104.0,120.0,136.0,152.0,168.0,185.0,202.0,219.0,237.0,254.0,272.0,292.0,312.0,331.0,345.0,357.0,370.0,385.0,397.0,410.0,424.0,439.0,454.0,470.0,475.0
304882,39.0,63.0,75.0,88.0,101.0,115.0,128.0,142.0,156.0,170.0,185.0,200.0,213.0,229.0,246.0,263.0,279.0,290.0,300.0,311.0,324.0,334.0,344.0,357.0,369.0,382.0,395.0,399.0
304899,29.0,46.0,56.0,65.0,75.0,85.0,95.0,105.0,116.0,127.0,137.0,148.0,159.0,170.0,183.0,195.0,207.0,216.0,223.0,231.0,241.0,248.0,256.0,265.0,274.0,284.0,293.0,297.0
400001,57.0,91.0,108.0,127.0,146.0,164.0,182.0,201.0,220.0,240.0,259.0,279.0,297.0,317.0,341.0,363.0,383.0,398.0,411.0,425.0,441.0,453.0,466.0,481.0,497.0,513.0,528.0,533.0
