Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,70964.91,72943.44,74845.53,77594.84,83177.08,89035.49,95215.01,101787.11,108362.34,115217.33,121616.36,127947.88,134202.73,140185.08,145965.86,151526.54,156827.8,162194.85,167209.98,171884.79,176624.61,181088.25,184967.38,188582.1,192011.78,195196.29,198217.43,200663.29
BARROWINFURNESS,10438.54,11457.57,12468.59,13963.88,16287.12,18929.52,21835.04,24824.77,27759.76,30814.75,33784.39,36738.69,39706.88,42458.05,45071.6,47567.41,49933.82,52267.5,54374.94,56304.32,58119.26,59762.48,61213.03,62496.44,63704.67,64821.11,65851.56,66665.94
BLACKBURN WITH DARWEN,10523.52,12750.21,14867.7,17937.72,22307.37,27455.05,33261.64,39396.72,45367.75,51644.36,57768.08,63877.69,69979.06,75532.73,80878.9,85982.7,90718.02,95367.3,99606.86,103501.11,107093.8,110326.93,112976.03,115315.99,117460.56,119341.61,121086.53,122570.07
BLACKPOOL,8707.42,10990.54,13136.11,16222.2,20563.68,25427.49,30889.63,36565.65,42161.6,48005.16,53751.48,59494.08,65272.73,70638.53,75761.3,80657.44,85359.98,90033.88,94262.92,98186.59,101875.38,105184.76,107936.42,110371.28,112615.21,114717.6,116702.68,118344.38
BOLTON,21532.63,25784.44,30012.5,36156.59,44933.39,55234.88,66837.65,79072.72,91008.23,103603.6,116009.6,128343.76,140670.39,152103.0,163023.27,173460.04,183279.99,192912.74,201702.32,209679.32,217033.91,223849.35,229418.56,234271.0,238680.33,242706.04,246460.32,249692.64
BURNLEY,22258.2,23545.94,24789.07,26620.09,29316.36,32491.77,36086.99,39973.8,43800.46,47778.14,51672.61,55563.06,59468.94,63109.99,66603.73,69951.65,73147.38,76266.45,79142.56,81809.42,84351.83,86714.05,88561.32,90188.55,91694.11,93095.28,94392.47,95464.77
BURY,13289.14,16219.45,19104.24,23285.6,29196.45,36071.7,43820.24,51947.24,59907.08,68268.42,76502.62,84707.88,92882.94,100467.03,107539.44,114050.17,120296.21,126490.26,132142.92,137374.98,142292.77,146810.68,150409.23,153593.91,156471.18,159126.94,161595.12,163714.19
CARLISLE,40563.57,42596.89,44591.35,47506.25,52176.68,57423.26,63195.54,69441.58,75613.48,82037.67,88227.58,94390.64,100572.17,106337.83,111853.73,117117.51,122132.4,127177.13,131821.63,136098.3,140206.18,143943.17,147085.4,149970.21,152692.12,155214.96,157567.56,159478.47
CHESHIRE EAST,13203.91,15818.73,18506.48,22560.82,28426.11,35341.56,43128.09,51501.78,59708.5,68267.17,76667.17,85042.06,93330.78,100993.94,108258.34,115198.99,121795.16,128305.72,134230.76,139688.1,144831.17,149527.87,153046.2,155944.81,158552.78,160948.88,163243.02,165280.75
CHORLEY,10052.66,11866.43,13737.9,16556.08,20719.99,25653.29,31327.98,37638.47,43834.52,50287.33,56595.79,62906.72,69262.52,75186.76,80875.37,86311.11,91488.84,96583.11,101273.92,105629.17,109806.82,113712.71,116688.25,119333.78,121613.08,123650.02,125548.07,127207.21
COPELAND,16416.64,17573.45,18735.63,20472.09,23626.64,27114.23,30849.49,34711.81,38520.7,42480.59,46234.5,49954.01,53646.83,57100.24,60404.88,63564.92,66566.55,69596.51,72352.83,74891.76,77375.51,79675.38,81725.34,83579.87,85315.85,86903.28,88336.9,89506.61
CRAVEN,1637.53,2065.6,2486.36,3104.72,4043.95,5104.81,6279.22,7560.63,8831.36,10155.34,11450.99,12754.66,14093.73,15342.35,16546.38,17701.93,18792.97,19898.84,20911.47,21850.15,22795.35,23680.21,24427.06,25099.89,25708.62,26263.98,26764.98,27199.7
DERBYSHIRE DALES,4.17,4.84,5.56,6.67,8.3,10.31,12.58,14.92,17.23,19.65,22.04,24.43,26.84,29.06,31.15,33.15,35.02,36.81,38.41,39.86,41.19,42.42,43.49,44.36,45.04,45.67,46.24,46.76
EDEN,8934.42,10407.65,11844.72,13851.03,16765.58,19738.81,22930.67,26452.29,29947.51,33604.73,37152.12,40737.41,44391.26,47764.85,51036.37,54197.46,57212.62,60494.13,63545.26,66367.68,69515.96,72519.62,75175.8,77706.78,80125.38,82432.16,84687.94,86583.52
FYLDE,12816.72,14249.06,15714.27,17872.57,20989.97,24513.92,28530.0,32947.02,37278.1,41777.41,46179.13,50575.75,54960.82,59037.86,62938.27,66659.53,70184.93,73641.22,76801.9,79734.9,82539.02,85148.37,87128.29,88888.1,90427.43,91820.29,93093.37,94186.4
HIGH PEAK,6814.45,8399.47,10027.18,12496.19,16112.51,20386.83,25206.04,30363.63,35432.1,40741.65,45969.38,51183.43,56439.84,61323.37,65977.54,70418.45,74628.58,78753.96,82485.27,85914.42,89138.15,92127.07,94553.16,96630.67,98476.39,100132.87,101627.98,102912.36
HYNDBURN,19731.21,20951.64,22139.96,23880.83,26396.0,29387.99,32754.41,36267.7,39710.5,43337.54,46912.07,50477.08,54091.81,57452.03,60681.88,63791.63,66759.0,69648.47,72294.14,74704.42,76953.12,79033.38,80737.28,82213.58,83546.93,84800.6,86006.83,87019.52
LANCASTER,30399.92,32717.8,34994.77,38321.79,43650.43,49546.31,56042.65,62977.02,69848.21,77025.64,83964.01,90876.48,97798.25,104296.0,110506.83,116456.77,122140.55,127767.25,132969.17,137791.14,142439.02,146776.53,150375.8,153651.2,156644.3,159380.26,161975.42,164105.8
MANCHESTER,31933.91,39482.47,46691.43,56611.92,70051.27,84748.9,101343.11,119233.67,136441.45,154924.45,173189.92,190948.72,208698.11,225148.54,240911.96,255712.74,269794.7,283646.5,296235.49,307738.19,318407.62,327851.06,335166.93,341681.35,347657.22,353282.48,358565.23,363003.31
NORTHUMBERLAND,3.18,3.84,4.6,5.82,7.69,10.07,12.78,15.52,18.24,21.08,23.89,26.69,29.56,32.2,34.67,37.03,39.23,41.32,43.17,44.84,46.35,47.73,48.97,49.99,50.93,51.78,52.41,52.96
OLDHAM,14571.54,17926.71,21238.65,25977.89,32626.83,40416.98,49247.24,58756.23,67998.95,77839.69,87584.67,97255.91,106996.08,116109.75,124879.94,133326.66,141361.43,149311.16,156609.86,163365.94,169691.23,175379.54,179677.05,183514.23,187078.39,190464.05,193696.8,196515.47
PENDLE,4861.2,5866.92,6841.24,8278.63,10379.91,12850.43,15634.67,18595.36,21511.31,24546.74,27515.38,30486.53,33484.58,36269.43,38941.63,41497.24,43934.07,46330.63,48519.46,50550.92,52420.79,54131.82,55492.62,56690.07,57800.73,58816.2,59731.02,60503.8
PRESTON,11110.21,13363.8,15534.82,18641.42,23039.95,28091.86,33784.27,39849.66,45803.85,52035.75,58140.73,64224.98,70307.24,75924.87,81286.62,86302.55,91029.67,95702.37,99875.88,103680.21,107234.34,110498.83,113116.33,115434.24,117601.83,119648.25,121548.72,123137.9
RIBBLE VALLEY,8394.37,9596.51,10820.18,12652.03,15317.96,18428.55,21999.5,25983.69,29889.26,33949.37,37916.65,41887.12,45881.58,49594.17,53156.98,56569.1,59790.77,62965.9,65879.16,68575.99,71170.44,73601.71,75477.73,77104.62,78574.04,79894.99,81126.26,82208.5
RICHMONDSHIRE,6.77,8.6,10.55,13.59,18.12,23.61,29.82,36.28,42.71,49.45,56.12,62.79,69.72,76.14,82.21,88.02,93.47,98.86,103.69,108.09,112.33,116.26,119.77,122.82,125.64,128.07,130.29,132.14
ROCHDALE,15071.19,18125.42,21160.82,25637.05,32109.69,39714.53,48410.08,57960.86,67358.71,77186.71,86837.83,96500.7,106212.14,115305.13,124073.56,132479.04,140537.08,148524.41,155888.21,162693.29,169180.5,175230.45,179636.24,183477.56,187047.06,190403.21,193555.64,196265.43
ROSSENDALE,62928.73,64048.11,65149.19,66786.77,69214.68,72089.89,75345.28,78858.24,82307.57,85913.6,89446.5,92985.39,96567.08,99912.26,103139.2,106242.73,109210.63,112127.26,114808.83,117301.31,119671.01,121862.89,123522.86,124969.42,126289.43,127525.09,128662.0,129627.79
SALFORD,15288.89,18857.52,22346.24,27331.69,34299.59,42260.32,51417.81,61572.03,71448.24,81828.39,92013.23,102139.45,112291.63,121766.64,130867.92,139566.79,147878.73,156054.55,163506.93,170325.02,176723.29,182434.03,186748.67,190608.37,194039.87,197197.23,200203.54,202798.33
SEFTON,0.29,0.37,0.45,0.57,0.73,0.92,1.14,1.36,1.59,1.82,2.05,2.28,2.51,2.72,2.92,3.12,3.3,3.47,3.63,3.78,3.92,4.04,4.12,4.19,4.26,4.33,4.39,4.45
SOUTH LAKELAND,34440.58,36849.48,39131.68,42442.85,47558.86,53195.1,59382.19,66017.29,72613.43,79515.68,86221.79,92939.37,99741.25,106084.72,112206.12,118059.6,123617.36,129284.51,134477.1,139276.02,143995.23,148350.13,152045.94,155437.95,158598.48,161514.64,164253.25,166547.94
SOUTH RIBBLE,8719.96,10501.29,12321.87,15082.92,19152.7,24075.0,29688.21,35682.73,41554.33,47675.41,53660.75,59646.99,65651.59,71180.32,76449.67,81484.39,86294.36,91029.05,95373.66,99373.56,103131.79,106580.87,109384.16,111845.04,114100.83,116122.3,117918.75,119464.34
ST HELENS,4918.55,5760.7,6636.0,7976.97,9973.94,12404.57,15174.68,18150.93,21066.36,24097.91,27065.17,30025.24,32989.91,35741.19,38361.83,40862.43,43242.04,45563.36,47677.94,49576.15,51343.51,52986.46,54279.98,55420.47,56485.99,57455.9,58323.14,59046.61
STAFFORDSHIRE MOORLANDS,0.57,0.72,0.88,1.11,1.45,1.85,2.31,2.8,3.29,3.79,4.29,4.79,5.29,5.76,6.21,6.64,7.04,7.44,7.8,8.14,8.46,8.73,8.95,9.14,9.31,9.48,9.64,9.77
STOCKPORT,23712.5,28642.83,33541.52,40660.79,50772.84,62540.04,75774.29,89672.72,103224.8,117581.09,131720.36,145787.73,159843.59,172783.53,185077.58,196701.06,207805.52,218751.73,228778.63,237959.66,246498.78,254370.28,260664.03,266137.79,271200.5,275789.89,280029.38,283745.75
TAMESIDE,14311.44,17537.07,20729.69,25438.57,32231.31,40219.31,49300.08,59016.64,68494.78,78477.65,88268.6,98050.55,107900.39,116969.87,125714.7,134049.98,142044.9,150003.09,157320.08,164093.61,170445.94,176324.88,180902.85,184898.04,188601.96,192062.42,195259.65,198000.42
TRAFFORD,17057.55,20911.46,24694.41,30151.01,37798.33,46544.98,56397.23,66752.76,76873.47,87518.02,98021.96,108449.0,118695.53,128230.84,137295.4,145979.42,154263.95,162347.13,169669.85,176245.96,182396.28,187926.12,192182.69,195880.75,199276.1,202403.2,205329.01,207836.56
WARRINGTON,1928.24,2361.82,2762.14,3343.98,4172.13,5147.37,6228.73,7357.03,8468.12,9631.93,10769.38,11913.31,13045.03,14078.1,15073.66,16026.29,16928.77,17801.21,18597.76,19308.43,19950.34,20547.76,21052.28,21486.19,21890.51,22252.83,22589.51,22877.24
WEST LANCASHIRE,10313.71,12234.58,14131.45,16897.58,21052.08,25884.92,31281.58,37043.79,42670.35,48581.7,54342.57,60068.06,65798.07,71096.02,76165.07,81027.86,85666.14,90234.44,94468.17,98363.58,102129.89,105551.45,108336.82,110876.81,113167.62,115255.2,117218.38,118866.25
WIGAN,22894.02,27566.08,32341.42,39578.95,50267.86,63144.81,77868.93,93734.83,109269.71,125454.29,141300.67,157118.61,173009.82,187719.29,201793.97,215233.08,228045.87,240633.56,252130.4,262726.16,272597.44,281616.8,288737.51,295027.85,300866.61,306174.65,310980.69,315087.06
WYRE,15521.16,17468.65,19405.28,22262.9,26515.58,31428.16,36996.8,43121.37,49153.63,55428.01,61565.12,67708.05,73921.33,79723.52,85294.61,90627.27,95714.84,100797.08,105469.76,109820.68,114006.76,117908.75,120857.98,123388.36,125751.01,127948.63,129986.11,131741.83
