Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,117.08,139.96,160.77,179.17,195.46,209.94,222.79,234.25,237.38,248.54,260.92,268.34,276.44,284.01,290.97,297.39,303.33,308.75,312.7,315.23,316.31,316.18,315.07,313.92,312.73,311.49,310.22,308.9
BARROWINFURNESS,108.23,128.92,147.45,163.76,177.97,190.35,201.32,210.85,212.93,222.34,232.6,238.59,245.08,251.05,256.61,261.57,266.15,270.31,273.17,274.75,274.99,274.22,272.59,270.93,269.23,267.49,265.71,263.9
BLACKBURN WITH DARWEN,632.6,804.69,980.33,1154.92,1327.91,1498.9,1668.14,1835.81,1942.75,2121.36,2317.19,2475.75,2646.39,2816.23,2985.55,3153.96,3320.72,3486.79,3638.85,3776.53,3899.06,4005.89,4099.65,4191.93,4282.67,4371.83,4459.34,4545.16
BLACKPOOL,180.48,215.39,247.09,275.1,299.79,321.66,341.15,358.56,363.2,380.29,399.14,410.47,422.9,434.42,445.14,455.07,464.23,472.69,478.84,482.82,484.69,484.63,483.07,481.44,479.76,478.01,476.2,474.33
BOLTON,1840.86,2357.86,2889.32,3422.57,3954.74,4484.66,5011.94,5536.95,5881.51,6445.36,7064.62,7574.36,8122.08,8671.6,9222.32,9770.47,10318.05,10863.87,11369.08,11830.82,12244.97,12612.66,12940.35,13264.4,13584.67,13901.0,14213.22,14521.15
BURNLEY,125.19,149.82,172.31,192.36,210.13,225.99,240.15,252.9,256.66,269.15,282.94,290.99,299.77,307.96,315.46,322.41,328.79,334.66,338.92,341.57,342.75,342.56,341.3,339.98,338.62,337.2,335.73,334.2
BURY,648.6,839.21,1037.46,1238.62,1441.07,1644.49,1848.69,2053.23,2191.91,2412.58,2655.89,2858.85,3076.97,3297.06,3517.8,3739.11,3960.69,4182.23,4388.82,4578.91,4751.41,4906.25,5045.87,5184.37,5321.71,5457.82,5592.64,5726.11
CARLISLE,145.67,174.3,200.38,223.58,244.13,262.49,278.89,293.58,297.81,312.24,328.09,337.35,347.4,356.73,365.31,373.18,380.44,387.0,391.74,394.62,395.76,395.37,393.74,392.05,390.32,388.53,386.69,384.79
CHESHIRE EAST,164.74,197.72,228.07,255.22,279.57,301.43,321.13,338.98,344.88,362.58,382.03,394.07,407.19,419.59,431.13,441.99,452.13,461.6,468.97,474.24,477.44,478.74,478.56,478.31,478.01,477.65,477.22,476.73
CHORLEY,243.35,302.49,360.74,417.04,471.5,524.09,575.29,625.04,654.07,706.98,765.19,811.12,860.59,910.01,959.03,1007.66,1056.12,1104.13,1148.32,1187.88,1222.61,1253.24,1280.19,1307.09,1333.92,1360.68,1387.36,1413.94
COPELAND,66.98,79.74,91.16,101.23,110.02,117.76,124.47,130.37,131.74,137.54,143.96,147.52,151.52,155.28,158.7,161.74,164.51,167.03,168.77,169.74,169.88,169.38,168.36,167.32,166.26,165.19,164.09,162.98
CRAVEN,17.98,21.56,24.84,27.77,30.37,32.71,34.8,36.69,37.27,39.13,41.15,42.41,43.77,45.04,46.22,47.31,48.33,49.29,50.0,50.48,50.73,50.8,50.7,50.6,50.49,50.37,50.24,50.11
DERBYSHIRE DALES,0.03,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
EDEN,56.42,67.64,77.92,87.08,95.26,102.55,109.06,114.98,116.77,122.57,128.92,132.81,137.09,141.04,144.69,148.1,151.27,154.18,156.34,157.76,158.51,158.66,158.31,157.94,157.55,157.14,156.71,156.27
FYLDE,72.3,86.86,100.27,112.3,123.12,132.82,141.59,149.54,152.15,159.98,168.57,174.0,179.9,185.44,190.64,195.51,200.04,204.31,207.59,209.94,211.36,211.96,211.91,211.83,211.73,211.59,211.43,211.24
HIGH PEAK,327.94,413.71,500.11,585.37,669.23,751.58,832.72,912.49,962.38,1047.53,1140.93,1216.21,1297.11,1377.85,1458.41,1538.4,1618.04,1697.3,1770.05,1835.66,1893.88,1945.15,1990.34,2035.09,2079.36,2123.13,2166.39,2209.1
