Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,59.55,71.01,82.41,92.04,100.04,106.98,113.0,118.21,121.42,128.82,136.91,142.5,148.53,154.28,159.77,165.03,170.05,174.84,178.76,181.88,184.23,185.77,186.69,187.54,188.32,189.03,189.67,190.23
BARROWINFURNESS,35.65,42.66,49.75,55.78,60.81,65.23,69.12,72.55,74.51,79.04,83.99,87.41,91.08,94.58,97.94,101.15,104.21,107.14,109.55,111.45,112.87,113.77,114.29,114.77,115.19,115.56,115.88,116.16
BLACKBURN WITH DARWEN,137.17,172.5,210.65,246.95,281.14,314.37,346.69,378.13,403.36,443.89,488.78,526.54,567.35,608.67,650.51,692.88,735.67,778.84,819.42,857.26,892.27,923.78,952.65,981.44,1010.13,1038.69,1067.09,1095.32
BLACKPOOL,107.84,127.91,147.54,163.92,177.37,188.88,198.73,207.15,212.39,224.99,238.82,248.32,258.58,268.41,277.84,286.89,295.57,303.86,310.69,316.12,320.22,322.95,324.62,326.19,327.64,328.99,330.23,331.37
BOLTON,513.21,649.1,796.21,937.31,1071.28,1201.91,1329.13,1453.09,1556.53,1719.66,1900.45,2054.13,2220.39,2389.32,2561.0,2735.36,2911.97,3090.7,3259.67,3418.38,3566.18,3700.22,3824.07,3947.87,4071.49,4194.86,4317.84,4440.35
BURNLEY,50.96,61.03,71.16,79.83,87.13,93.58,99.28,104.35,107.5,114.39,121.94,127.17,132.78,138.19,143.4,148.42,153.27,157.93,161.84,165.02,167.51,169.28,170.49,171.64,172.73,173.75,174.71,175.61
BURY,126.29,160.54,198.0,234.25,268.97,303.16,336.83,369.93,397.46,440.36,488.03,528.94,573.25,618.48,664.56,711.45,759.07,807.36,853.21,896.43,936.87,973.98,1008.42,1042.92,1077.45,1112.0,1146.53,1181.01
CARLISLE,69.5,83.12,96.82,108.5,118.29,126.88,134.44,141.06,145.12,154.21,164.13,170.78,177.94,184.77,191.3,197.53,203.49,209.17,213.83,217.51,220.28,222.05,223.09,224.05,224.91,225.68,226.37,226.98
CHESHIRE EAST,35.06,42.17,49.43,55.72,61.11,65.95,70.31,74.24,76.66,81.75,87.33,91.29,95.54,99.65,103.61,107.46,111.17,114.76,117.8,120.33,122.35,123.85,124.94,125.98,126.97,127.92,128.82,129.68
CHORLEY,82.14,102.45,124.11,144.49,163.51,181.82,199.49,216.52,230.23,252.62,277.39,298.03,320.34,342.92,365.77,388.83,412.07,435.49,457.42,477.82,496.62,513.63,529.15,544.66,560.16,575.63,591.05,606.42
COPELAND,15.53,18.5,21.46,23.95,26.0,27.78,29.31,30.62,31.38,33.22,35.24,36.59,38.05,39.45,40.77,42.03,43.22,44.36,45.28,45.99,46.51,46.8,46.94,47.06,47.16,47.24,47.3,47.34
CRAVEN,8.34,9.98,11.62,13.03,14.21,15.25,16.17,16.99,17.49,18.6,19.82,20.68,21.6,22.48,23.33,24.16,24.95,25.7,26.34,26.86,27.26,27.55,27.75,27.93,28.11,28.28,28.43,28.58
DERBYSHIRE DALES,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
EDEN,33.74,40.23,46.68,52.12,56.65,60.59,64.01,66.97,68.77,72.93,77.47,80.6,83.96,87.16,90.23,93.16,95.96,98.63,100.81,102.53,103.83,104.67,105.17,105.63,106.05,106.43,106.77,107.08
FYLDE,20.31,24.42,28.58,32.18,35.26,38.02,40.49,42.72,44.06,46.94,50.09,52.35,54.76,57.09,59.34,61.52,63.62,65.64,67.34,68.75,69.87,70.71,71.3,71.88,72.42,72.95,73.45,73.92
HIGH PEAK,102.56,130.22,160.54,189.9,218.05,245.82,273.19,300.18,322.26,356.77,395.07,427.8,463.21,499.2,535.79,572.96,610.66,648.83,684.97,718.97,750.69,779.72,806.57,833.45,860.32,887.19,914.0,940.75
HYNDBURN,144.08,181.9,222.79,261.87,298.88,334.91,370.01,404.19,432.39,477.03,526.55,568.25,613.4,659.25,705.8,753.0,800.73,848.98,894.46,937.01,976.49,1012.32,1045.26,1078.16,1111.0,1143.74,1176.36,1208.82
LANCASTER,91.73,109.86,128.13,143.87,157.26,169.11,179.62,188.96,194.94,207.58,221.29,230.67,240.79,250.45,259.63,268.33,276.73,284.84,291.61,297.07,301.31,304.16,306.05,307.83,309.5,311.06,312.51,313.85
MANCHESTER,1789.06,2342.96,2967.14,3593.77,4214.66,4841.63,5473.14,6108.42,6656.3,7469.06,8371.49,8918.31,9510.16,10101.74,10690.75,11276.17,11861.05,12445.83,12982.75,13470.83,13909.9,14297.84,14641.69,14983.72,15323.69,15661.33,15996.39,16328.58
NORTHUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLDHAM,981.19,1217.75,1469.64,1704.74,1922.58,2131.72,2332.99,2527.19,2679.04,2931.35,3210.73,3437.24,3682.7,3930.29,4180.2,4432.38,4686.3,4941.8,5179.99,5400.4,5602.45,5784.35,5949.41,6114.42,6279.25,6443.75,6607.81,6771.29
PENDLE,26.53,31.69,36.8,41.16,44.81,47.99,50.78,53.24,54.76,58.19,61.95,64.41,67.06,69.59,72.02,74.35,76.59,78.74,80.5,81.91,82.98,83.68,84.11,84.52,84.89,85.24,85.56,85.85
PRESTON,268.15,329.91,394.83,454.44,508.74,559.95,608.37,654.25,690.54,752.22,820.15,875.1,934.45,993.83,1053.09,1112.19,1171.32,1230.58,1285.34,1335.47,1380.96,1420.59,1456.15,1491.48,1526.56,1561.35,1595.84,1629.99
RIBBLE VALLEY,39.26,47.88,56.84,64.89,72.06,78.71,84.91,90.72,94.76,102.22,110.43,116.79,123.65,130.42,137.13,143.8,150.39,156.9,162.77,167.99,172.58,176.47,179.81,183.11,186.37,189.59,192.76,195.87
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHDALE,127.7,156.99,187.71,215.86,241.49,265.7,288.66,310.47,327.23,356.09,387.99,413.85,441.83,469.92,498.16,526.55,555.05,583.62,610.04,634.29,656.34,676.0,693.65,711.28,728.87,746.4,763.86,781.25
ROSSENDALE,50.9,64.79,79.9,94.56,108.62,122.46,136.06,149.43,160.67,178.12,197.49,214.12,232.12,250.47,269.17,288.2,307.51,327.09,345.68,363.2,379.59,394.67,408.65,422.67,436.7,450.75,464.8,478.83
SALFORD,541.02,686.64,845.97,1000.27,1148.41,1294.65,1439.16,1582.02,1701.2,1886.36,2091.98,2263.83,2450.23,2639.9,2832.48,3027.73,3225.76,3426.28,3615.91,3793.73,3959.23,4112.96,4254.53,4396.54,4538.89,4681.46,4824.12,4966.76
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,81.01,96.82,112.65,126.14,137.47,147.42,156.17,163.86,168.58,179.13,190.65,198.72,207.38,215.66,223.63,231.29,238.65,245.69,251.55,256.28,259.93,262.46,264.12,265.68,267.14,268.51,269.78,270.95
SOUTH RIBBLE,41.98,51.04,60.42,68.77,76.15,82.94,89.23,95.06,99.09,106.68,115.02,121.43,128.33,135.17,141.94,148.63,155.24,161.77,167.62,172.81,177.33,181.14,184.38,187.59,190.75,193.86,196.94,199.96
ST HELENS,18.83,22.51,26.2,29.35,31.99,34.3,36.34,38.14,39.27,41.77,44.5,46.42,48.48,50.47,52.38,54.23,56.01,57.73,59.17,60.36,61.29,61.95,62.41,62.85,63.27,63.67,64.04,64.39
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
STOCKPORT,1151.41,1409.76,1678.04,1921.36,2140.33,2344.81,2536.59,2716.38,2859.42,3107.64,3381.86,3593.75,3822.62,4051.68,4280.9,4510.47,4739.91,4969.23,5179.76,5371.46,5544.23,5694.71,5828.58,5961.83,6094.36,6226.06,6356.83,6486.57
TAMESIDE,275.34,354.46,441.1,526.02,608.18,689.34,769.31,847.92,916.75,1021.48,1137.8,1238.21,1347.0,1458.13,1571.51,1687.01,1804.45,1923.69,2037.23,2144.63,2245.39,2338.41,2424.95,2511.67,2598.5,2685.36,2772.19,2858.91
TRAFFORD,375.68,477.11,587.9,695.02,797.47,898.31,997.48,1094.84,1175.78,1302.39,1442.79,1563.31,1693.66,1826.61,1962.35,2100.63,2241.08,2383.54,2518.93,2646.84,2766.7,2876.31,2978.29,3080.52,3182.92,3285.4,3387.89,3490.28
WARRINGTON,0.58,0.69,0.8,0.89,0.97,1.04,1.1,1.16,1.19,1.26,1.34,1.4,1.46,1.51,1.57,1.62,1.67,1.72,1.77,1.8,1.83,1.84,1.86,1.87,1.88,1.89,1.9,1.91
WEST LANCASHIRE,331.31,423.14,523.67,621.33,715.26,807.6,898.29,987.26,1062.36,1177.99,1305.64,1414.69,1532.78,1652.62,1773.81,1896.2,2020.28,2146.12,2265.4,2377.54,2482.24,2576.36,2663.65,2750.72,2837.53,2923.98,3010.01,3095.53
WIGAN,152.66,191.73,233.78,273.73,311.33,347.78,383.14,417.47,445.64,490.79,540.83,582.99,628.63,674.89,721.79,769.32,817.37,865.9,911.57,954.25,993.79,1029.7,1062.66,1095.61,1128.51,1161.34,1194.07,1226.67
WYRE,19.09,22.73,26.33,29.36,31.89,34.09,35.99,37.65,38.71,41.11,43.74,45.59,47.57,49.47,51.29,53.05,54.72,56.33,57.67,58.74,59.56,60.15,60.53,60.89,61.23,61.55,61.85,62.13
