Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,100326.32,100067.44,98856.9,97555.51,96590.41,95835.77,95348.94,94954.47,94622.49,94217.18,93955.55,93729.59,93535.52,93561.81,93561.58,93548.44,93534.41,93478.86,93448.2,93414.18,93307.12,93247.02,93182.5,93113.28,93039.29,92960.5,92876.99,92788.69
BARROWINFURNESS,75405.36,74865.12,73547.66,72233.45,71157.98,70211.98,69566.11,68962.19,68435.66,67921.37,67452.24,67076.14,66705.67,66496.74,66319.39,66113.91,65925.47,65730.81,65551.52,65365.58,65133.93,64931.84,64727.32,64520.31,64310.75,64098.64,63883.96,63666.69
BLACKBURN WITH DARWEN,199819.25,199258.28,196863.81,194257.6,192383.51,190837.39,189978.16,189370.3,188804.3,188258.23,187815.0,187444.73,187203.55,187313.81,187459.76,187598.19,187636.84,187700.9,187779.71,187855.5,187858.94,187884.72,187900.88,187906.96,187902.83,187888.37,187863.63,187828.48
BLACKPOOL,224182.25,223129.85,220171.14,217120.16,214809.75,212947.48,211849.72,211003.02,210274.32,209556.79,209068.65,208711.11,208468.16,208640.16,208893.36,209176.72,209353.05,209477.25,209613.87,209735.03,209763.2,209846.49,209918.95,209980.0,210029.42,210067.07,210093.08,210107.27
BOLTON,432321.66,431836.28,427256.64,422422.47,419066.98,416458.7,415201.24,414440.66,413885.3,413419.28,413191.77,413273.63,413500.83,414638.77,415912.21,417016.26,418044.04,418960.4,419981.15,420964.79,421678.89,422536.87,423369.69,424175.83,424954.82,425706.37,426430.87,427127.92
BURNLEY,144484.34,144378.88,142885.21,141338.57,140211.71,139382.09,138969.32,138745.46,138582.96,138334.54,138268.63,138205.49,138177.44,138489.04,138751.71,139018.11,139233.52,139423.34,139641.4,139811.52,139930.6,140091.41,140244.36,140389.06,140525.4,140653.25,140772.7,140883.59
BURY,289202.25,289197.35,286429.46,283507.54,281457.89,279959.46,279436.74,279193.39,279128.4,278973.97,279119.26,279414.93,279789.89,280824.23,281847.11,282872.31,283795.18,284621.5,285510.18,286340.46,287039.27,287818.84,288580.47,289323.05,290046.24,290749.82,291434.06,292098.69
CARLISLE,192043.54,191541.68,189208.42,186825.03,185003.76,183615.03,182790.18,182104.49,181507.84,180873.86,180377.77,179964.41,179545.71,179527.63,179485.9,179409.24,179308.43,179074.93,178923.43,178707.2,178407.04,178183.87,177952.91,177713.68,177466.09,177210.08,176945.8,176673.14
CHESHIRE EAST,229418.74,229888.3,228278.0,226425.16,225320.61,224565.83,224457.4,224557.09,224806.09,224925.88,225215.23,225574.72,226000.94,226927.12,227809.41,228722.36,229530.39,230236.53,231045.16,231821.85,232492.45,233201.72,233896.3,234575.18,235238.1,235884.9,236515.87,237130.79
CHORLEY,156198.6,157025.38,156270.74,155356.91,154915.73,154664.56,154916.29,155269.37,155696.29,156048.66,156476.83,157019.42,157580.28,158451.42,159311.39,160123.86,160904.6,161624.86,162387.0,163092.88,163713.4,164399.47,165074.5,165737.77,166389.1,167028.37,167655.77,168271.13
COPELAND,73808.13,73213.95,71905.07,70631.59,69593.71,68717.59,68036.56,67438.36,66948.46,66417.41,65972.73,65523.14,65132.67,64923.99,64711.71,64475.69,64235.39,63989.05,63769.33,63551.02,63282.76,63038.82,62792.87,62544.83,62294.67,62042.39,61788.0,61531.47
CRAVEN,28917.81,28996.86,28788.86,28566.55,28421.83,28329.63,28311.55,28326.62,28354.93,28357.66,28375.67,28403.17,28439.34,28526.35,28597.59,28669.64,28735.73,28805.89,28871.66,28933.61,28973.23,29029.08,29083.18,29135.39,29185.69,29234.05,29280.54,29325.11
DERBYSHIRE DALES,23.81,23.78,23.51,23.22,23.01,22.84,22.75,22.69,22.63,22.57,22.52,22.49,22.47,22.49,22.51,22.53,22.55,22.56,22.58,22.59,22.59,22.6,22.61,22.61,22.62,22.62,22.63,22.63
EDEN,99300.17,99450.53,98727.65,97904.7,97394.41,97008.88,96841.88,96825.24,96804.93,96746.1,96745.84,96731.58,96791.23,96964.17,97110.87,97264.53,97389.37,97458.07,97524.52,97562.66,97568.93,97614.19,97654.23,97688.53,97717.02,97739.66,97756.7,97768.05
FYLDE,108072.06,108685.53,108273.57,107761.15,107602.74,107543.13,107794.78,108135.18,108464.15,108738.1,109080.78,109445.17,109837.99,110430.21,111031.53,111607.18,112111.33,112593.3,113080.05,113549.51,113944.25,114388.49,114825.15,115253.7,115674.01,116086.0,116489.79,116885.27
HIGH PEAK,123651.41,123867.29,122819.7,121687.54,120960.9,120412.48,120269.5,120201.79,120235.16,120218.49,120248.6,120367.36,120504.63,120892.23,121291.03,121655.78,121999.79,122326.18,122672.56,122977.27,123215.42,123506.33,123789.73,124065.24,124332.71,124592.07,124843.36,125086.47
