Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,10853.06,14733.02,18412.44,23712.41,31276.04,40941.47,51908.17,63653.43,75726.08,88597.81,101970.75,115913.35,130203.78,144265.71,158079.7,171495.61,184218.84,196223.37,207020.16,216722.6,225266.86,232770.28,239166.12,244273.25,248564.47,252060.12,254864.14,257086.51
BARROWINFURNESS,5647.62,7599.04,9475.94,12135.21,15927.33,20741.19,26146.59,31860.92,37652.82,43750.87,49971.76,56355.94,62808.49,69053.2,75124.8,80978.43,86496.03,91691.1,96329.21,100483.34,104131.35,107340.52,110076.35,112240.8,114074.36,115581.97,116803.22,117783.88
BLACKBURN WITH DARWEN,14204.59,18213.62,22161.45,28080.62,36623.2,47500.62,59814.28,73020.02,86709.8,101430.09,116830.98,133027.09,149799.97,166488.53,183093.13,199418.28,215120.68,230132.21,243853.12,256347.82,267495.22,277384.91,285908.72,292843.38,298709.89,303545.64,307464.83,310608.03
BLACKPOOL,12946.21,16747.96,20355.32,25715.36,33430.72,43201.71,54137.36,65671.96,77361.95,89675.12,102251.36,115191.15,128305.86,141014.26,153367.44,165252.41,176427.13,186920.7,196266.56,204617.34,211938.84,218374.79,223861.32,228203.78,231886.61,234921.4,237382.41,239359.63
BOLTON,29182.48,37509.56,45544.82,57647.0,75103.21,97332.12,122522.36,149565.45,177634.64,207846.44,239533.59,272939.11,307600.5,342136.29,376480.56,410188.17,442535.36,473374.41,501500.58,527056.83,549814.32,569968.84,587316.05,601416.81,613329.03,623132.25,631061.57,637402.98
BURNLEY,8515.1,11359.9,14033.77,17900.57,23412.34,30406.3,38319.23,46796.33,55568.01,64980.86,74827.4,85183.17,95901.18,106546.2,117094.08,127407.19,137262.8,146623.42,155122.43,162817.06,169646.56,175681.39,180863.77,185059.31,188600.96,191511.65,193862.73,195739.74
BURY,24278.63,28508.18,33303.63,41355.06,53395.44,68846.0,86277.33,104859.89,123986.22,144437.93,165580.28,187566.41,210127.02,232388.32,254529.14,276389.46,297548.66,317952.36,336705.98,353896.52,369320.31,383087.38,395006.02,404712.7,412974.17,419831.37,425433.54,429975.83
CARLISLE,11346.64,14803.43,18558.79,24200.53,32352.61,42958.53,55392.57,69331.81,84512.74,101530.25,120190.28,140560.75,162372.63,184969.51,208186.94,231682.31,254924.03,277595.92,298921.57,318719.04,336673.79,352708.97,366641.77,378250.9,388006.99,395999.69,402438.65,407561.97
CHESHIRE EAST,20993.19,23598.89,26640.25,32451.63,41380.97,52864.37,65677.09,79092.0,92547.6,106602.93,120723.09,135016.98,149288.77,162902.07,176055.85,188712.52,200643.09,211927.17,221989.12,231020.97,238969.19,246000.57,252016.33,256752.29,260805.89,264177.15,266942.08,269198.77
CHORLEY,13883.67,17032.25,20375.9,25737.39,33638.22,43841.25,55535.9,68253.13,81629.67,96199.03,111655.39,128084.04,145263.46,162581.69,180014.68,197355.46,214231.86,230513.95,245575.97,259411.0,271844.32,282911.27,292483.75,300344.77,306979.21,312434.33,316846.95,320378.19
COPELAND,7339.42,9932.59,12351.67,15776.91,20646.7,26818.13,33736.48,41040.17,48431.72,56202.42,64131.15,72275.29,80510.12,88469.36,96177.72,103563.97,110475.54,116935.36,122656.55,127744.65,132185.2,136074.91,139378.68,141976.91,144176.3,145982.54,147442.97,148612.46
CRAVEN,2275.12,2742.38,3232.12,4076.68,5340.03,6981.17,8841.26,10815.65,12803.64,14883.96,16995.0,19139.63,21276.93,23317.58,25271.26,27130.26,28853.64,30450.34,31843.86,33067.43,34118.55,35025.54,35780.91,36353.69,36830.07,37208.8,37507.06,37739.13
DERBYSHIRE DALES,4.5,5.47,6.67,8.6,11.46,15.2,19.6,24.56,29.99,36.13,42.89,50.29,58.25,66.53,75.11,83.85,92.57,101.14,109.26,116.84,123.76,129.95,135.35,139.87,143.68,146.8,149.32,151.33
EDEN,7723.47,10120.59,12940.18,17266.35,23535.45,31837.47,41861.26,53514.07,66707.03,81952.27,99221.64,118551.58,139692.22,162101.48,185506.71,209504.64,233530.98,257155.91,279641.3,300670.38,319863.38,337046.59,352026.79,364633.22,375202.59,383845.9,390794.0,396304.97
FYLDE,9458.41,11385.36,13396.5,16638.25,21446.78,27579.58,34405.22,41528.15,48639.91,56030.15,63411.6,70841.6,78218.15,85204.36,91909.7,98320.67,104323.98,109972.04,114970.53,119433.6,123342.48,126793.34,129738.28,132038.49,134011.45,135655.39,137006.36,138112.05
HIGH PEAK,9509.06,11365.78,13426.54,16835.66,21919.19,28478.71,35900.69,43811.97,51901.75,60496.15,69328.67,78440.93,87702.34,96753.13,105664.04,114386.16,122746.06,130737.78,138000.34,144598.33,150465.02,155664.97,160130.66,163715.53,166752.04,169250.06,171276.78,172908.35
HYNDBURN,7425.08,9873.2,12298.11,15812.09,20838.47,27269.25,34635.56,42656.39,51119.44,60357.94,70200.03,80706.86,91737.55,102895.46,114140.47,125321.17,136193.91,146668.01,156354.84,165245.46,173231.71,180335.27,186478.72,191531.52,195792.33,199294.56,202124.5,204384.83
LANCASTER,13866.81,17570.5,21406.23,27361.07,36001.35,47120.38,59930.39,74010.62,89027.09,105578.69,123405.11,142601.17,162908.08,183633.91,204667.08,225709.33,246291.95,266202.24,284722.37,301780.83,317149.2,330830.95,342677.83,352464.81,360702.1,367457.95,372905.96,377246.59
