Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,3629.93,5591.67,7044.89,8708.68,10461.58,11025.03,11848.81,13566.39,15356.85,17058.41,18686.96,20325.87,21899.88,23654.64,25497.56,27215.12,28836.71,31404.53,33824.34,36212.31,39389.75,42457.42,44793.54,47194.18,49587.85,51979.23,54340.14,56290.06
BARROWINFURNESS,1569.3,2387.7,2984.37,3653.66,4357.83,4581.61,4865.29,5350.76,5855.82,6333.42,6774.58,7218.81,7621.51,8059.98,8529.03,8952.45,9386.64,10112.27,10779.61,11443.3,12278.24,13041.97,13694.13,14372.85,15049.41,15725.67,16390.44,16891.59
BLACKBURN WITH DARWEN,3214.41,4688.58,5669.54,6737.12,7857.83,8297.76,8990.58,10538.32,12142.19,13727.55,15233.58,16755.39,18275.72,19940.0,21707.03,23383.71,25093.8,27287.25,29422.41,31610.21,33963.11,36174.43,37597.33,39073.53,40547.74,42023.69,43479.45,44618.87
BLACKPOOL,5321.03,7613.21,9197.84,10933.09,12761.97,13353.58,14077.72,15364.73,16809.92,18263.65,19700.53,21206.81,22689.4,24356.43,26161.72,27889.3,29799.14,32469.61,35070.75,37744.03,40598.1,43316.8,45385.68,47524.37,49658.08,51791.89,53896.34,55571.65
BOLTON,6679.7,9304.54,11154.48,13176.01,15301.41,15991.19,17141.99,19955.69,22929.57,25930.82,28842.48,31874.11,34947.49,38414.65,42102.11,45587.66,49355.16,54218.16,59078.65,64064.22,69310.81,74396.95,77638.87,80953.56,84256.33,87553.03,90809.53,93571.14
BURNLEY,2265.62,3345.09,4051.36,4828.36,5643.66,5997.75,6562.92,7861.63,9239.41,10601.34,11946.52,13311.95,14674.89,16212.93,17820.92,19370.21,20946.23,22798.97,24628.88,26482.81,28468.04,30375.81,31515.65,32698.24,33880.36,35065.0,36234.85,37156.07
BURY,4362.7,6154.71,7479.46,8927.06,10450.51,10924.88,11683.85,13497.83,15445.58,17411.43,19373.36,21422.18,23512.09,25900.61,28407.13,30839.57,33454.21,36834.97,40223.81,43688.08,47377.33,50970.58,53300.05,55679.16,58051.84,60422.03,62766.9,64780.95
CARLISLE,3704.92,5435.1,6710.08,8151.66,9666.23,10136.22,10899.04,12646.24,14428.73,16139.41,17745.38,19354.7,20890.46,22590.41,24348.69,25961.69,27595.98,30082.82,32478.79,34824.69,37675.23,40413.9,42372.79,44384.82,46390.43,48393.5,50370.48,52005.08
CHESHIRE EAST,3440.59,4825.06,5945.74,7193.78,8521.02,8867.04,9623.05,11817.27,14085.82,16335.81,18529.44,20770.28,23076.65,25668.9,28334.78,30919.05,33612.33,37108.57,40632.49,44217.93,48135.97,51957.04,54226.74,56527.62,58819.76,61105.96,63369.57,65391.53
CHORLEY,2383.86,3445.83,4270.36,5199.93,6186.67,6463.8,7214.9,9564.61,11977.79,14369.82,16682.87,19064.85,21525.18,24255.09,27093.94,29814.82,32559.16,35820.39,39086.28,42386.64,46007.86,49578.47,51430.38,53308.28,55179.52,57046.45,58895.33,60547.99
COPELAND,1797.64,2688.01,3361.06,4127.8,4931.17,5156.44,5468.17,6080.67,6711.32,7300.65,7843.59,8381.85,8878.95,9420.82,9990.79,10504.5,11016.66,12055.02,13013.83,13948.68,15218.71,16416.71,17422.94,18451.64,19473.32,20489.87,21489.81,22318.01
CRAVEN,626.19,981.4,1258.75,1581.15,1922.33,2026.49,2192.26,2575.0,2977.42,3371.08,3748.86,4133.9,4516.07,4937.57,5377.05,5796.71,6187.0,6769.89,7320.87,7866.62,8586.9,9290.97,9786.36,10293.22,10798.81,11304.0,11803.67,12229.08
DERBYSHIRE DALES,0.48,0.75,0.94,1.16,1.39,1.48,1.59,1.77,1.97,2.18,2.38,2.58,2.78,3.01,3.25,3.48,3.71,4.02,4.33,4.63,5.01,5.37,5.66,5.95,6.25,6.54,6.83,7.06
EDEN,2750.43,4314.87,5691.3,7324.02,9067.7,9446.01,9956.6,11013.86,12136.6,13231.25,14276.64,15331.48,16364.39,17487.5,18671.65,19782.99,20810.11,23229.26,25479.52,27636.44,30874.97,34052.25,36740.75,39461.2,42168.1,44864.32,47531.76,49928.8
FYLDE,2608.24,3727.72,4659.11,5704.23,6822.88,7085.92,7640.75,9245.3,10897.26,12537.95,14133.75,15762.86,17437.44,19294.95,21217.2,23050.21,24865.61,27016.1,29145.43,31317.86,33702.59,36030.26,37263.83,38524.33,39782.28,41039.75,42284.51,43355.02
HIGH PEAK,2062.71,3079.95,3848.62,4712.73,5632.23,5920.89,6425.73,7687.38,9019.77,10351.62,11639.08,12974.59,14324.26,15829.02,17417.76,18934.04,20480.78,22422.43,24343.56,26279.55,28430.01,30533.18,31815.77,33129.4,34440.07,35750.14,37045.84,38142.72
HYNDBURN,1792.27,2680.11,3249.98,3873.08,4527.6,4810.91,5188.38,5905.41,6699.09,7504.35,8307.61,9143.94,9974.56,10910.29,11952.25,12971.45,14015.45,15315.12,16573.71,17890.04,19297.85,20642.85,21558.8,22508.31,23456.83,24406.74,25344.36,26084.51
LANCASTER,4337.11,6370.54,7902.09,9625.12,11456.85,12035.13,12909.67,14873.35,16979.06,19066.76,21069.77,23113.01,25160.88,27437.16,29787.7,32002.42,34249.68,37212.19,40088.97,42993.23,46332.0,49518.86,51638.33,53822.93,56004.35,58187.2,60344.06,62107.64
MANCHESTER,19815.96,26204.62,31017.1,36295.95,41805.29,43302.26,45751.04,51693.56,57921.34,64059.01,69935.24,75989.56,82006.9,88754.5,95677.1,102129.46,108804.63,116888.46,124769.94,132796.71,141442.42,149434.71,154338.05,159436.48,164528.01,169626.17,174647.35,178500.26
